date,away,home,first_downs_away,third_down_conversions_away,third_down_opportunities_away,fourth_down_conversions_away,fourth_down_conversion_attempts_away,passing_completions_away,passing_attempts_away,passing_yards_away,rushing_attempts_away,rushing_yards_away,total_yards_away,times_sacked_away,sack_yards_lost_away,fumbles_away,int_away,turnovers_away,team_penalties_away,penalty_yards_away,redzone_conversions_away,redzone_opportunities_away,def_st_td_away,drives_away,possession_away,first_downs_home,third_down_conversions_home,third_down_opportunities_home,fourth_down_conversions_home,fourth_down_conversion_attempts_home,passing_completions_home,passing_attempts_home,passing_yards_home,rushing_attempts_home,rushing_yards_home,total_yards_home,times_sacked_home,sack_yards_lost_home,fumbles_home,int_home,turnovers_home,team_penalties_home,penalty_yards_home,redzone_conversions_home,redzone_opportunities_home,def_st_td_home,drives_home,possession_home,score_away,score_home,game_result
2002-09-05,49ers,Giants,13,4,12,0,0,16,26,166,25,113,279,0,0,0,1,1,5,29,0,8,0,13,27.533333333333335,21,9,16,0,1,28,45,318,22,43,361,3,24,0,3,3,10,80,0,6,0,15,32.46666666666667,16,13,0
2002-09-08,Jets,Bills,18,2,8,0,0,24,30,193,14,73,266,3,17,1,0,1,10,90,0,9,2,17,21.1,26,7,17,2,2,26,39,242,32,142,384,4,29,1,2,3,10,82,0,8,0,18,39.13333333333333,37,31,0
2002-09-08,Vikings,Bears,19,5,13,0,0,16,28,228,33,140,368,1,6,1,2,3,8,52,0,7,0,17,31.516666666666666,20,7,13,0,0,20,33,288,26,80,368,1,9,1,1,2,4,33,0,6,0,17,28.483333333333334,23,27,1
2002-09-08,Chargers,Bengals,27,6,10,0,0,15,19,160,45,241,401,1,0,0,0,0,4,39,0,7,0,11,37.8,13,4,11,0,0,18,31,167,13,36,203,4,31,0,1,1,9,57,0,5,0,15,22.2,34,6,0
2002-09-08,Chiefs,Browns,24,5,11,0,0,20,29,276,30,194,470,0,0,0,1,1,9,87,0,10,0,20,30.266666666666666,24,4,11,0,0,28,40,352,20,59,411,1,7,1,0,1,4,38,0,10,0,17,29.733333333333334,40,39,0
2002-09-08,Falcons,Packers,22,4,8,0,0,15,23,194,30,180,374,4,15,1,0,1,4,82,0,8,0,15,30.916666666666668,29,8,15,1,1,25,36,273,33,181,454,2,11,1,0,1,3,15,0,9,0,17,38.833333333333336,34,37,1
2002-09-08,Eagles,Titans,17,7,15,1,1,18,36,181,22,80,261,6,31,1,2,3,10,113,0,3,0,17,29.2,22,6,10,0,0,24,34,267,25,61,328,1,2,3,1,4,6,50,0,7,0,16,30.8,24,27,1
2002-09-08,Lions,Dolphins,15,7,14,0,1,17,36,206,19,51,257,3,14,1,1,2,6,68,0,6,0,18,25.6,27,6,12,1,1,18,27,207,41,182,389,0,0,0,0,0,4,54,0,8,2,16,34.4,21,49,1
2002-09-08,Cardinals,Commanders,14,4,13,0,0,14,36,187,20,70,257,1,0,0,1,1,1,5,0,5,0,18,25.6,21,9,16,1,2,28,40,320,32,122,442,1,7,0,1,1,7,56,0,8,0,18,34.4,23,31,1
2002-09-08,Ravens,Panthers,15,5,14,0,0,20,34,212,19,77,289,2,6,0,1,1,6,45,0,3,0,13,26.15,15,5,14,0,0,12,19,120,36,145,265,2,16,0,0,0,6,35,0,2,0,12,33.85,7,10,1
