date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Ravens,Panthers,15,5,14,0,0,20,34,212,19,77,289,2,6,0,1,1,6,45,0,3,0,13,26.15,15,5,14,0,0,12,19,120,36,145,265,2,16,0,0,0,6,35,0,2,0,12,33.85,7,10,1
2002-09-15,Buccaneers,Ravens,12,4,15,1,2,16,38,118,20,55,173,3,23,0,1,1,3,25,0,5,0,17,24.483333333333334,17,6,14,0,0,24,31,205,30,74,279,1,6,0,0,0,10,74,0,6,3,14,35.516666666666666,25,0,0
2002-09-30,Broncos,Ravens,14,3,13,0,0,13,24,146,30,84,230,1,6,2,0,2,9,62,0,6,0,18,27.1,30,5,14,1,1,35,54,306,21,97,403,3,22,0,3,3,9,91,0,8,0,21,32.9,23,34,1
2002-10-06,Ravens,Browns,18,6,15,0,0,19,30,208,34,201,409,0,0,1,0,1,7,65,0,5,0,14,30.85,21,7,15,2,2,29,49,371,17,62,433,2,25,1,4,5,9,117,0,6,0,18,29.15,26,21,0
2002-10-13,Ravens,Colts,15,4,13,1,1,15,28,139,26,105,244,3,24,2,1,3,5,52,0,7,0,19,28.983333333333334,19,3,13,0,0,30,40,257,19,60,317,5,27,0,1,1,9,70,0,6,0,16,31.016666666666666,20,22,1
2002-10-20,Jaguars,Ravens,16,6,14,0,0,14,28,143,32,118,261,2,9,2,0,2,4,30,0,4,0,15,27.983333333333334,22,6,16,2,4,24,46,224,30,173,397,2,7,0,3,3,5,30,0,7,0,16,32.016666666666666,10,17,1
2002-10-27,Steelers,Ravens,26,8,15,1,1,29,51,293,21,67,360,1,5,2,3,5,13,100,0,8,0,17,33.416666666666664,16,5,12,0,1,19,25,179,30,104,283,0,0,0,1,1,7,51,0,6,0,15,26.583333333333332,31,18,0
2002-11-03,Ravens,Falcons,15,8,15,0,1,14,28,187,24,153,340,6,42,1,1,2,7,62,0,5,0,15,28.3,14,5,15,1,1,12,24,115,34,126,241,3,21,0,1,1,4,33,0,6,2,15,31.7,17,20,1
2002-11-10,Bengals,Ravens,21,4,10,1,1,16,24,163,32,162,325,2,20,2,0,2,1,5,0,6,3,19,27.416666666666668,20,7,16,0,0,28,41,249,28,123,372,3,23,1,3,4,5,36,0,6,1,19,32.583333333333336,27,38,1
2002-11-17,Ravens,Dolphins,10,2,13,1,2,14,28,91,22,66,157,7,36,0,1,1,7,50,0,5,0,18,25.883333333333333,17,6,16,0,0,18,26,221,39,116,337,0,0,0,0,0,3,34,0,3,0,14,34.11666666666667,7,26,1
2002-11-24,Titans,Ravens,12,2,13,0,1,11,24,87,27,112,199,4,22,1,1,2,6,65,0,6,1,17,25.85,19,7,18,0,1,22,44,281,30,121,402,1,15,1,3,4,9,69,0,6,0,16,34.15,12,13,1
2002-12-01,Ravens,Bengals,15,6,13,1,1,10,19,99,31,148,247,3,16,0,0,0,8,79,0,1,3,14,27.566666666666663,25,6,16,4,5,30,46,303,29,78,381,1,5,1,1,2,3,30,0,7,0,16,32.43333333333333,27,23,0
2002-12-08,Saints,Ravens,19,4,12,1,2,18,39,296,24,114,410,2,20,3,2,5,8,69,0,9,0,24,25.566666666666663,22,7,18,3,3,16,33,209,41,150,359,2,17,2,0,2,4,35,0,9,0,19,34.43333333333333,37,25,0
2002-12-15,Ravens,Texans,16,6,16,0,1,18,30,228,33,70,298,0,0,0,0,0,2,15,0,5,0,14,31.266666666666666,15,7,15,0,0,19,34,182,24,95,277,2,14,0,2,2,9,58,0,6,1,16,28.733333333333334,23,19,0
2002-12-22,Browns,Ravens,16,7,14,0,0,16,28,129,29,146,275,2,14,0,1,1,6,40,0,3,0,11,30.233333333333334,19,5,11,1,1,22,31,193,26,63,256,2,16,0,1,1,7,70,0,3,0,14,29.766666666666666,14,13,0
2002-12-29,Ravens,Steelers,21,6,10,0,0,19,26,308,23,114,422,3,28,2,2,4,9,82,0,7,1,16,23.416666666666668,25,8,13,1,2,20,30,176,37,175,351,4,18,0,2,2,5,41,0,9,0,17,36.583333333333336,31,34,1
2003-09-07,Ravens,Steelers,17,5,16,1,2,22,43,143,23,88,231,2,9,1,1,2,10,81,0,1,0,2,27.333333333333332,21,7,15,1,1,21,29,251,34,88,339,2,9,1,0,1,9,138,0,2,0,2,32.666666666666664,15,34,1
2003-09-14,Browns,Ravens,14,4,15,1,1,7,18,50,41,343,393,4,28,2,1,3,10,85,0,6,2,19,30.733333333333334,9,4,16,0,2,17,37,115,20,60,175,3,32,1,2,3,6,50,0,7,0,21,29.266666666666666,13,33,1
2003-09-21,Ravens,Chargers,16,3,9,0,0,12,21,97,32,152,249,1,1,0,1,1,4,28,0,3,1,14,24.8,25,6,15,1,1,28,45,257,30,132,389,1,13,0,3,3,10,61,0,4,0,14,35.2,24,10,0
2003-09-28,Chiefs,Ravens,22,5,12,0,1,15,26,124,36,202,326,3,16,1,3,4,4,30,0,4,0,15,31.25,15,4,14,0,0,17,28,136,28,129,265,3,23,0,0,0,4,26,0,4,1,15,28.75,17,10,0
2003-10-12,Ravens,Cardinals,13,5,13,0,0,9,18,72,38,213,285,1,3,0,0,0,6,55,0,5,3,14,32.7,16,2,11,0,1,22,36,230,20,90,320,2,17,0,3,3,5,35,0,5,0,18,27.3,26,18,0
2003-10-19,Ravens,Bengals,21,2,11,1,1,15,27,281,29,120,401,3,21,2,1,3,13,113,0,8,0,18,29.066666666666663,17,7,15,0,0,16,27,244,28,59,303,4,30,0,0,0,8,65,0,3,0,17,30.933333333333337,26,34,1
2003-10-26,Broncos,Ravens,16,6,17,0,0,15,27,126,37,151,277,2,11,0,0,0,9,62,0,6,0,14,31.5,12,4,15,0,2,16,31,90,27,104,194,2,24,0,2,2,7,49,0,6,0,17,28.5,6,26,1
2003-11-02,Jaguars,Ravens,9,6,15,0,0,10,23,156,30,103,259,0,0,1,1,2,7,40,0,4,0,17,25.116666666666667,20,3,14,1,1,22,34,186,33,134,320,4,22,2,1,3,7,52,0,6,2,18,34.88333333333333,17,24,1
2003-11-09,Ravens,Rams,16,3,16,0,1,17,33,122,38,145,267,7,48,4,3,7,10,80,0,9,0,26,37.35,7,3,14,0,0,13,26,74,21,47,121,4,36,2,2,4,7,75,0,5,2,24,22.65,22,33,1
2003-11-16,Ravens,Dolphins,13,5,14,0,0,14,25,109,33,114,223,2,3,1,2,3,10,88,0,2,0,14,31.25,19,3,15,0,0,13,32,126,42,141,267,0,0,0,1,1,5,50,0,1,0,16,34.95,6,9,1
2003-11-23,Seahawks,Ravens,20,7,18,1,1,20,37,276,35,150,426,6,43,2,0,2,14,112,0,9,1,25,35.833333333333336,24,7,18,0,1,23,42,293,32,133,426,6,40,3,0,3,6,89,0,7,0,25,32.63333333333333,41,44,1
2003-11-30,49ers,Ravens,15,5,14,1,1,14,25,165,29,117,282,1,12,1,1,2,4,25,0,6,2,17,27.35,10,4,15,0,2,17,36,158,30,106,264,0,0,0,4,4,6,46,0,5,0,24,32.65,6,44,1
2003-12-07,Bengals,Ravens,21,5,13,0,0,8,19,130,45,223,353,2,15,1,2,3,2,20,0,6,0,18,32.93333333333333,15,4,13,0,0,23,31,168,21,100,268,6,46,3,2,5,9,63,0,5,0,18,27.066666666666663,13,31,1
2003-12-14,Ravens,Raiders,14,2,12,0,1,12,27,170,31,149,319,3,23,2,1,3,8,55,0,5,0,18,29.966666666666665,15,5,17,1,1,16,35,186,31,79,265,0,0,0,0,0,9,70,0,7,0,18,30.033333333333335,12,20,1
2003-12-21,Ravens,Browns,18,5,15,2,2,11,19,83,41,276,359,3,17,0,1,1,5,41,0,2,2,13,32.666666666666664,14,3,13,0,2,17,33,133,24,78,211,5,30,3,1,4,5,26,0,4,0,18,27.333333333333332,35,0,0
2003-12-28,Steelers,Ravens,14,4,16,0,0,16,27,151,34,128,279,2,12,1,1,2,10,55,0,4,0,18,33.05,9,3,15,1,3,15,29,158,27,56,214,5,31,2,3,5,3,40,0,2,0,17,30.416666666666668,10,13,1
2004-09-12,Ravens,Browns,16,4,15,0,1,22,38,166,26,88,254,3,25,1,2,3,6,46,0,2,0,16,30.983333333333334,10,5,15,0,0,15,24,165,29,85,250,2,15,0,0,0,6,50,0,2,0,13,29.016666666666666,3,20,1
2004-09-19,Steelers,Ravens,15,5,16,0,0,10,18,87,41,172,259,2,11,0,0,0,10,123,0,6,2,16,33.13333333333333,17,3,13,0,0,16,33,217,25,93,310,4,26,1,2,3,9,77,0,8,0,20,26.866666666666667,13,30,1
2004-09-26,Ravens,Bengals,14,5,13,0,0,11,18,126,34,254,380,2,0,2,0,2,9,71,0,5,0,15,26.8,26,6,15,0,1,25,52,289,26,109,398,4,27,1,3,4,5,25,0,6,0,17,33.2,23,9,0
2004-10-04,Chiefs,Ravens,13,1,8,0,1,10,17,127,20,80,207,4,27,0,0,0,6,54,0,6,1,16,20.283333333333335,25,8,16,0,0,21,31,220,46,178,398,1,3,0,0,0,10,72,0,5,0,15,39.71666666666667,27,24,0
2004-10-10,Ravens,Commanders,15,5,15,0,0,9,18,76,43,156,232,2,5,0,3,3,5,53,0,4,3,16,32.083333333333336,9,5,17,0,0,13,29,55,26,52,107,3,28,1,1,2,2,22,0,2,0,16,27.916666666666668,17,10,0
2004-10-24,Bills,Ravens,12,4,13,0,0,10,19,60,33,100,160,4,26,1,0,1,4,25,0,5,2,15,29.133333333333333,15,6,16,0,1,20,37,185,23,85,270,4,18,1,4,5,5,40,0,8,0,17,30.866666666666667,6,20,1
2004-10-31,Ravens,Eagles,19,5,15,0,2,24,38,214,27,113,327,2,9,1,1,2,6,91,0,2,0,16,33.833333333333336,19,2,11,0,0,18,34,200,23,98,298,2,19,1,0,1,8,72,0,5,0,14,26.166666666666668,10,15,1
2004-11-07,Browns,Ravens,15,7,15,0,0,17,30,134,28,106,240,1,8,1,0,1,3,25,0,6,2,15,27.833333333333332,13,5,13,0,0,15,26,126,28,91,217,3,20,1,1,2,9,55,0,7,1,17,32.166666666666664,13,27,1
2004-11-14,Ravens,Jets,18,6,17,1,2,19,33,186,32,76,262,3,27,1,0,1,5,39,0,8,0,16,33.93333333333333,16,7,16,0,0,13,23,149,36,156,305,5,26,0,1,1,6,55,0,6,0,17,33.483333333333334,20,17,0
