date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Jets,Bills,26,7,17,2,2,26,39,242,32,142,384,4,29,1,2,3,10,82,0,8,0,18,39.13333333333333,18,2,8,0,0,24,30,193,14,73,266,3,17,1,0,1,10,90,0,9,2,17,21.1,37,31,0
2002-09-15,Bills,Vikings,26,4,12,0,0,35,49,437,14,31,468,3,26,0,0,0,6,65,0,10,3,22,30.383333333333333,31,7,16,3,3,25,46,236,39,213,449,5,45,3,0,3,8,65,0,13,0,21,39.81666666666667,45,39,0
2002-09-22,Bills,Broncos,17,6,14,0,0,27,41,252,14,39,291,4,31,1,0,1,10,82,0,7,0,16,27.216666666666665,22,3,13,1,2,19,31,179,32,163,342,4,32,0,0,0,9,64,0,2,2,16,32.78333333333333,23,28,1
2002-09-29,Bears,Bills,26,5,11,0,0,28,36,307,25,103,410,2,21,1,0,1,9,82,0,8,0,18,32.9,15,6,14,0,0,19,31,188,26,52,240,0,0,0,0,0,5,55,0,8,2,17,29.066666666666663,27,33,1
2002-10-06,Raiders,Bills,29,7,15,1,1,32,53,399,18,80,479,5,18,0,3,3,7,43,0,7,0,20,31.533333333333335,24,6,13,0,0,23,38,353,27,142,495,1,4,0,0,0,10,120,0,8,2,19,28.466666666666665,49,31,0
2002-10-13,Bills,Texans,25,6,14,0,0,19,33,230,33,173,403,3,24,1,0,1,13,128,0,5,0,15,33.36666666666667,18,3,12,1,2,13,24,197,29,141,338,5,26,0,0,0,11,75,0,9,0,16,26.633333333333333,31,24,0
2002-10-20,Bills,Dolphins,15,3,13,0,1,15,31,162,27,132,294,5,20,0,0,0,4,40,0,5,2,16,28.766666666666666,17,6,15,1,2,13,33,155,34,132,287,1,10,2,4,6,6,56,0,6,0,18,31.233333333333334,23,10,0
2002-10-27,Lions,Bills,23,6,14,1,1,21,36,269,24,74,343,4,33,2,0,2,6,51,0,5,0,14,31.55,16,5,15,0,2,20,42,199,24,83,282,0,0,0,1,1,8,71,0,4,0,16,28.45,17,24,1
2002-11-03,Patriots,Bills,28,4,11,1,1,28,45,266,13,65,331,4,36,0,1,1,5,59,0,9,0,15,25.7,23,8,12,1,2,22,26,263,36,159,422,1,2,0,0,0,8,59,0,6,0,10,34.3,38,7,0
2002-11-17,Bills,Chiefs,21,7,13,0,0,24,36,211,26,133,344,2,14,0,1,1,13,139,0,6,0,10,31.683333333333337,22,4,11,2,2,12,20,192,37,128,320,1,5,0,0,0,5,39,0,3,0,11,28.316666666666663,16,17,1
2002-11-24,Bills,Jets,17,4,10,1,2,23,35,170,20,88,258,2,16,1,2,3,5,34,0,5,0,15,28.366666666666667,22,7,14,1,2,15,24,170,37,155,325,1,8,0,0,0,1,5,0,6,0,12,31.633333333333333,13,31,1
2002-12-01,Dolphins,Bills,21,8,15,0,2,15,27,270,37,161,431,4,36,0,0,0,7,56,0,4,0,15,32.68333333333333,14,4,11,0,2,11,20,30,34,270,300,2,25,2,1,3,5,38,0,5,0,19,27.316666666666663,21,38,1
2002-12-08,Bills,Patriots,24,10,14,0,0,32,51,312,18,78,390,2,16,1,4,5,4,29,0,9,0,16,30.633333333333333,14,4,11,0,0,15,27,183,26,92,275,0,0,0,0,0,9,65,0,6,0,15,29.366666666666667,17,27,1
2002-12-15,Chargers,Bills,17,2,12,0,0,11,33,101,25,155,256,2,6,1,0,1,4,60,0,4,0,16,26.833333333333332,14,5,18,0,1,16,35,192,30,116,308,3,20,0,0,0,9,121,0,4,0,18,33.166666666666664,13,20,1
2002-12-22,Bills,Packers,17,3,12,0,0,18,36,142,24,43,185,6,37,4,2,6,2,10,0,5,0,14,31.866666666666667,14,5,15,0,1,15,33,104,30,119,223,2,10,0,2,2,3,25,0,2,0,14,28.133333333333333,0,10,1
2002-12-29,Bengals,Bills,23,8,15,1,2,23,31,225,38,99,324,2,6,3,0,3,7,71,0,7,0,14,38.63333333333333,19,1,9,0,2,19,35,233,18,84,317,2,8,1,2,3,10,105,0,7,0,16,21.366666666666667,9,27,1
2003-09-07,Patriots,Bills,23,7,14,0,1,17,28,215,33,107,322,2,15,1,1,2,10,119,0,1,2,2,33.833333333333336,16,4,10,0,1,17,35,134,21,105,239,2,20,0,4,4,12,121,0,1,0,2,26.166666666666668,0,31,1
2003-09-14,Bills,Jaguars,20,8,14,1,2,20,27,328,32,43,371,0,0,0,0,0,6,55,0,6,0,13,31.166666666666668,20,4,14,3,4,26,40,192,22,95,287,3,22,0,0,0,8,97,0,8,0,16,28.833333333333332,38,17,0
2003-09-21,Bills,Dolphins,8,1,9,0,0,10,26,77,14,41,118,4,21,0,3,3,11,84,0,3,2,16,19.166666666666668,23,6,14,0,0,16,28,147,44,166,313,1,7,1,2,3,4,35,0,4,0,13,40.833333333333336,7,17,1
2003-09-28,Eagles,Bills,15,6,15,2,3,27,43,287,12,21,308,2,9,1,0,1,10,84,0,7,0,15,26.2,19,9,16,0,0,18,29,159,34,176,335,2,14,0,0,0,7,45,0,5,0,12,33.8,23,13,0
2003-10-05,Bengals,Bills,17,3,15,1,2,19,35,177,27,80,257,4,34,0,0,0,6,49,0,7,0,17,29.383333333333333,18,6,16,0,0,26,44,212,27,67,279,1,13,1,1,2,7,49,0,8,0,18,34.5,16,22,1
2003-10-12,Bills,Jets,15,5,15,1,4,24,41,140,19,53,193,7,62,2,2,4,5,45,0,5,0,17,32.13333333333333,13,4,11,0,0,11,17,115,33,118,233,2,15,0,0,0,3,25,0,6,0,13,27.866666666666667,3,30,1
2003-10-19,Commanders,Bills,25,3,10,0,0,19,26,236,39,196,432,1,8,1,1,2,9,95,0,4,0,14,36.916666666666664,8,2,14,1,1,9,28,110,23,59,169,2,6,1,0,1,9,77,0,4,0,17,23.083333333333332,7,24,1
2003-10-26,Bills,Chiefs,15,3,11,0,2,25,38,133,26,133,266,3,32,2,5,7,5,31,0,7,0,21,32.88333333333333,22,2,10,0,0,21,37,275,24,100,375,0,0,0,0,0,5,60,0,5,0,14,27.116666666666667,5,38,1
2003-11-09,Bills,Cowboys,15,3,16,0,0,17,34,85,25,100,185,3,19,2,0,2,1,15,0,2,0,15,27.2,14,7,18,0,1,15,33,114,35,122,236,1,2,0,0,0,5,53,0,3,0,16,32.8,6,10,1
2003-11-16,Texans,Bills,17,3,13,0,0,15,26,153,28,182,335,4,31,1,0,1,6,44,0,6,0,15,31.933333333333337,12,2,10,0,1,13,20,211,28,34,245,4,8,0,1,1,11,65,0,2,0,14,28.066666666666663,12,10,0
2003-11-23,Colts,Bills,16,3,13,3,3,15,28,118,27,110,228,2,17,0,1,1,6,42,0,4,0,14,27.983333333333334,21,9,17,1,1,26,42,223,30,103,326,1,6,1,0,1,6,49,0,6,0,13,32.016666666666666,17,14,0
2003-11-30,Bills,Giants,23,5,14,1,1,21,34,252,36,151,403,4,23,0,0,0,8,60,0,4,0,14,39.11666666666667,10,4,14,0,1,17,35,198,13,24,222,6,35,1,0,1,5,58,0,3,0,16,20.883333333333333,24,7,0
2003-12-07,Jets,Bills,19,2,9,2,2,9,15,53,41,203,256,2,19,1,1,2,3,23,0,7,0,12,31.316666666666663,14,6,16,1,2,15,29,127,26,88,215,5,28,0,1,1,6,54,0,4,0,13,28.683333333333337,6,17,1
2003-12-14,Bills,Titans,13,2,12,1,1,17,30,152,20,89,241,3,16,1,0,1,3,15,0,5,2,18,23.25,23,9,17,0,0,26,41,263,32,86,349,4,32,1,0,1,6,68,0,8,0,19,36.75,26,28,1
2003-12-21,Dolphins,Bills,11,5,15,0,1,15,28,104,28,73,177,6,51,3,1,4,7,59,0,3,0,18,27.25,11,4,15,1,1,8,17,37,38,132,169,2,9,1,1,2,12,106,0,2,2,14,32.75,20,3,0
2003-12-27,Bills,Patriots,16,8,17,1,3,23,43,174,20,82,256,4,28,2,2,4,10,71,0,8,0,16,26.866666666666667,26,8,13,0,0,21,33,190,34,131,321,2,14,1,0,1,4,34,0,6,0,12,33.13333333333333,0,31,1
