date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Vikings,Bears,20,7,13,0,0,20,33,288,26,80,368,1,9,1,1,2,4,33,0,6,0,17,28.483333333333334,19,5,13,0,0,16,28,228,33,140,368,1,6,1,2,3,8,52,0,7,0,17,31.516666666666666,23,27,1
2002-09-15,Bears,Falcons,13,4,13,0,0,12,24,136,31,106,242,1,7,1,1,2,7,79,0,5,0,14,28.583333333333332,19,5,13,0,0,17,28,135,30,122,257,4,31,3,0,3,5,40,0,5,0,15,31.416666666666668,14,13,0
2002-09-22,Saints,Bears,21,6,15,1,1,26,40,228,30,125,353,1,8,1,1,2,7,49,0,8,0,17,33.983333333333334,18,4,12,0,0,22,34,229,24,73,302,1,4,2,1,3,10,91,0,7,0,18,26.016666666666666,29,23,0
2002-09-29,Bears,Bills,15,6,14,0,0,19,31,188,26,52,240,0,0,0,0,0,5,55,0,8,2,17,29.066666666666663,26,5,11,0,0,28,36,307,25,103,410,2,21,1,0,1,9,82,0,8,0,18,32.9,27,33,1
2002-10-07,Packers,Bears,20,6,15,1,3,27,50,335,16,45,380,3,18,1,3,4,7,65,0,9,0,20,28.933333333333337,20,3,13,1,1,22,33,333,30,124,457,3,26,1,0,1,5,49,0,7,2,18,31.066666666666663,34,21,0
2002-10-20,Bears,Lions,17,6,12,0,0,16,25,135,31,89,224,3,28,2,1,3,5,40,0,5,0,16,29.366666666666667,23,3,12,1,1,16,29,170,39,192,362,2,29,1,0,1,10,79,0,6,0,16,35.43333333333333,20,23,1
2002-10-27,Bears,Vikings,12,3,10,0,2,16,31,174,12,44,218,6,30,1,2,3,6,33,0,5,0,15,18.95,24,7,14,1,1,22,30,216,44,148,364,0,0,1,0,1,11,65,0,5,0,13,41.05,7,25,1
2002-11-03,Eagles,Bears,18,1,11,1,2,19,37,186,24,74,260,3,19,1,0,1,12,121,0,7,0,17,26.983333333333334,23,5,16,1,3,18,33,192,37,117,309,3,17,0,1,1,6,54,0,7,0,14,33.016666666666666,19,13,0
2002-11-10,Patriots,Bears,14,5,15,1,1,16,30,174,28,125,299,2,9,0,1,1,5,30,0,8,0,21,29.0,19,6,17,3,3,36,55,315,19,82,397,2,13,1,1,2,6,65,0,6,0,20,31.0,33,30,0
2002-11-18,Bears,Rams,16,3,15,1,2,20,35,117,22,103,220,7,40,0,0,0,5,50,0,4,0,16,30.833333333333332,21,6,13,0,0,22,37,327,20,61,388,4,33,1,1,2,11,97,0,6,0,16,29.166666666666668,16,21,1
2002-11-24,Lions,Bears,21,5,17,2,4,31,51,347,25,75,422,3,14,1,0,1,6,64,0,5,0,16,34.516666666666666,19,7,16,1,1,21,40,199,29,102,301,2,14,1,1,2,7,50,0,3,0,14,31.516666666666666,17,20,1
2002-12-01,Bears,Packers,19,3,11,2,2,27,38,230,17,74,304,3,18,3,1,4,5,39,0,9,0,19,27.366666666666667,26,6,14,0,1,24,42,215,32,181,396,1,6,1,1,2,2,33,0,8,0,17,32.63333333333333,20,30,1
2002-12-09,Bears,Dolphins,12,2,12,0,2,11,32,88,24,107,195,2,13,1,3,4,5,55,0,7,0,20,24.3,22,7,16,0,1,15,29,188,43,248,436,1,8,2,1,3,8,58,0,7,0,18,35.7,9,27,1
2002-12-15,Jets,Bears,20,6,11,0,0,22,27,161,26,105,266,4,16,0,0,0,8,74,0,6,0,12,32.96666666666667,19,4,11,1,2,22,33,200,24,134,334,1,7,1,0,1,7,54,0,4,0,13,27.033333333333335,13,20,1
2002-12-22,Bears,Panthers,8,4,15,0,1,15,30,131,22,55,186,4,32,4,0,4,3,32,0,5,0,23,23.166666666666668,15,5,21,0,1,18,35,165,39,88,253,3,14,2,0,2,4,40,0,6,0,20,36.833333333333336,14,24,1
2002-12-29,Buccaneers,Bears,14,4,11,1,1,13,29,133,22,85,218,1,4,0,4,4,5,45,0,3,0,16,22.516666666666666,15,7,18,0,0,16,25,111,36,161,272,5,23,0,0,0,6,26,0,5,0,11,37.483333333333334,15,0,0
2003-09-07,Bears,49ers,8,3,14,0,1,14,34,72,20,55,127,5,23,2,3,5,4,30,0,7,0,26,21.95,23,8,16,0,1,19,35,229,42,162,391,0,0,1,1,2,4,25,0,9,2,17,38.05,7,49,1
2003-09-14,Bears,Vikings,10,2,9,0,0,14,23,128,17,80,208,3,17,0,1,1,6,50,0,6,0,14,21.3,25,9,14,0,0,20,26,198,39,202,400,3,16,1,0,1,3,25,0,8,0,13,38.7,13,24,1
2003-09-29,Packers,Bears,23,5,15,1,1,25,44,180,28,181,361,5,21,0,2,2,6,62,0,8,0,19,32.483333333333334,20,5,10,0,1,22,30,193,25,187,380,0,0,0,1,1,4,38,0,9,0,15,27.516666666666666,38,23,0
2003-10-05,Raiders,Bears,18,4,11,1,1,13,24,144,35,200,344,2,16,1,2,3,11,97,0,7,0,17,31.433333333333337,18,5,13,0,0,17,35,182,26,119,301,1,5,0,2,2,5,45,0,8,0,16,28.566666666666663,21,24,1
2003-10-12,Bears,Saints,16,4,12,1,1,10,21,131,32,140,271,3,21,2,0,2,5,86,0,5,0,12,30.433333333333337,18,9,15,0,1,14,29,153,34,130,283,0,0,0,0,0,6,35,0,5,0,13,29.566666666666663,13,20,1
2003-10-19,Bears,Seahawks,19,6,16,2,2,19,34,124,28,87,211,3,25,0,2,2,6,64,0,5,0,15,34.18333333333333,22,5,10,1,1,19,27,211,28,124,335,2,4,1,1,2,5,45,0,7,0,14,25.816666666666663,17,24,1
2003-10-26,Lions,Bears,14,8,16,0,0,20,31,193,26,68,261,2,14,0,0,0,7,60,0,4,1,15,30.116666666666667,16,4,14,1,2,23,40,180,24,80,260,0,0,0,2,2,9,64,0,5,1,15,29.883333333333333,16,24,1
2003-11-02,Chargers,Bears,19,5,13,2,2,21,30,216,33,125,341,2,8,0,1,1,5,35,0,3,0,11,35.766666666666666,11,2,9,0,0,15,26,119,19,80,199,0,0,0,1,1,4,24,0,4,0,14,24.233333333333334,7,20,1
2003-11-09,Bears,Lions,11,4,14,0,0,16,28,133,24,66,199,2,16,0,1,1,5,35,0,3,0,16,30.0,10,5,16,0,1,24,39,231,20,17,248,1,7,0,0,0,7,41,0,5,0,15,30.0,10,12,1
2003-11-16,Rams,Bears,13,5,16,1,2,16,32,146,26,95,241,1,7,0,2,2,6,47,0,5,1,18,27.783333333333335,22,5,16,2,2,29,46,208,25,112,320,4,32,1,2,3,7,45,0,5,0,17,32.21666666666667,23,21,0
2003-11-23,Bears,Broncos,19,4,17,3,3,15,33,111,33,106,217,2,15,0,0,0,6,29,0,5,0,12,32.71666666666667,18,4,12,0,1,19,36,165,21,200,365,2,11,0,0,0,8,114,0,6,0,15,27.283333333333335,19,10,0
2003-11-30,Cardinals,Bears,25,5,12,0,1,22,37,268,36,154,422,3,16,1,0,1,4,25,0,4,0,14,35.36666666666667,9,4,13,0,0,20,32,151,18,46,197,1,12,1,2,3,3,15,0,6,0,15,24.633333333333333,3,28,1
2003-12-07,Bears,Packers,13,5,17,0,3,17,40,231,20,44,275,3,25,2,3,5,5,45,0,5,3,23,24.6,17,5,17,0,1,22,33,210,38,97,307,0,0,0,1,1,8,57,0,5,2,19,35.4,21,34,1
2003-12-14,Vikings,Bears,15,6,14,0,0,13,30,145,23,87,232,1,12,0,0,0,3,30,0,4,0,12,22.75,22,8,16,1,3,24,34,215,38,178,393,2,7,0,1,1,7,68,0,6,0,13,37.25,10,13,1
2003-12-21,Commanders,Bears,25,9,17,2,2,19,32,238,40,191,429,2,11,1,1,2,5,33,0,7,0,16,37.9,15,1,9,0,0,17,27,242,18,44,286,1,3,0,0,0,7,50,0,7,0,16,22.1,24,27,1
2003-12-28,Bears,Chiefs,16,2,15,2,4,17,42,157,22,84,241,4,41,0,2,2,8,78,0,6,0,17,25.616666666666667,23,5,13,1,1,22,30,195,34,87,282,1,8,0,1,1,6,55,0,6,0,13,34.38333333333333,3,31,1
2004-09-12,Lions,Bears,18,6,16,0,0,16,35,214,32,128,342,3,13,2,2,4,9,95,0,9,0,21,30.3,13,2,14,0,1,14,26,185,29,77,262,2,2,0,1,1,9,80,0,5,1,17,29.7,20,16,0
