date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Cowboys,Texans,11,2,13,0,0,13,30,112,24,155,267,3,19,1,1,2,9,117,0,2,0,18,26.083333333333332,13,2,15,0,0,10,22,123,35,87,210,6,22,0,1,1,11,80,0,4,0,19,33.916666666666664,10,19,1
2002-09-15,Titans,Cowboys,14,4,12,0,0,14,24,230,26,67,297,1,10,0,0,0,2,15,0,2,2,15,24.25,19,7,17,1,2,23,43,235,26,98,333,3,24,0,1,1,6,55,0,4,0,15,35.75,13,21,1
2002-09-22,Cowboys,Eagles,18,4,13,0,0,21,35,183,27,121,304,3,18,3,1,4,7,92,0,6,1,20,30.866666666666667,26,3,10,1,1,26,40,294,26,153,447,3,15,2,0,2,3,25,0,7,0,16,29.133333333333333,13,44,1
2002-09-29,Cowboys,Rams,17,5,15,0,0,26,36,193,27,122,315,2,11,1,1,2,8,60,0,3,0,14,31.95,19,5,13,0,0,25,40,273,21,93,366,1,6,1,2,3,8,65,0,3,0,12,28.05,13,10,0
2002-10-06,Giants,Cowboys,20,8,17,0,2,23,42,245,24,95,340,3,17,0,0,0,5,37,0,6,0,14,31.166666666666668,16,6,13,0,0,18,27,212,28,104,316,2,16,1,1,2,6,48,0,3,0,15,28.833333333333332,21,17,0
2002-10-13,Panthers,Cowboys,17,3,13,2,3,15,32,174,24,137,311,6,51,1,1,2,9,71,0,4,0,15,26.4,14,5,16,0,0,16,27,198,34,110,308,0,0,0,0,0,14,106,0,1,0,16,33.6,13,14,1
2002-10-20,Cowboys,Cardinals,14,2,12,0,0,13,22,194,36,148,342,2,8,0,4,4,6,59,0,3,0,15,30.95,22,9,21,0,0,23,46,228,38,152,380,1,4,1,0,1,2,15,0,2,0,15,40.88333333333333,6,9,1
2002-10-27,Seahawks,Cowboys,17,3,9,0,1,12,24,132,28,105,237,2,13,1,0,1,5,55,0,3,0,14,27.916666666666668,18,10,16,0,0,19,31,170,34,97,267,1,7,0,2,2,6,57,0,5,0,12,32.083333333333336,17,14,0
2002-11-03,Cowboys,Lions,17,5,16,1,1,22,39,150,27,71,221,5,58,2,0,2,7,70,0,3,0,18,34.55,8,2,15,1,1,14,33,96,23,52,148,1,8,0,2,2,6,50,0,1,0,15,25.45,7,9,1
2002-11-17,Cowboys,Colts,11,1,10,0,0,11,23,94,18,84,178,5,37,2,0,2,4,30,0,5,0,15,19.95,20,6,17,1,1,29,38,252,34,110,362,0,0,0,1,1,7,35,0,6,0,12,40.05,3,20,1
