date,team,opponent,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,team_score,opponent_score,game_result
2002-09-08,Broncos,Rams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,23,1
2002-09-15,Broncos,49ers,18.0,2.0,10.0,1.0,1.0,18.0,27.0,187.0,26.0,104.0,291.0,4.0,15.0,0.0,2.0,2.0,3.0,31.0,0.0,1.0,0.0,2.0,28.233333333333334,15.0,3.0,12.0,0.0,1.0,32.0,41.0,295.0,13.0,32.0,327.0,3.0,20.0,1.0,1.0,2.0,6.0,44.0,0.0,2.0,0.0,5.0,31.766666666666666,16.0,23.0,24,14,0
2002-09-22,Broncos,Bills,19.5,3.5,10.0,0.5,0.5,16.0,23.0,142.5,30.5,152.5,295.0,4.0,18.0,0.5,1.0,1.5,3.0,30.5,0.0,2.5,0.0,7.0,29.450000000000003,16.5,5.5,12.5,0.0,0.5,29.5,38.5,242.5,16.5,51.5,294.0,2.5,17.5,1.0,1.0,2.0,8.0,79.0,0.0,3.5,0.0,9.5,30.549999999999997,20.0,18.5,23,28,1
2002-09-30,Broncos,Ravens,20.333333333333332,3.3333333333333335,11.0,0.6666666666666666,1.0,17.0,25.666666666666668,154.66666666666666,31.0,156.0,310.6666666666667,4.0,22.666666666666668,0.3333333333333333,0.6666666666666666,1.0,5.0,41.666666666666664,0.0,2.3333333333333335,0.6666666666666666,10.0,30.561111111111114,16.666666666666668,5.666666666666667,13.0,0.0,0.3333333333333333,28.666666666666668,39.333333333333336,245.66666666666666,15.666666666666666,47.333333333333336,293.0,3.0,22.0,1.0,0.6666666666666666,1.6666666666666667,8.666666666666666,80.0,0.0,4.666666666666667,0.0,11.666666666666666,29.438888888888886,21.0,21.666666666666668,23,34,1
2002-10-06,Broncos,Chargers,22.75,3.75,11.75,0.75,1.0,21.5,32.75,192.5,28.5,141.25,333.75,3.75,22.5,0.25,1.25,1.5,6.0,54.0,0.0,3.75,0.5,12.75,31.145833333333336,16.0,5.0,13.0,0.0,0.25,24.75,35.5,220.75,19.25,56.5,277.25,2.5,18.0,1.25,0.5,1.75,8.75,75.5,0.0,5.0,0.0,13.25,28.854166666666664,21.5,24.75,9,26,1
2002-10-13,Broncos,Dolphins,22.2,4.4,12.4,0.8,1.0,22.4,33.2,214.0,29.0,136.4,350.4,3.4,21.2,0.2,1.2,1.4,6.0,53.2,0.0,3.8,0.8,13.0,31.673333333333336,16.0,5.6,13.4,0.0,0.2,25.0,36.8,223.6,19.0,61.0,284.6,2.0,14.4,1.2,0.8,2.0,8.0,68.6,0.0,4.8,0.0,13.2,28.326666666666664,19.0,25.0,24,22,0
2002-10-20,Broncos,Chiefs,23.0,4.666666666666667,13.0,0.6666666666666666,0.8333333333333334,23.166666666666668,35.333333333333336,228.16666666666666,28.5,132.16666666666666,360.3333333333333,3.3333333333333335,23.666666666666668,0.3333333333333333,1.3333333333333333,1.6666666666666667,6.5,56.0,0.0,4.166666666666667,0.6666666666666666,13.666666666666666,32.074999999999996,16.0,5.5,13.0,0.0,0.16666666666666666,24.0,35.5,219.83333333333334,19.666666666666668,60.5,280.3333333333333,1.8333333333333333,13.5,1.1666666666666667,0.8333333333333334,2.0,8.0,64.16666666666667,0.0,5.166666666666667,0.3333333333333333,14.0,27.925,19.833333333333332,24.5,37,34,0
2002-10-27,Broncos,Patriots,22.857142857142858,4.714285714285714,13.285714285714286,0.8571428571428571,1.1428571428571428,24.142857142857142,37.42857142857143,247.85714285714286,28.285714285714285,133.42857142857142,381.2857142857143,3.0,21.714285714285715,0.42857142857142855,1.1428571428571428,1.5714285714285714,6.714285714285714,58.714285714285715,0.0,5.142857142857143,0.5714285714285714,14.714285714285714,31.966666666666665,17.142857142857142,5.285714285714286,13.0,0.0,0.14285714285714285,23.428571428571427,35.142857142857146,208.85714285714286,21.285714285714285,75.0,283.85714285714283,2.142857142857143,15.714285714285714,1.0,0.7142857142857143,1.7142857142857142,7.571428571428571,62.142857142857146,0.0,6.142857142857143,0.2857142857142857,15.0,28.454761904761906,22.285714285714285,25.857142857142858,24,16,0
2002-11-11,Broncos,Raiders,23.571428571428573,5.571428571428571,13.714285714285714,0.7142857142857143,1.0,24.142857142857142,36.857142857142854,251.85714285714286,30.285714285714285,138.0,389.85714285714283,2.7142857142857144,21.571428571428573,0.5714285714285714,1.0,1.5714285714285714,6.571428571428571,61.57142857142857,0.0,6.0,0.5714285714285714,16.571428571428573,33.028571428571425,17.285714285714285,5.285714285714286,13.0,0.0,0.0,21.0,33.42857142857143,182.42857142857142,22.142857142857142,80.28571428571429,262.7142857142857,2.4285714285714284,15.714285714285714,0.8571428571428571,0.5714285714285714,1.4285714285714286,7.857142857142857,67.71428571428571,0.0,6.857142857142857,0.2857142857142857,16.428571428571427,27.392857142857142,23.428571428571427,24.857142857142858,34,10,0
2002-11-17,Broncos,Seahawks,24.428571428571427,5.571428571428571,14.0,0.8571428571428571,1.2857142857142858,27.0,40.857142857142854,275.7142857142857,28.428571428571427,120.28571428571429,396.0,2.7142857142857144,22.571428571428573,0.42857142857142855,1.1428571428571428,1.5714285714285714,6.571428571428571,59.42857142857143,0.0,6.285714285714286,0.5714285714285714,17.0,33.173809523809524,17.571428571428573,5.0,12.571428571428571,0.0,0.0,22.0,33.714285714285715,204.85714285714286,21.285714285714285,74.0,278.85714285714283,2.2857142857142856,14.285714285714286,0.7142857142857143,0.42857142857142855,1.1428571428571428,7.142857142857143,56.42857142857143,0.0,6.857142857142857,0.5714285714285714,15.857142857142858,27.247619047619047,24.857142857142858,24.285714285714285,31,9,0
