date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Cowboys,Texans,13,2,15,0,0,10,22,123,35,87,210,6,22,0,1,1,11,80,0,4,0,19,33.916666666666664,11,2,13,0,0,13,30,112,24,155,267,3,19,1,1,2,9,117,0,2,0,18,26.083333333333332,10,19,1
2002-09-15,Texans,Chargers,7,1,14,1,2,6,25,29,25,89,118,9,58,1,2,3,12,73,0,4,0,20,27.6,16,4,14,0,0,15,28,143,35,124,267,2,20,0,1,1,4,35,0,5,2,20,32.4,3,24,1
2002-09-22,Colts,Texans,10,3,13,0,0,12,22,78,30,126,204,4,21,1,1,2,9,67,0,6,0,17,28.816666666666663,16,6,13,0,0,21,28,251,27,88,339,3,21,2,0,2,4,45,0,5,0,13,31.183333333333337,23,3,0
2002-09-29,Texans,Eagles,12,3,15,1,2,16,29,151,24,91,242,7,37,1,2,3,11,83,0,5,0,20,26.6,21,8,17,1,1,25,44,289,29,102,391,3,27,2,1,3,4,32,0,5,0,18,33.4,17,35,1
2002-10-13,Bills,Texans,18,3,12,1,2,13,24,197,29,141,338,5,26,0,0,0,11,75,0,9,0,16,26.633333333333333,25,6,14,0,0,19,33,230,33,173,403,3,24,1,0,1,13,128,0,5,0,15,33.36666666666667,31,24,0
2002-10-20,Texans,Browns,17,8,18,0,0,23,37,265,22,89,354,8,41,2,0,2,6,54,0,6,0,20,29.666666666666668,14,3,13,1,1,21,31,141,24,89,230,1,7,0,0,0,4,42,0,6,1,17,30.333333333333332,17,34,1
2002-10-27,Texans,Jaguars,12,3,13,0,0,11,18,161,31,81,242,4,23,1,0,1,9,60,0,5,0,16,26.35,18,6,17,0,1,16,34,164,32,126,290,5,38,0,0,0,5,50,0,6,0,19,33.65,21,19,0
2002-11-03,Bengals,Texans,22,5,13,0,0,18,32,186,25,82,268,2,13,0,2,2,8,60,0,7,0,16,28.633333333333333,25,6,10,0,0,22,27,263,35,127,390,0,0,0,0,0,9,100,0,5,2,11,31.366666666666667,38,3,0
2002-11-10,Texans,Titans,13,4,15,1,3,19,34,165,24,68,233,4,17,1,2,3,5,47,0,2,0,15,26.383333333333333,15,3,11,0,0,10,21,109,39,142,251,0,0,0,2,2,3,20,0,6,0,15,33.61666666666667,10,17,1
2002-11-17,Jaguars,Texans,18,2,11,1,2,22,30,194,28,78,272,4,34,1,1,2,5,40,0,3,0,17,31.133333333333333,16,4,12,1,1,15,25,199,28,122,321,5,25,0,1,1,7,62,0,6,0,16,28.866666666666667,24,21,0
2002-11-24,Giants,Texans,12,4,16,0,0,10,23,89,35,123,212,5,14,1,0,1,8,68,0,4,0,17,32.21666666666667,19,6,15,0,1,18,41,201,26,168,369,2,13,1,2,3,9,65,0,4,0,18,27.783333333333335,14,16,1
2002-12-01,Texans,Colts,10,2,15,0,1,20,35,100,20,65,165,6,37,2,0,2,14,92,0,5,0,19,27.866666666666667,13,4,15,0,0,15,28,190,32,88,278,0,0,1,0,1,9,75,0,4,0,17,32.13333333333333,3,19,1
2002-12-08,Texans,Steelers,3,1,12,0,0,3,10,10,26,37,47,4,23,1,0,1,1,18,0,2,6,18,20.316666666666663,24,8,23,3,5,31,58,294,31,128,422,6,32,3,2,5,8,57,0,6,0,20,39.68333333333333,24,6,0
2002-12-15,Ravens,Texans,15,7,15,0,0,19,34,182,24,95,277,2,14,0,2,2,9,58,0,6,1,16,28.733333333333334,16,6,16,0,1,18,30,228,33,70,298,0,0,0,0,0,2,15,0,5,0,14,31.266666666666666,23,19,0
2002-12-22,Texans,Commanders,10,4,15,0,2,12,31,99,24,67,166,3,13,2,1,3,10,83,0,2,1,18,23.033333333333335,27,7,17,0,0,14,31,190,46,247,437,0,0,0,0,0,6,60,0,6,0,18,36.96666666666667,10,26,1
2002-12-29,Titans,Texans,16,7,17,0,0,21,41,196,22,28,224,3,18,0,1,1,7,53,0,7,0,17,31.816666666666663,15,4,14,0,1,8,23,137,35,140,277,2,11,0,0,0,6,52,0,3,0,13,28.183333333333337,13,3,0
2003-09-07,Texans,Dolphins,16,6,17,0,0,17,32,266,34,127,393,0,0,0,0,0,8,67,0,0,0,1,33.3,14,5,13,0,0,17,32,215,22,86,301,2,12,1,2,3,11,87,0,0,0,1,26.7,21,20,0
2003-09-14,Texans,Saints,16,4,16,2,3,17,36,183,24,75,258,5,30,0,2,2,11,86,0,5,0,18,27.783333333333335,12,8,17,0,0,18,27,182,27,110,292,2,7,0,0,0,9,78,0,1,2,15,32.21666666666667,10,31,1
2003-09-21,Chiefs,Texans,20,4,15,2,2,24,38,209,26,107,316,1,9,2,2,4,10,74,0,7,0,19,29.65,27,7,13,0,0,16,28,258,35,168,426,1,4,0,2,2,4,20,0,5,3,15,30.35,42,14,0
2003-09-28,Jaguars,Texans,21,7,16,1,1,23,37,229,37,110,339,1,5,2,2,4,4,43,0,6,0,17,35.233333333333334,15,2,11,1,1,18,37,263,22,79,342,0,0,2,3,5,9,48,0,5,0,16,24.766666666666666,20,24,1
2003-10-12,Texans,Titans,24,2,9,0,0,25,42,367,16,91,458,1,4,0,3,3,6,50,0,8,0,18,26.283333333333335,22,5,11,0,0,18,27,421,33,114,535,1,0,1,0,1,8,69,0,2,2,13,33.71666666666667,17,38,1
2003-10-19,Jets,Texans,17,3,12,1,2,15,23,156,36,169,325,2,14,0,0,0,8,50,0,8,0,16,34.266666666666666,18,4,12,0,0,15,29,160,27,140,300,2,22,0,0,0,2,9,0,4,0,12,25.733333333333334,19,14,0
2003-10-26,Texans,Colts,18,4,10,1,1,20,26,139,28,131,270,2,11,1,1,2,7,52,0,8,0,17,30.533333333333335,23,5,11,0,0,22,30,269,27,122,391,0,0,1,0,1,3,13,0,8,0,13,29.466666666666665,21,30,1
2003-11-02,Panthers,Texans,14,8,13,0,2,13,19,149,30,118,267,2,5,0,0,0,7,55,0,3,0,8,30.25,21,4,9,1,1,13,23,193,35,174,367,0,0,0,1,1,4,40,0,2,0,8,29.75,10,14,1
2003-11-09,Texans,Bengals,13,3,11,2,2,11,25,129,19,140,269,2,17,0,1,1,6,58,0,9,0,16,18.75,27,11,18,2,2,18,26,182,57,240,422,0,0,0,1,1,7,55,0,8,0,16,41.25,27,34,1
2003-11-16,Texans,Bills,12,2,10,0,1,13,20,211,28,34,245,4,8,0,1,1,11,65,0,2,0,14,28.066666666666663,17,3,13,0,0,15,26,153,28,182,335,4,31,1,0,1,6,44,0,6,0,15,31.933333333333337,12,10,0
2003-11-23,Patriots,Texans,11,5,15,0,0,10,25,80,30,89,169,3,13,1,1,2,6,45,0,6,0,20,30.483333333333334,29,7,20,2,3,29,47,344,41,128,472,4,24,1,2,3,5,58,0,10,0,20,43.833333333333336,23,20,0
