date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Colts,Jaguars,19,8,16,3,3,22,36,225,32,118,343,1,3,1,1,2,5,40,0,8,0,16,32.55,18,9,14,0,0,19,31,203,28,104,307,1,8,2,0,2,2,14,0,6,2,17,27.45,28,25,0
2002-09-15,Jaguars,Chiefs,19,7,15,1,1,25,36,320,29,130,450,0,0,1,0,1,5,45,0,5,0,15,31.733333333333334,18,6,13,0,0,16,32,196,28,140,336,1,3,0,2,2,5,48,0,6,0,13,28.266666666666666,23,16,0
2002-09-29,Jets,Jaguars,20,4,10,0,0,10,15,160,40,223,383,2,13,0,0,0,3,15,0,3,0,12,33.43333333333333,18,5,13,0,3,21,39,267,22,78,345,2,14,2,2,4,4,25,0,4,0,14,26.566666666666663,3,28,1
2002-10-06,Eagles,Jaguars,16,2,11,1,1,13,23,197,27,70,267,1,0,0,0,0,4,21,0,4,1,13,25.033333333333335,28,7,17,3,4,28,48,207,30,199,406,5,23,0,0,0,10,75,0,7,0,16,34.96666666666667,25,28,1
2002-10-13,Jaguars,Titans,13,4,9,0,0,7,13,68,26,130,198,3,16,0,2,2,4,22,0,3,0,14,22.283333333333335,25,10,17,2,2,26,36,218,40,152,370,1,8,1,0,1,5,55,0,6,0,13,37.71666666666667,14,23,1
2002-10-20,Jaguars,Ravens,22,6,16,2,4,24,46,224,30,173,397,2,7,0,3,3,5,30,0,7,0,16,32.016666666666666,16,6,14,0,0,14,28,143,32,118,261,2,9,2,0,2,4,30,0,4,0,15,27.983333333333334,10,17,1
2002-10-27,Texans,Jaguars,18,6,17,0,1,16,34,164,32,126,290,5,38,0,0,0,5,50,0,6,0,19,33.65,12,3,13,0,0,11,18,161,31,81,242,4,23,1,0,1,9,60,0,5,0,16,26.35,21,19,0
2002-11-03,Jaguars,Giants,16,5,14,3,5,23,38,203,20,126,329,2,27,1,0,1,8,63,0,5,0,14,26.933333333333337,26,5,12,1,1,20,28,217,35,177,394,3,11,1,0,1,7,59,0,5,0,13,33.06666666666667,17,24,1
2002-11-10,Commanders,Jaguars,18,6,15,0,0,19,29,167,32,142,309,3,27,0,0,0,8,55,0,4,0,12,33.71666666666667,23,3,12,1,3,27,51,239,16,68,307,2,17,0,3,3,6,49,0,7,0,18,26.283333333333335,7,26,1
2002-11-17,Jaguars,Texans,16,4,12,1,1,15,25,199,28,122,321,5,25,0,1,1,7,62,0,6,0,16,28.866666666666667,18,2,11,1,2,22,30,194,28,78,272,4,34,1,1,2,5,40,0,3,0,17,31.133333333333333,24,21,0
