date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Chiefs,Browns,24,5,11,0,0,20,29,276,30,194,470,0,0,0,1,1,9,87,0,10,0,20,30.266666666666666,24,4,11,0,0,28,40,352,20,59,411,1,7,1,0,1,4,38,0,10,0,17,29.733333333333334,40,39,0
2002-09-15,Jaguars,Chiefs,18,6,13,0,0,16,32,196,28,140,336,1,3,0,2,2,5,48,0,6,0,13,28.266666666666666,19,7,15,1,1,25,36,320,29,130,450,0,0,1,0,1,5,45,0,5,0,15,31.733333333333334,23,16,0
2002-09-22,Chiefs,Patriots,21,6,11,0,0,16,25,128,34,221,349,3,21,1,2,3,1,5,0,7,0,19,27.016666666666666,27,8,17,0,0,39,55,399,20,97,496,4,11,0,1,1,12,100,0,8,0,19,37.65,38,41,1
2002-09-29,Dolphins,Chiefs,25,5,13,0,0,24,34,328,33,122,450,0,0,0,0,0,10,71,0,10,0,19,33.583333333333336,28,1,8,0,1,29,45,294,19,105,399,2,16,1,4,5,9,86,0,11,0,22,26.416666666666668,30,48,1
2002-10-06,Chiefs,Jets,24,5,10,0,0,23,33,289,28,215,504,1,7,0,1,1,7,65,0,6,0,13,30.983333333333334,23,6,11,0,0,22,29,212,27,147,359,3,25,0,1,1,4,25,0,6,0,16,29.016666666666666,29,25,0
2002-10-13,Chiefs,Chargers,17,4,12,0,0,17,29,231,29,88,319,1,5,0,2,2,3,30,0,6,0,18,29.533333333333335,27,6,12,1,1,28,41,312,28,153,465,1,7,3,2,5,4,35,0,12,0,20,30.466666666666665,34,35,1
2002-10-20,Broncos,Chiefs,24,4,13,0,0,20,33,143,31,162,305,4,29,0,0,0,5,50,0,12,0,21,31.633333333333333,22,5,15,2,3,30,50,366,27,141,507,1,10,1,0,1,8,75,0,11,0,21,31.316666666666663,37,34,0
2002-10-27,Raiders,Chiefs,22,6,12,0,0,18,30,190,30,133,323,3,18,0,2,2,4,33,0,6,0,11,31.55,26,3,9,0,0,35,55,334,17,83,417,0,0,1,1,2,6,27,0,7,0,15,28.45,10,20,1
2002-11-10,Chiefs,49ers,14,4,11,0,1,15,27,176,16,80,256,3,17,0,0,0,4,37,0,5,0,11,21.433333333333337,22,11,18,1,1,25,35,168,35,155,323,3,7,0,1,1,3,15,0,6,0,12,38.56666666666667,13,17,1
2002-11-17,Bills,Chiefs,22,4,11,2,2,12,20,192,37,128,320,1,5,0,0,0,5,39,0,3,0,11,28.316666666666663,21,7,13,0,0,24,36,211,26,133,344,2,14,0,1,1,13,139,0,6,0,10,31.683333333333337,16,17,1
2002-11-24,Chiefs,Seahawks,32,1,5,0,0,26,34,335,26,217,552,2,8,0,1,1,4,70,0,9,0,16,30.133333333333333,32,6,10,0,0,25,36,354,30,180,534,1,8,0,0,0,5,52,0,9,0,15,29.866666666666667,32,39,1
2002-12-01,Cardinals,Chiefs,27,7,12,0,0,18,25,261,38,216,477,1,5,1,0,1,4,51,0,5,1,14,33.583333333333336,10,5,16,0,2,18,43,96,15,26,122,5,37,0,4,4,6,50,0,6,0,21,26.416666666666668,0,49,1
2002-12-08,Rams,Chiefs,21,3,8,0,1,11,16,113,37,180,293,1,3,0,0,0,2,15,0,6,4,15,31.1,16,3,12,0,1,24,35,169,17,33,202,7,49,1,2,3,5,40,0,9,0,21,28.9,10,49,1
2002-12-15,Chiefs,Broncos,22,6,16,2,2,18,42,309,26,185,494,1,1,0,0,0,10,93,0,7,0,17,29.5,24,5,11,2,2,18,26,285,35,197,482,2,12,2,1,3,3,25,0,6,0,15,30.5,24,31,1
2002-12-22,Chargers,Chiefs,19,7,16,1,1,23,36,323,24,53,376,3,14,0,1,1,1,1,0,4,0,18,30.316666666666663,20,2,12,0,1,26,40,235,26,148,383,1,7,1,0,1,9,50,0,8,0,17,29.683333333333337,22,24,1
2002-12-28,Chiefs,Raiders,11,4,11,1,3,15,32,132,15,44,176,1,5,0,1,1,1,5,0,3,0,12,19.75,26,8,15,3,4,7,14,74,60,280,354,1,5,1,0,1,4,25,0,5,0,8,40.25,0,24,1
2003-09-07,Chargers,Chiefs,19,6,15,0,0,21,32,259,32,131,390,3,23,1,1,2,7,62,0,0,0,2,34.38333333333333,13,3,13,0,1,18,33,168,18,64,232,3,34,0,2,2,8,55,0,1,0,3,25.616666666666667,14,27,1
2003-09-14,Steelers,Chiefs,19,5,11,0,0,15,21,123,35,159,282,1,1,0,2,2,4,32,0,4,3,17,30.783333333333335,16,6,16,0,2,28,47,320,16,60,380,4,16,1,3,4,8,82,0,6,2,20,29.216666666666665,20,41,1
2003-09-21,Chiefs,Texans,27,7,13,0,0,16,28,258,35,168,426,1,4,0,2,2,4,20,0,5,3,15,30.35,20,4,15,2,2,24,38,209,26,107,316,1,9,2,2,4,10,74,0,7,0,19,29.65,42,14,0
2003-09-28,Chiefs,Ravens,15,4,14,0,0,17,28,136,28,129,265,3,23,0,0,0,4,26,0,4,1,15,28.75,22,5,12,0,1,15,26,124,36,202,326,3,16,1,3,4,4,30,0,4,0,15,31.25,17,10,0
2003-10-05,Broncos,Chiefs,13,3,13,0,0,15,29,129,24,133,262,0,0,1,1,2,7,47,0,6,1,17,25.9,22,5,15,0,1,21,39,292,31,176,468,0,0,1,0,1,7,59,0,6,0,17,34.1,23,24,1
2003-10-12,Chiefs,Packers,22,9,17,0,0,27,45,400,26,82,482,0,0,0,0,0,5,40,0,7,2,20,29.716666666666665,24,6,15,1,1,25,36,257,35,183,440,3,15,1,1,2,3,25,0,7,0,19,36.583333333333336,40,34,0
2003-10-20,Chiefs,Raiders,16,4,13,0,0,11,22,194,31,125,319,2,12,0,1,1,7,67,0,4,0,15,28.016666666666666,25,4,14,1,2,26,47,257,25,100,357,4,25,1,2,3,6,50,0,6,0,15,31.983333333333334,17,10,0
2003-10-26,Bills,Chiefs,22,2,10,0,0,21,37,275,24,100,375,0,0,0,0,0,5,60,0,5,0,14,27.116666666666667,15,3,11,0,2,25,38,133,26,133,266,3,32,2,5,7,5,31,0,7,0,21,32.88333333333333,5,38,1
2003-11-09,Browns,Chiefs,30,12,16,1,1,29,42,348,26,95,443,4,20,2,0,2,5,70,0,8,0,16,33.18333333333333,16,3,11,1,1,19,27,119,21,80,199,3,30,1,1,2,4,38,0,9,0,17,26.816666666666663,20,41,1
2003-11-16,Chiefs,Bengals,20,1,11,0,0,28,42,304,17,67,371,1,9,0,0,0,4,25,0,5,0,16,27.2,21,4,13,0,0,19,32,222,33,200,422,2,11,0,0,0,5,33,0,4,1,14,32.8,19,24,1
2003-11-23,Raiders,Chiefs,22,4,12,1,2,23,33,242,25,142,384,1,2,0,0,0,2,20,0,7,0,15,27.883333333333333,20,8,15,0,1,19,31,213,35,166,379,3,6,0,0,0,7,65,0,7,0,16,32.11666666666667,24,27,1
2003-11-30,Chiefs,Chargers,23,5,12,1,1,17,30,141,39,194,335,1,14,0,2,2,6,55,0,8,0,15,33.31666666666667,17,5,13,1,1,16,34,211,28,159,370,1,2,1,2,3,5,55,0,7,0,16,26.683333333333337,28,24,0
2003-12-07,Chiefs,Broncos,28,8,13,0,2,34,47,381,19,63,444,3,16,0,0,0,5,44,0,8,0,17,28.4,26,5,9,1,1,20,29,238,32,270,508,0,0,0,0,0,4,23,0,4,0,14,31.6,27,45,1
