date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Seahawks,Raiders,27,7,12,1,1,19,28,202,40,221,423,2,12,1,1,2,5,45,0,2,0,4,34.85,14,1,11,2,2,23,32,143,16,43,186,3,12,0,0,0,13,105,0,2,0,4,25.15,17,31,1
2002-09-15,Raiders,Steelers,27,12,20,0,0,43,65,369,17,95,464,5,34,0,2,2,7,69,0,5,1,16,39.56666666666667,14,4,10,0,0,18,34,201,18,72,273,0,0,4,1,5,6,57,0,4,0,20,20.433333333333337,30,17,0
2002-09-29,Titans,Raiders,24,3,9,0,0,29,39,374,21,90,464,2,7,1,0,1,10,117,0,8,4,18,29.583333333333332,23,6,10,0,1,32,46,387,16,43,430,2,11,0,4,4,11,77,0,4,0,21,30.416666666666668,25,52,1
2002-10-06,Raiders,Bills,24,6,13,0,0,23,38,353,27,142,495,1,4,0,0,0,10,120,0,8,2,19,28.466666666666665,29,7,15,1,1,32,53,399,18,80,479,5,18,0,3,3,7,43,0,7,0,20,31.533333333333335,49,31,0
2002-10-13,Raiders,Rams,20,3,11,0,2,30,45,302,17,65,367,4,30,1,2,3,14,107,0,6,0,17,28.233333333333334,19,4,11,0,0,14,21,164,32,158,322,3,22,1,0,1,11,82,0,6,0,16,31.766666666666666,13,28,1
2002-10-20,Chargers,Raiders,26,1,7,0,0,35,45,353,12,37,390,3,8,0,1,1,5,50,0,8,0,14,27.783333333333335,24,6,13,0,0,16,25,161,42,172,333,2,9,0,0,0,10,97,0,6,0,14,35.85,27,21,0
2002-10-27,Raiders,Chiefs,26,3,9,0,0,35,55,334,17,83,417,0,0,1,1,2,6,27,0,7,0,15,28.45,22,6,12,0,0,18,30,190,30,133,323,3,18,0,2,2,4,33,0,6,0,11,31.55,10,20,1
2002-11-03,49ers,Raiders,15,5,11,1,1,18,28,158,21,81,239,1,6,1,0,1,6,44,0,5,0,12,24.133333333333333,30,13,20,1,1,25,36,282,48,152,434,0,0,1,0,1,3,40,0,8,0,14,44.55,23,20,0
2002-11-11,Raiders,Broncos,20,6,10,0,0,34,38,347,14,27,374,1,5,0,0,0,5,35,0,5,2,10,28.316666666666663,27,5,12,1,2,34,47,265,22,77,342,4,28,0,1,1,3,15,0,6,0,15,31.683333333333337,34,10,0
2002-11-17,Patriots,Raiders,22,7,14,1,1,26,38,289,31,97,386,1,8,0,1,1,12,115,0,6,0,14,36.61666666666667,12,4,12,0,2,18,30,147,17,48,195,4,25,1,0,1,7,34,0,6,3,16,23.383333333333333,20,27,1
