date,team,opponent,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,team_score,opponent_score,game_result
2002-09-08,Chargers,Bengals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,6,0
2002-09-15,Chargers,Texans,27.0,6.0,10.0,0.0,0.0,15.0,19.0,160.0,45.0,241.0,401.0,1.0,0.0,0.0,0.0,0.0,4.0,39.0,0.0,7.0,0.0,11.0,37.8,13.0,4.0,11.0,0.0,0.0,18.0,31.0,167.0,13.0,36.0,203.0,4.0,31.0,0.0,1.0,1.0,9.0,57.0,0.0,5.0,0.0,15.0,22.2,34.0,6.0,3,24,1
2002-09-22,Chargers,Cardinals,16.0,4.0,14.0,0.0,0.0,15.0,28.0,143.0,35.0,124.0,267.0,2.0,20.0,0.0,1.0,1.0,4.0,35.0,0.0,5.0,2.0,20.0,32.4,7.0,1.0,14.0,1.0,2.0,6.0,25.0,29.0,25.0,89.0,118.0,9.0,58.0,1.0,2.0,3.0,12.0,73.0,0.0,4.0,0.0,20.0,27.6,3.0,24.0,23,15,0
2002-09-29,Chargers,Patriots,19.0,7.0,15.0,0.0,0.0,17.0,31.0,164.0,34.0,125.0,289.0,2.0,17.0,0.0,1.0,1.0,8.0,80.0,0.0,4.0,2.0,14.0,34.28333333333333,15.0,7.0,16.0,0.0,1.0,16.0,36.0,200.0,21.0,97.0,297.0,3.0,29.0,1.0,2.0,3.0,2.0,25.0,0.0,2.0,0.0,16.0,25.716666666666665,23.0,15.0,14,21,1
2002-10-06,Chargers,Broncos,14.0,6.0,12.0,1.0,2.0,10.0,18.0,104.0,34.0,238.0,342.0,0.0,0.0,1.0,0.0,1.0,2.0,20.0,0.0,1.0,0.0,12.0,26.783333333333335,25.0,7.0,14.0,1.0,2.0,36.0,53.0,353.0,23.0,87.0,440.0,0.0,0.0,1.0,2.0,3.0,6.0,45.0,0.0,5.0,0.0,13.0,33.21666666666667,14.0,21.0,9,26,1
2002-10-13,Chargers,Chiefs,16.0,8.0,15.0,0.0,0.0,26.0,42.0,235.0,18.0,79.0,314.0,0.0,0.0,1.0,2.0,3.0,5.0,41.0,0.0,4.0,0.0,13.0,26.216666666666665,20.0,7.0,15.0,1.0,1.0,26.0,35.0,300.0,31.0,117.0,417.0,2.0,16.0,0.0,1.0,1.0,6.0,50.0,0.0,4.0,2.0,14.0,33.78333333333333,9.0,26.0,34,35,1
2002-10-20,Chargers,Raiders,27.0,6.0,12.0,1.0,1.0,28.0,41.0,312.0,28.0,153.0,465.0,1.0,7.0,3.0,2.0,5.0,4.0,35.0,0.0,12.0,0.0,20.0,30.466666666666665,17.0,4.0,12.0,0.0,0.0,17.0,29.0,231.0,29.0,88.0,319.0,1.0,5.0,0.0,2.0,2.0,3.0,30.0,0.0,6.0,0.0,18.0,29.533333333333335,34.0,35.0,27,21,0
2002-11-03,Chargers,Jets,24.0,6.0,13.0,0.0,0.0,16.0,25.0,161.0,42.0,172.0,333.0,2.0,9.0,0.0,0.0,0.0,10.0,97.0,0.0,6.0,0.0,14.0,35.85,26.0,1.0,7.0,0.0,0.0,35.0,45.0,353.0,12.0,37.0,390.0,3.0,8.0,0.0,1.0,1.0,5.0,50.0,0.0,8.0,0.0,14.0,27.783333333333335,27.0,21.0,44,13,0
2002-11-10,Chargers,Rams,15.0,1.0,9.0,0.0,1.0,22.0,35.0,170.0,14.0,73.0,243.0,2.0,22.0,1.0,2.0,3.0,8.0,55.0,0.0,11.0,0.0,22.0,22.9,21.0,7.0,15.0,0.0,0.0,28.0,37.0,248.0,30.0,165.0,413.0,2.0,5.0,0.0,0.0,0.0,6.0,65.0,0.0,6.0,1.0,16.0,37.1,44.0,13.0,24,28,1
2002-11-17,Chargers,49ers,15.0,3.0,10.0,1.0,1.0,12.0,20.0,130.0,29.0,126.0,256.0,1.0,9.0,0.0,2.0,2.0,12.0,82.0,0.0,5.0,4.0,15.0,29.783333333333335,25.0,4.0,9.0,0.0,0.0,36.0,48.0,453.0,16.0,71.0,524.0,0.0,0.0,4.0,0.0,4.0,10.0,85.0,0.0,5.0,0.0,16.0,30.216666666666665,24.0,28.0,17,20,1
