date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Saints,Buccaneers,21,10,20,0,0,24,42,250,34,118,368,2,10,0,1,1,5,45,0,1,2,4,40.68333333333333,19,7,19,0,1,28,53,261,21,72,333,3,17,0,1,1,8,85,0,2,0,4,31.483333333333334,26,20,0
2002-09-15,Packers,Saints,16,7,12,0,0,16,28,211,28,146,357,1,6,0,2,2,9,59,0,7,2,18,29.566666666666663,18,3,13,0,2,29,44,262,21,95,357,1,8,3,1,4,7,73,0,6,0,18,30.433333333333337,20,35,1
2002-09-22,Saints,Bears,18,4,12,0,0,22,34,229,24,73,302,1,4,2,1,3,10,91,0,7,0,18,26.016666666666666,21,6,15,1,1,26,40,228,30,125,353,1,8,1,1,2,7,49,0,8,0,17,33.983333333333334,29,23,0
2002-09-29,Saints,Lions,24,7,13,0,0,27,48,247,16,110,357,3,22,1,2,3,6,38,0,7,0,18,26.383333333333333,16,5,15,1,2,20,35,267,30,85,352,0,0,0,0,0,5,44,0,7,2,15,33.61666666666667,21,26,1
2002-10-06,Steelers,Saints,17,5,12,0,0,13,23,194,28,121,315,2,11,0,0,0,6,35,0,6,0,13,27.766666666666666,23,7,13,1,1,22,38,244,26,120,364,4,24,1,1,2,7,80,0,7,0,18,32.233333333333334,29,32,1
2002-10-13,Saints,Commanders,16,6,16,0,0,12,23,192,34,119,311,2,13,0,1,1,12,90,0,9,2,18,32.333333333333336,20,4,13,2,4,21,43,264,17,54,318,7,56,1,4,5,11,87,0,8,2,20,27.666666666666668,43,27,0
2002-10-20,49ers,Saints,27,10,14,0,0,23,35,243,27,179,422,3,11,1,0,1,4,35,0,9,0,14,30.016666666666666,26,9,12,0,0,23,39,275,25,143,418,0,0,1,1,2,5,42,0,9,0,16,29.983333333333334,27,35,1
2002-10-27,Falcons,Saints,22,2,8,2,3,16,35,192,24,159,351,0,0,1,2,3,9,96,0,9,0,17,24.95,28,7,11,0,0,16,25,186,38,260,446,3,9,2,0,2,10,95,0,9,0,17,35.05,37,35,0
2002-11-10,Saints,Panthers,17,4,15,0,1,20,38,248,25,97,345,2,11,0,0,0,11,63,0,6,2,19,27.65,21,4,17,1,2,23,40,296,27,100,396,2,14,1,1,2,7,57,0,6,0,18,32.35,34,24,0
2002-11-17,Saints,Falcons,16,5,11,1,1,20,31,264,21,80,344,2,15,1,1,2,16,133,0,5,0,14,26.616666666666667,22,6,12,0,0,11,23,137,37,155,292,3,23,0,1,1,9,69,0,4,0,13,33.38333333333333,17,24,1
2002-11-24,Browns,Saints,19,3,11,1,1,23,40,309,21,74,383,2,9,3,3,6,5,24,0,9,0,15,28.816666666666663,17,5,13,0,0,12,22,176,37,163,339,1,6,0,2,2,4,31,0,5,0,16,31.183333333333337,24,15,0
2002-12-01,Buccaneers,Saints,14,9,17,0,0,10,26,136,31,102,238,4,29,1,0,1,6,57,0,7,0,15,27.333333333333332,17,2,14,3,3,28,44,249,16,34,283,4,27,2,1,3,5,40,0,6,0,18,32.666666666666664,20,23,1
2002-12-08,Saints,Ravens,22,7,18,3,3,16,33,209,41,150,359,2,17,2,0,2,4,35,0,9,0,19,34.43333333333333,19,4,12,1,2,18,39,296,24,114,410,2,20,3,2,5,8,69,0,9,0,24,25.566666666666663,37,25,0
2002-12-15,Vikings,Saints,18,7,14,1,1,21,33,221,22,78,299,4,34,0,0,0,8,53,0,7,1,15,28.65,22,8,14,0,0,26,36,293,25,146,439,3,19,0,0,0,8,73,0,7,0,16,31.35,32,31,0
2002-12-22,Saints,Bengals,11,2,14,0,2,16,38,177,20,33,210,3,26,2,0,2,4,30,0,4,0,17,24.683333333333337,25,7,16,1,1,20,40,183,39,240,423,2,7,2,2,4,6,40,0,5,0,18,35.31666666666667,13,20,1
2002-12-29,Panthers,Saints,13,4,17,0,1,12,31,119,30,125,244,4,26,1,2,3,4,27,0,5,0,16,29.666666666666668,13,3,14,1,1,20,32,188,26,85,273,3,15,1,2,3,3,19,0,4,0,16,30.333333333333332,10,6,0
