date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-05,49ers,Giants,21,9,16,0,1,28,45,318,22,43,361,3,24,0,3,3,10,80,0,6,0,15,32.46666666666667,13,4,12,0,0,16,26,166,25,113,279,0,0,0,1,1,5,29,0,8,0,13,27.533333333333335,16,13,0
2002-09-15,Giants,Rams,16,6,15,0,0,22,26,291,38,103,394,2,16,0,1,1,4,30,0,5,2,16,35.016666666666666,18,3,9,0,1,26,39,260,17,92,352,1,6,2,2,4,8,40,0,8,0,18,24.983333333333334,26,21,0
2002-09-22,Seahawks,Giants,21,8,18,0,1,23,38,257,35,94,351,3,25,0,0,0,3,24,0,3,0,12,36.833333333333336,7,4,12,0,0,16,25,105,18,40,145,2,13,0,1,1,6,37,0,3,0,14,23.166666666666668,6,9,1
2002-09-29,Giants,Cardinals,14,3,11,1,3,19,36,196,17,67,263,1,3,1,2,3,10,110,0,3,0,13,23.916666666666668,18,10,17,0,1,23,32,161,36,102,263,1,7,1,0,1,5,35,0,3,2,13,36.083333333333336,7,21,1
2002-10-06,Giants,Cowboys,16,6,13,0,0,18,27,212,28,104,316,2,16,1,1,2,6,48,0,3,0,15,28.833333333333332,20,8,17,0,2,23,42,245,24,95,340,3,17,0,0,0,5,37,0,6,0,14,31.166666666666668,21,17,0
2002-10-13,Falcons,Giants,18,6,13,1,2,20,31,190,27,113,303,3,14,1,1,2,6,35,0,6,0,12,30.033333333333335,15,8,13,0,0,19,25,246,24,67,313,2,11,0,0,0,3,20,0,4,0,10,29.966666666666665,17,10,0
2002-10-28,Giants,Eagles,18,3,11,1,2,20,34,245,23,103,348,1,6,1,0,1,9,75,0,8,0,14,26.2,21,8,16,0,1,14,30,127,40,295,422,1,10,0,0,0,9,65,0,4,0,10,33.8,3,17,1
2002-11-03,Jaguars,Giants,26,5,12,1,1,20,28,217,35,177,394,3,11,1,0,1,7,59,0,5,0,13,33.06666666666667,16,5,14,3,5,23,38,203,20,126,329,2,27,1,0,1,8,63,0,5,0,14,26.933333333333337,17,24,1
2002-11-10,Giants,Vikings,26,1,11,0,1,25,35,291,35,169,460,1,9,0,1,1,9,84,0,7,0,18,34.233333333333334,17,0,9,0,1,12,26,132,26,224,356,5,44,2,0,2,10,84,0,7,0,17,25.766666666666666,27,20,0
2002-11-17,Commanders,Giants,21,6,17,1,1,22,46,211,38,88,299,0,0,1,2,3,8,75,0,8,0,18,36.7,12,3,16,1,2,15,35,106,21,60,166,2,7,1,1,2,7,39,0,8,0,20,23.3,17,19,1
2002-11-24,Giants,Texans,19,6,15,0,1,18,41,201,26,168,369,2,13,1,2,3,9,65,0,4,0,18,27.783333333333335,12,4,16,0,0,10,23,89,35,123,212,5,14,1,0,1,8,68,0,4,0,17,32.21666666666667,14,16,1
2002-12-01,Titans,Giants,24,4,10,0,0,22,36,283,25,62,345,1,0,0,0,0,6,55,0,6,0,15,29.216666666666665,31,7,14,2,2,30,43,334,32,142,476,1,0,1,0,1,12,121,0,10,0,16,35.78333333333333,32,29,0
2002-12-08,Giants,Commanders,16,5,15,0,0,17,31,205,29,111,316,1,7,0,0,0,8,61,0,6,0,17,30.983333333333334,23,8,15,1,1,25,46,315,20,132,447,6,48,4,1,5,12,90,0,9,0,19,29.016666666666666,27,21,0
2002-12-15,Cowboys,Giants,20,2,11,0,0,16,31,220,33,157,377,0,0,0,0,0,6,57,0,6,2,15,31.3,14,2,15,0,3,16,40,137,27,104,241,3,24,1,2,3,7,55,0,8,0,21,28.7,7,37,1
2002-12-22,Giants,Colts,24,8,13,0,1,23,29,366,36,103,469,0,0,3,0,3,5,33,0,8,0,17,32.6,20,4,14,1,2,30,46,349,19,50,399,2,16,0,2,2,7,59,0,9,0,22,27.4,44,27,0
2002-12-28,Eagles,Giants,23,6,12,0,0,25,35,248,39,213,461,1,8,3,1,4,7,64,0,5,0,13,39.1,9,3,13,0,0,13,25,144,23,65,209,1,6,0,1,1,8,55,0,1,0,13,26.066666666666663,7,10,1
2003-09-07,Rams,Giants,15,5,13,0,0,14,26,187,27,149,336,2,15,3,0,3,7,59,0,0,2,3,26.766666666666666,18,5,16,1,4,35,55,315,13,40,355,6,38,3,1,4,5,35,0,0,0,2,33.233333333333334,13,23,1
2003-09-15,Cowboys,Giants,20,8,17,0,0,21,51,256,17,53,309,2,9,1,2,3,10,102,0,1,2,5,26.566666666666663,24,5,16,0,0,25,40,296,36,107,403,4,25,0,1,1,11,108,0,2,2,3,42.5,35,32,0
2003-09-21,Giants,Commanders,25,1,10,0,0,24,39,270,31,129,399,1,6,0,0,0,15,124,0,5,0,17,34.53333333333333,25,7,15,0,0,23,45,332,22,124,456,3,16,0,1,1,17,142,0,5,0,15,29.716666666666665,24,21,0
2003-10-05,Dolphins,Giants,25,3,9,0,0,31,43,273,23,77,350,1,3,1,3,4,5,35,0,6,0,17,30.383333333333333,15,7,16,0,0,14,26,151,30,134,285,2,16,1,0,1,6,50,0,3,0,12,29.616666666666667,23,10,0
2003-10-12,Giants,Patriots,26,7,17,0,2,35,59,306,24,76,382,2,8,1,4,5,8,50,0,4,0,16,35.21666666666667,12,1,11,0,0,8,21,91,31,129,220,2,21,0,0,0,10,110,0,4,2,16,24.783333333333335,6,17,1
2003-10-19,Eagles,Giants,25,7,17,0,1,22,36,159,41,180,339,3,15,2,0,2,6,66,0,4,0,14,35.7,9,4,13,0,0,9,23,47,23,87,134,3,17,1,1,2,6,35,0,2,1,15,24.3,14,10,0
2003-10-26,Giants,Vikings,26,4,11,0,1,23,39,367,28,83,450,1,8,0,1,1,10,75,0,7,0,14,30.35,22,4,11,0,1,18,31,222,28,137,359,4,19,0,2,2,9,52,0,7,0,18,29.65,29,17,0
2003-11-02,Giants,Jets,23,7,16,0,0,24,40,298,33,115,413,1,5,0,0,0,6,62,0,8,0,18,34.483333333333334,28,9,19,2,2,27,45,260,38,132,392,3,21,2,2,4,3,30,0,7,0,18,40.45,31,28,0
2003-11-09,Falcons,Giants,18,4,13,0,2,27,44,196,19,124,320,3,15,2,2,4,9,70,0,4,0,16,29.85,20,4,12,1,1,9,23,58,37,216,274,1,7,0,0,0,7,60,0,4,0,14,30.15,27,7,0
