date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Jets,Bills,18,2,8,0,0,24,30,193,14,73,266,3,17,1,0,1,10,90,0,9,2,17,21.1,26,7,17,2,2,26,39,242,32,142,384,4,29,1,2,3,10,82,0,8,0,18,39.13333333333333,37,31,0
2002-09-15,Patriots,Jets,9,1,12,1,3,18,33,168,9,32,200,5,21,1,1,2,7,55,0,6,0,20,21.933333333333337,24,10,16,2,2,25,35,269,40,163,432,0,0,1,1,2,3,36,0,7,4,14,38.06666666666667,44,7,0
2002-09-22,Jets,Dolphins,13,3,12,1,1,16,28,131,22,58,189,3,26,1,3,4,7,55,0,3,0,18,27.133333333333333,21,6,14,0,0,16,30,183,35,211,394,1,2,0,0,0,7,55,0,5,0,12,32.86666666666667,3,30,1
2002-09-29,Jets,Jaguars,18,5,13,0,3,21,39,267,22,78,345,2,14,2,2,4,4,25,0,4,0,14,26.566666666666663,20,4,10,0,0,10,15,160,40,223,383,2,13,0,0,0,3,15,0,3,0,12,33.43333333333333,3,28,1
2002-10-06,Chiefs,Jets,23,6,11,0,0,22,29,212,27,147,359,3,25,0,1,1,4,25,0,6,0,16,29.016666666666666,24,5,10,0,0,23,33,289,28,215,504,1,7,0,1,1,7,65,0,6,0,13,30.983333333333334,29,25,0
2002-10-20,Vikings,Jets,21,6,13,0,0,24,29,316,29,91,407,2,8,0,0,0,4,45,0,4,0,10,33.75,21,7,11,0,0,26,39,288,23,101,389,0,0,1,3,4,6,60,0,7,0,13,26.25,7,20,1
2002-10-27,Browns,Jets,14,3,9,0,0,19,27,175,20,66,241,1,8,2,1,3,6,40,0,6,1,17,22.1,18,9,19,1,1,32,48,279,21,55,334,2,15,0,0,0,7,45,0,7,0,14,37.9,24,21,0
2002-11-03,Jets,Chargers,21,7,15,0,0,28,37,248,30,165,413,2,5,0,0,0,6,65,0,6,1,16,37.1,15,1,9,0,1,22,35,170,14,73,243,2,22,1,2,3,8,55,0,11,0,22,22.9,44,13,0
2002-11-10,Dolphins,Jets,19,2,11,0,0,17,27,167,31,97,264,1,0,0,0,0,5,36,0,5,0,13,32.43333333333333,15,3,11,0,1,19,28,210,23,69,279,3,17,2,0,2,6,30,0,5,0,12,27.566666666666663,10,13,1
2002-11-17,Jets,Lions,26,8,11,0,0,21,26,219,39,189,408,1,10,0,1,1,4,45,0,6,0,11,38.733333333333334,13,4,12,0,2,15,30,171,20,108,279,0,0,0,1,1,5,47,0,7,0,14,21.266666666666666,31,14,0
2002-11-24,Bills,Jets,22,7,14,1,2,15,24,170,37,155,325,1,8,0,0,0,1,5,0,6,0,12,31.633333333333333,17,4,10,1,2,23,35,170,20,88,258,2,16,1,2,3,5,34,0,5,0,15,28.366666666666667,13,31,1
2002-12-02,Jets,Raiders,18,1,8,0,1,22,34,242,14,32,274,3,23,1,1,2,3,40,0,8,0,17,23.433333333333337,25,8,16,0,0,31,42,313,26,98,411,4,29,0,0,0,10,83,0,8,0,14,36.56666666666667,20,26,1
2002-12-08,Broncos,Jets,18,7,13,0,0,19,30,217,22,64,281,3,27,0,0,0,1,15,0,5,0,12,27.45,21,9,15,0,1,28,37,258,29,111,369,2,8,0,1,1,5,55,0,7,0,12,32.55,13,19,1
2002-12-15,Jets,Bears,19,4,11,1,2,22,33,200,24,134,334,1,7,1,0,1,7,54,0,4,0,13,27.033333333333335,20,6,11,0,0,22,27,161,26,105,266,4,16,0,0,0,8,74,0,6,0,12,32.96666666666667,13,20,1
2002-12-22,Jets,Patriots,19,6,15,0,0,23,34,285,31,108,393,0,0,0,0,0,7,60,0,6,0,17,34.36666666666667,14,6,16,1,2,19,37,119,23,97,216,2,14,1,1,2,4,30,0,8,1,19,25.633333333333333,30,17,0
2002-12-29,Packers,Jets,22,8,12,0,0,18,25,208,29,129,337,1,2,0,0,0,3,30,0,7,0,13,28.3,19,4,14,2,2,22,41,208,27,114,322,1,7,0,1,1,5,43,0,8,0,17,31.7,17,42,1
2003-09-04,Jets,Commanders,11,3,12,1,1,15,24,101,22,57,158,1,4,0,0,0,1,5,0,5,0,13,25.233333333333334,17,3,10,1,1,17,23,167,34,160,327,4,18,1,1,2,6,55,0,6,0,13,34.766666666666666,13,16,1
2003-09-14,Dolphins,Jets,17,7,14,0,1,29,45,366,11,21,387,1,7,0,1,1,7,52,0,4,0,13,24.233333333333334,23,4,10,0,0,14,19,189,44,187,376,1,1,1,0,1,4,30,0,4,0,12,35.766666666666666,21,10,0
2003-09-21,Jets,Patriots,16,1,13,0,2,25,44,264,17,65,329,0,0,0,1,1,6,52,0,5,0,19,27.383333333333333,19,5,14,0,0,15,26,147,36,147,294,5,34,1,0,1,9,87,0,7,2,17,32.61666666666667,16,23,1
2003-09-28,Cowboys,Jets,15,5,12,0,1,21,29,219,26,66,285,0,0,2,0,2,4,40,0,5,0,13,27.4,18,7,16,0,0,11,23,158,41,202,360,2,7,0,1,1,5,38,0,2,0,13,32.6,17,6,0
