date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Eagles,Titans,17,7,15,1,1,18,36,181,22,80,261,6,31,1,2,3,10,113,0,3,0,17,29.2,22,6,10,0,0,24,34,267,25,61,328,1,2,3,1,4,6,50,0,7,0,16,30.8,24,27,1
2002-09-16,Eagles,Commanders,22,7,15,0,1,26,38,283,28,168,451,2,9,0,0,0,4,30,0,4,0,13,35.38333333333333,11,3,12,1,2,16,31,90,18,89,179,4,29,1,2,3,7,55,0,3,1,18,24.616666666666667,37,7,0
2002-09-22,Cowboys,Eagles,26,3,10,1,1,26,40,294,26,153,447,3,15,2,0,2,3,25,0,7,0,16,29.133333333333333,18,4,13,0,0,21,35,183,27,121,304,3,18,3,1,4,7,92,0,6,1,20,30.866666666666667,13,44,1
2002-09-29,Texans,Eagles,21,8,17,1,1,25,44,289,29,102,391,3,27,2,1,3,4,32,0,5,0,18,33.4,12,3,15,1,2,16,29,151,24,91,242,7,37,1,2,3,11,83,0,5,0,20,26.6,17,35,1
2002-10-06,Eagles,Jaguars,28,7,17,3,4,28,48,207,30,199,406,5,23,0,0,0,10,75,0,7,0,16,34.96666666666667,16,2,11,1,1,13,23,197,27,70,267,1,0,0,0,0,4,21,0,4,1,13,25.033333333333335,25,28,1
2002-10-20,Buccaneers,Eagles,14,4,14,0,0,12,25,110,34,159,269,2,17,1,1,2,8,56,0,6,0,15,31.216666666666665,15,3,13,0,0,23,38,126,21,81,207,6,29,1,1,2,7,59,0,3,2,17,28.783333333333335,10,20,1
2002-10-28,Giants,Eagles,21,8,16,0,1,14,30,127,40,295,422,1,10,0,0,0,9,65,0,4,0,10,33.8,18,3,11,1,2,20,34,245,23,103,348,1,6,1,0,1,9,75,0,8,0,14,26.2,3,17,1
2002-11-03,Eagles,Bears,23,5,16,1,3,18,33,192,37,117,309,3,17,0,1,1,6,54,0,7,0,14,33.016666666666666,18,1,11,1,2,19,37,186,24,74,260,3,19,1,0,1,12,121,0,7,0,17,26.983333333333334,19,13,0
2002-11-10,Colts,Eagles,21,4,14,1,4,27,48,269,22,105,374,2,12,2,0,2,3,25,0,10,0,18,29.366666666666667,18,7,13,0,0,18,23,319,35,127,446,0,0,1,0,1,3,25,0,5,0,15,30.633333333333333,35,13,0
2002-11-17,Cardinals,Eagles,26,7,11,0,0,20,25,250,43,212,462,1,5,1,1,2,8,88,0,7,0,12,36.25,15,7,16,1,4,20,35,124,20,124,248,4,39,0,1,1,1,5,0,7,0,17,23.75,14,38,1
