date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-09,Steelers,Patriots,20,4,14,2,2,25,38,209,24,74,283,5,38,2,3,5,13,112,0,8,0,19,30.516666666666666,20,5,13,0,0,29,43,280,18,63,343,2,14,1,0,1,7,88,0,4,0,14,29.483333333333334,14,30,1
2002-09-15,Raiders,Steelers,14,4,10,0,0,18,34,201,18,72,273,0,0,4,1,5,6,57,0,4,0,20,20.433333333333337,27,12,20,0,0,43,65,369,17,95,464,5,34,0,2,2,7,69,0,5,1,16,39.56666666666667,30,17,0
2002-09-29,Browns,Steelers,21,5,14,1,1,26,39,265,34,93,358,0,0,0,2,2,7,45,0,9,0,16,38.21666666666667,13,5,14,0,0,16,29,122,24,123,245,3,22,0,2,2,7,50,0,4,0,13,29.016666666666666,13,16,1
2002-10-06,Steelers,Saints,23,7,13,1,1,22,38,244,26,120,364,4,24,1,1,2,7,80,0,7,0,18,32.233333333333334,17,5,12,0,0,13,23,194,28,121,315,2,11,0,0,0,6,35,0,6,0,13,27.766666666666666,29,32,1
2002-10-13,Steelers,Bengals,21,7,12,0,0,16,25,197,35,211,408,2,19,0,2,2,7,50,0,5,1,12,31.2,18,8,14,0,2,23,35,190,24,78,268,5,32,1,3,4,4,30,0,6,0,18,28.8,34,7,0
2002-10-21,Colts,Steelers,22,3,7,0,1,15,23,182,33,182,364,1,6,0,1,1,4,38,0,7,0,11,29.116666666666667,23,8,16,2,2,32,48,295,21,72,367,2,9,0,3,3,7,55,0,4,0,14,30.883333333333333,10,28,1
2002-10-27,Steelers,Ravens,16,5,12,0,1,19,25,179,30,104,283,0,0,0,1,1,7,51,0,6,0,15,26.583333333333332,26,8,15,1,1,29,51,293,21,67,360,1,5,2,3,5,13,100,0,8,0,17,33.416666666666664,31,18,0
2002-11-03,Steelers,Browns,25,10,20,1,3,25,44,255,39,136,391,2,10,0,1,1,3,21,0,7,0,15,42.166666666666664,9,2,9,1,1,15,24,157,14,36,193,4,24,1,2,3,11,85,0,7,1,18,17.833333333333332,23,20,0
2002-11-17,Steelers,Titans,20,5,13,1,1,27,45,312,15,45,357,1,6,0,3,3,4,20,0,8,0,17,23.45,22,12,19,0,1,18,33,257,40,121,378,0,0,1,0,1,5,36,0,5,0,16,36.55,23,31,1
2002-11-24,Bengals,Steelers,21,3,11,1,2,22,26,235,35,156,391,1,1,0,0,0,5,40,0,5,0,15,34.13333333333333,17,7,15,1,3,22,39,298,21,54,352,1,0,1,0,1,9,110,0,9,0,17,25.866666666666667,21,29,1
2002-12-01,Steelers,Jaguars,23,2,11,1,1,17,27,184,40,219,403,2,17,0,1,1,4,25,0,6,0,15,38.68333333333333,13,3,11,1,1,12,23,124,21,102,226,3,22,0,0,0,0,0,0,8,0,17,21.316666666666663,25,23,0
2002-12-08,Texans,Steelers,24,8,23,3,5,31,58,294,31,128,422,6,32,3,2,5,8,57,0,6,0,20,39.68333333333333,3,1,12,0,0,3,10,10,26,37,47,4,23,1,0,1,1,18,0,2,6,18,20.316666666666663,24,6,0
2002-12-15,Panthers,Steelers,19,10,20,1,1,21,34,203,38,129,332,2,12,1,1,2,1,5,0,7,0,16,39.46666666666667,11,5,14,0,1,17,34,81,16,50,131,6,45,3,1,4,4,35,0,7,0,21,20.533333333333335,14,30,1
2002-12-23,Steelers,Buccaneers,19,7,14,0,1,18,24,233,35,94,327,2,11,1,0,1,5,45,0,3,2,14,34.333333333333336,18,2,11,1,1,21,44,203,14,74,277,6,29,2,1,3,5,39,0,4,0,15,25.666666666666668,17,7,0
2002-12-29,Ravens,Steelers,25,8,13,1,2,20,30,176,37,175,351,4,18,0,2,2,5,41,0,9,0,17,36.583333333333336,21,6,10,0,0,19,26,308,23,114,422,3,28,2,2,4,9,82,0,7,1,16,23.416666666666668,31,34,1
2003-09-07,Ravens,Steelers,21,7,15,1,1,21,29,251,34,88,339,2,9,1,0,1,9,138,0,2,0,2,32.666666666666664,17,5,16,1,2,22,43,143,23,88,231,2,9,1,1,2,10,81,0,1,0,2,27.333333333333332,15,34,1
2003-09-14,Steelers,Chiefs,16,6,16,0,2,28,47,320,16,60,380,4,16,1,3,4,8,82,0,6,2,20,29.216666666666665,19,5,11,0,0,15,21,123,35,159,282,1,1,0,2,2,4,32,0,4,3,17,30.783333333333335,20,41,1
2003-09-21,Steelers,Bengals,22,8,16,2,2,21,34,238,38,138,376,1,2,0,1,1,6,53,0,5,0,12,37.1,11,3,10,0,0,16,24,125,16,57,182,4,32,0,1,1,7,49,0,4,0,11,22.9,17,10,0
2003-09-28,Titans,Steelers,25,4,13,2,3,31,47,307,25,69,376,3,25,0,2,2,8,80,0,7,0,15,35.833333333333336,9,3,10,0,0,15,16,158,22,40,198,1,3,0,0,0,10,77,0,5,2,16,24.166666666666668,30,13,0
2003-10-05,Browns,Steelers,11,1,11,0,1,14,30,149,18,60,209,3,12,1,2,3,10,62,0,8,0,18,22.533333333333335,22,7,13,0,0,20,25,200,40,124,324,1,8,1,1,2,2,10,0,7,2,16,37.46666666666667,33,13,0
2003-10-12,Steelers,Broncos,17,4,15,2,2,20,31,130,30,85,215,7,56,1,0,1,9,85,0,4,0,14,36.25,15,2,8,0,0,17,28,165,18,77,242,2,7,1,2,3,6,37,0,2,0,15,23.75,14,17,1
2003-10-26,Rams,Steelers,11,1,10,0,1,12,28,151,18,94,245,2,8,1,3,4,5,37,0,5,1,20,20.0,26,5,16,1,1,22,37,359,37,89,448,2,16,0,0,0,8,45,0,8,0,18,40.0,33,21,0
2003-11-02,Steelers,Seahawks,19,4,14,0,1,21,35,215,30,105,320,2,11,0,0,0,11,76,0,8,0,18,32.38333333333333,19,3,11,0,0,18,31,191,25,98,289,5,24,0,0,0,5,35,0,7,0,15,27.616666666666667,16,23,1
2003-11-09,Cardinals,Steelers,11,5,13,0,0,12,24,159,27,87,246,1,0,1,0,1,6,69,0,5,1,18,26.266666666666666,19,3,16,2,5,23,43,283,28,96,379,5,24,1,0,1,8,81,0,6,0,18,33.733333333333334,15,28,1
2003-11-17,Steelers,49ers,21,8,16,0,1,26,45,305,20,44,349,2,15,1,1,2,3,30,0,5,0,17,29.466666666666665,17,4,12,0,1,21,27,254,32,169,423,0,0,0,0,0,4,20,0,4,0,15,30.533333333333335,14,30,1
2003-11-23,Steelers,Browns,11,2,14,0,0,9,24,59,31,109,168,2,14,0,0,0,10,55,0,4,0,14,27.45,19,8,17,0,1,25,44,213,28,90,303,3,21,3,2,5,5,32,0,6,0,16,32.55,13,6,0
2003-11-30,Bengals,Steelers,23,11,17,1,1,29,44,299,25,85,384,6,36,1,1,2,7,70,0,6,0,14,33.21666666666667,18,6,12,0,1,18,32,266,25,113,379,1,5,0,0,0,6,55,0,5,0,14,26.783333333333335,24,20,0
2003-12-07,Raiders,Steelers,21,7,15,1,1,19,28,266,40,133,399,0,0,1,1,2,9,85,0,5,0,15,35.85,9,1,12,1,1,10,25,39,23,122,161,4,29,1,2,3,5,50,0,5,0,18,24.15,7,27,1
2003-12-14,Steelers,Jets,16,5,14,0,2,16,38,137,24,94,231,0,0,0,0,0,4,19,0,3,0,11,30.05,15,7,16,0,0,15,25,144,36,175,319,0,0,1,0,1,4,40,0,2,0,10,29.95,0,6,1
2003-12-21,Chargers,Steelers,21,6,13,1,1,12,19,160,43,181,341,2,9,0,0,0,3,24,0,5,2,15,34.36666666666667,21,5,13,2,4,21,36,228,27,116,344,2,12,1,2,3,2,10,0,11,0,19,25.633333333333333,24,40,1
2003-12-28,Steelers,Ravens,9,3,15,1,3,15,29,158,27,56,214,5,31,2,3,5,3,40,0,2,0,17,30.416666666666668,14,4,16,0,0,16,27,151,34,128,279,2,12,1,1,2,10,55,0,4,0,18,33.05,10,13,1
2004-09-12,Raiders,Steelers,17,6,12,0,0,13,22,130,33,107,237,2,12,1,0,1,3,20,0,5,0,14,29.283333333333335,18,5,14,2,2,20,37,297,22,61,358,3,8,2,2,4,5,31,0,5,0,16,30.716666666666665,21,24,1
2004-09-19,Steelers,Ravens,17,3,13,0,0,16,33,217,25,93,310,4,26,1,2,3,9,77,0,8,0,20,26.866666666666667,15,5,16,0,0,10,18,87,41,172,259,2,11,0,0,0,10,123,0,6,2,16,33.13333333333333,13,30,1
2004-09-26,Steelers,Dolphins,15,5,16,1,2,12,22,161,38,153,314,1,2,0,1,1,11,103,0,2,0,14,34.18333333333333,13,3,11,0,1,13,27,117,29,52,169,3,20,2,2,4,6,33,0,2,0,17,25.816666666666663,13,3,0
2004-10-03,Bengals,Steelers,23,5,10,0,0,17,25,168,40,165,333,1,6,2,0,2,7,90,0,6,2,16,31.866666666666667,22,7,15,0,0,20,37,156,27,137,293,1,8,1,2,3,5,46,0,6,0,15,28.133333333333333,17,28,1
2004-10-10,Browns,Steelers,21,7,14,0,1,16,21,231,43,170,401,0,0,0,1,1,6,63,0,0,0,2,35.71666666666667,17,2,12,1,2,16,34,207,21,98,305,2,3,1,0,1,8,54,0,1,2,3,24.283333333333335,23,34,1
2004-10-17,Steelers,Cowboys,21,2,8,0,0,21,25,172,29,125,297,3,21,0,0,0,6,45,0,7,0,14,32.733333333333334,20,6,13,0,0,23,36,248,21,100,348,5,36,1,0,1,5,30,0,3,0,14,27.266666666666666,24,20,0
2004-10-31,Patriots,Steelers,25,9,16,0,0,18,24,196,49,221,417,0,0,0,0,0,9,90,0,9,2,16,42.96666666666667,19,3,9,0,0,25,43,243,6,5,248,4,28,2,2,4,6,55,0,6,0,16,17.033333333333335,20,34,1
2004-11-07,Eagles,Steelers,25,8,15,2,3,11,18,168,56,252,420,2,15,1,1,2,4,20,0,6,0,11,41.81666666666667,7,0,8,0,1,15,24,90,9,23,113,4,19,0,1,1,5,25,0,2,0,14,18.183333333333337,3,27,1
2004-11-14,Steelers,Browns,18,7,15,0,0,10,16,120,47,180,300,2,14,0,1,1,5,38,0,6,2,14,36.0,12,2,10,1,1,12,25,160,22,68,228,4,14,2,2,4,3,11,0,5,0,15,24.0,24,10,0
2004-11-21,Steelers,Bengals,21,8,18,0,0,15,21,84,40,151,235,7,54,1,0,1,8,56,0,7,2,15,38.93333333333333,10,2,10,0,0,13,25,147,16,62,209,3,18,0,1,1,10,97,0,4,0,15,21.066666666666663,19,14,0
2004-11-28,Commanders,Steelers,15,4,15,0,0,9,20,100,38,107,207,4,31,0,0,0,6,59,0,6,0,13,34.266666666666666,10,2,13,2,4,19,35,105,14,51,156,5,33,0,1,1,6,68,0,4,0,15,25.733333333333334,7,16,1
2004-12-05,Steelers,Jaguars,15,5,10,0,0,14,17,196,25,120,316,3,25,0,0,0,11,82,0,1,0,13,25.383333333333333,20,6,14,0,0,16,27,259,34,100,359,2,9,0,0,0,3,25,0,8,0,12,34.61666666666667,17,16,0
2004-12-12,Jets,Steelers,15,5,12,0,0,10,20,142,31,120,262,2,12,0,2,2,2,15,0,6,0,13,29.2,15,8,15,0,0,17,31,189,32,107,296,0,0,0,3,3,12,84,0,0,0,13,30.8,6,17,1
2004-12-18,Steelers,Giants,27,8,16,1,1,19,29,309,39,160,469,3,17,0,2,2,2,14,0,10,0,16,35.71666666666667,18,2,7,0,0,16,23,182,21,96,278,0,0,0,1,1,5,55,0,11,1,17,24.283333333333335,33,30,0
2004-12-26,Ravens,Steelers,20,4,10,2,4,15,20,221,42,183,404,0,0,1,1,2,3,25,0,3,0,9,33.88333333333333,16,8,14,0,1,18,32,177,21,71,248,0,0,0,1,1,3,30,0,3,0,12,26.116666666666667,7,20,1
2005-01-02,Steelers,Bills,15,8,19,1,1,12,25,105,43,157,262,2,15,1,2,3,7,40,0,7,2,18,35.05,16,2,12,1,1,16,30,171,21,96,267,3,18,2,1,3,12,108,0,6,2,21,24.95,29,24,0
2005-09-11,Titans,Steelers,18,5,10,0,0,9,11,218,41,206,424,0,0,0,0,0,3,27,0,4,0,9,30.833333333333332,16,3,8,0,0,18,27,206,23,97,303,3,13,2,2,4,7,49,0,3,0,10,29.166666666666668,7,34,1
2005-09-18,Steelers,Texans,18,4,11,1,2,14,21,253,32,135,388,1,1,0,0,0,5,40,0,5,0,8,29.1,16,8,15,0,1,16,26,108,25,113,221,8,59,1,0,1,7,58,0,1,0,8,30.9,27,7,0
2005-09-25,Patriots,Steelers,14,3,13,0,0,12,28,190,23,79,269,4,26,1,0,1,5,35,0,3,0,14,24.616666666666667,24,8,16,0,0,31,41,346,30,80,426,3,26,2,1,3,10,118,0,5,0,13,35.38333333333333,23,20,0
2005-10-10,Steelers,Chargers,25,4,10,0,0,17,26,207,32,104,311,3,18,1,0,1,11,104,0,3,0,12,33.38333333333333,20,5,12,0,0,20,35,213,21,66,279,1,6,1,1,2,9,100,0,4,0,10,26.616666666666667,24,22,0
2005-10-16,Jaguars,Steelers,16,1,12,0,0,11,28,145,30,73,218,2,9,1,3,4,7,80,0,2,1,17,27.45,17,7,19,0,1,19,35,153,35,93,246,3,24,0,1,1,10,106,0,3,2,14,36.15,23,17,0
2005-10-23,Steelers,Bengals,20,4,11,0,0,9,14,83,47,221,304,1,10,1,1,2,5,65,0,4,0,11,35.483333333333334,20,3,11,0,0,21,36,211,19,91,302,2,16,0,2,2,4,35,0,3,0,12,24.516666666666666,27,13,0
2005-10-31,Ravens,Steelers,19,4,12,1,2,18,31,160,28,101,261,2,17,1,1,2,4,19,0,4,0,12,28.933333333333337,20,9,18,1,3,25,44,246,27,72,318,2,6,1,2,3,6,38,0,2,0,10,31.066666666666663,19,20,1
2005-11-06,Steelers,Packers,13,0,8,0,0,9,16,59,33,154,213,1,6,0,1,1,4,53,0,4,2,14,26.866666666666667,16,8,17,0,2,20,35,203,29,65,268,1,11,2,1,3,8,74,0,2,0,10,33.13333333333333,20,10,0
2005-11-13,Browns,Steelers,25,6,13,1,2,18,27,223,41,159,382,0,0,0,0,0,4,30,0,5,0,9,36.38333333333333,16,5,11,1,2,17,34,242,19,61,303,2,11,1,1,2,9,75,0,2,1,13,23.616666666666667,21,34,1
