date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Cardinals,Commanders,21,9,16,1,2,28,40,320,32,122,442,1,7,0,1,1,7,56,0,8,0,18,34.4,14,4,13,0,0,14,36,187,20,70,257,1,0,0,1,1,1,5,0,5,0,18,25.6,23,31,1
2002-09-16,Eagles,Commanders,11,3,12,1,2,16,31,90,18,89,179,4,29,1,2,3,7,55,0,3,1,18,24.616666666666667,22,7,15,0,1,26,38,283,28,168,451,2,9,0,0,0,4,30,0,4,0,13,35.38333333333333,37,7,0
2002-09-22,Commanders,49ers,12,4,12,0,0,18,30,160,16,57,217,3,23,2,1,3,4,35,0,3,0,15,24.083333333333332,22,6,14,0,0,15,28,114,41,252,366,2,11,0,1,1,5,50,0,5,0,15,35.916666666666664,10,20,1
2002-10-06,Commanders,Titans,25,8,14,0,0,22,38,286,30,156,442,1,7,0,0,0,7,46,0,6,0,14,34.2,17,2,11,1,2,24,39,230,15,59,289,4,15,1,3,4,7,46,0,7,0,16,25.8,31,14,0
2002-10-13,Saints,Commanders,20,4,13,2,4,21,43,264,17,54,318,7,56,1,4,5,11,87,0,8,2,20,27.666666666666668,16,6,16,0,0,12,23,192,34,119,311,2,13,0,1,1,12,90,0,9,2,18,32.333333333333336,43,27,0
2002-10-20,Commanders,Packers,19,3,10,0,1,10,24,92,34,146,238,6,43,4,0,4,11,129,0,8,0,18,30.983333333333334,19,4,12,0,1,20,29,155,25,88,243,1,12,1,0,1,11,95,0,8,0,14,29.016666666666666,9,30,1
2002-10-27,Colts,Commanders,23,8,16,1,2,17,36,205,37,165,370,1,5,1,0,1,5,30,0,6,0,14,33.55,18,6,11,0,0,21,32,195,19,63,258,3,19,1,2,3,6,40,0,7,0,16,26.45,21,26,1
2002-11-03,Commanders,Seahawks,16,6,13,0,0,10,27,113,29,146,259,1,1,0,1,1,6,68,0,4,0,11,25.033333333333335,21,6,17,1,3,28,44,240,25,84,324,4,24,2,0,2,5,52,0,4,0,12,34.96666666666667,14,3,0
2002-11-10,Commanders,Jaguars,23,3,12,1,3,27,51,239,16,68,307,2,17,0,3,3,6,49,0,7,0,18,26.283333333333335,18,6,15,0,0,19,29,167,32,142,309,3,27,0,0,0,8,55,0,4,0,12,33.71666666666667,7,26,1
2002-11-17,Commanders,Giants,12,3,16,1,2,15,35,106,21,60,166,2,7,1,1,2,7,39,0,8,0,20,23.3,21,6,17,1,1,22,46,211,38,88,299,0,0,1,2,3,8,75,0,8,0,18,36.7,17,19,1
2002-11-24,Rams,Commanders,21,7,12,1,2,16,24,235,39,127,362,0,0,0,0,0,4,40,0,6,0,12,31.266666666666666,25,9,13,0,0,34,49,280,17,84,364,3,21,1,1,2,8,65,0,6,0,11,28.733333333333334,17,20,1
2002-11-28,Commanders,Cowboys,16,3,13,1,2,21,37,232,25,83,315,1,11,0,4,4,6,56,0,8,0,20,27.033333333333335,19,3,14,0,0,12,25,117,36,211,328,4,28,0,0,0,6,48,0,4,2,18,32.96666666666667,20,27,1
2002-12-08,Giants,Commanders,23,8,15,1,1,25,46,315,20,132,447,6,48,4,1,5,12,90,0,9,0,19,29.016666666666666,16,5,15,0,0,17,31,205,29,111,316,1,7,0,0,0,8,61,0,6,0,17,30.983333333333334,27,21,0
2002-12-15,Commanders,Eagles,16,3,13,2,3,23,35,206,25,86,292,2,7,3,0,3,9,73,0,5,0,21,29.8,15,4,14,0,0,16,28,210,30,110,320,2,10,0,1,1,11,91,0,5,2,17,30.2,21,34,1
2002-12-22,Texans,Commanders,27,7,17,0,0,14,31,190,46,247,437,0,0,0,0,0,6,60,0,6,0,18,36.96666666666667,10,4,15,0,2,12,31,99,24,67,166,3,13,2,1,3,10,83,0,2,1,18,23.033333333333335,10,26,1
2002-12-29,Cowboys,Commanders,18,9,17,1,1,17,31,201,37,151,352,1,8,3,2,5,8,55,0,6,2,17,35.45,8,1,13,1,1,12,23,148,22,38,186,5,41,3,1,4,9,86,0,2,2,18,24.55,14,20,1
2003-09-04,Jets,Commanders,17,3,10,1,1,17,23,167,34,160,327,4,18,1,1,2,6,55,0,6,0,13,34.766666666666666,11,3,12,1,1,15,24,101,22,57,158,1,4,0,0,0,1,5,0,5,0,13,25.233333333333334,13,16,1
2003-09-14,Commanders,Falcons,23,5,15,0,0,25,39,310,31,125,435,6,46,2,0,2,12,79,0,3,0,21,34.7,17,1,11,0,0,16,36,184,22,99,283,3,13,0,2,2,5,35,0,8,0,22,25.3,33,31,0
2003-09-21,Giants,Commanders,25,7,15,0,0,23,45,332,22,124,456,3,16,0,1,1,17,142,0,5,0,15,29.716666666666665,25,1,10,0,0,24,39,270,31,129,399,1,6,0,0,0,15,124,0,5,0,17,34.53333333333333,24,21,0
2003-09-28,Patriots,Commanders,15,3,11,0,0,10,22,134,29,119,253,2,13,0,0,0,9,75,0,7,0,16,26.35,23,7,15,0,1,25,38,281,30,106,387,1,8,1,3,4,8,64,0,5,0,15,33.65,17,20,1
2003-10-05,Commanders,Eagles,20,5,17,1,1,25,50,258,21,49,307,2,13,0,2,2,11,85,0,7,0,18,27.516666666666666,18,6,14,0,0,16,30,140,30,127,267,3,17,0,2,2,7,86,0,6,2,18,32.483333333333334,25,27,1
2003-10-12,Buccaneers,Commanders,19,9,16,0,1,25,36,207,23,68,275,6,39,1,2,3,9,72,0,4,0,14,30.95,25,6,10,0,0,22,30,268,25,111,379,0,0,0,0,0,6,59,0,5,2,13,29.05,35,13,0
2003-10-19,Commanders,Bills,8,2,14,1,1,9,28,110,23,59,169,2,6,1,0,1,9,77,0,4,0,17,23.083333333333332,25,3,10,0,0,19,26,236,39,196,432,1,8,1,1,2,9,95,0,4,0,14,36.916666666666664,7,24,1
2003-11-02,Commanders,Cowboys,13,1,11,1,2,18,33,124,16,89,213,4,43,0,0,0,8,57,0,5,0,15,25.733333333333334,24,10,16,0,0,17,33,192,40,208,400,1,4,2,2,4,5,30,0,5,0,14,34.266666666666666,14,21,1
2003-11-09,Seahawks,Commanders,19,6,14,1,1,18,33,242,32,137,379,0,0,0,2,2,4,40,0,9,0,16,29.866666666666667,21,5,11,0,0,19,29,221,28,125,346,3,20,2,1,3,4,32,0,7,0,15,30.133333333333333,20,27,1
2003-11-16,Commanders,Panthers,13,5,16,0,1,16,35,127,22,54,181,3,23,1,1,2,0,0,0,8,0,18,25.733333333333334,17,5,15,2,2,20,30,317,35,110,427,0,0,2,2,4,4,69,0,5,0,18,34.266666666666666,17,20,1
2003-11-23,Commanders,Dolphins,21,6,14,0,0,16,34,148,32,129,277,2,9,1,1,2,5,38,0,4,0,16,34.166666666666664,16,4,11,1,1,13,23,173,32,144,317,2,19,1,2,3,7,45,0,2,0,17,25.833333333333332,23,24,1
2003-11-30,Saints,Commanders,20,5,14,1,2,22,42,231,26,161,392,0,0,2,1,3,8,120,0,4,1,17,28.5,23,7,16,0,0,14,30,121,37,189,310,0,0,0,0,0,3,30,0,8,0,16,31.5,24,20,0
2003-12-07,Commanders,Giants,20,8,16,0,0,13,19,138,48,150,288,2,16,0,0,0,6,35,0,5,0,12,37.13333333333333,15,4,12,1,2,12,25,100,23,120,220,6,45,2,1,3,7,70,0,5,0,14,22.866666666666667,20,7,0
2003-12-14,Cowboys,Commanders,8,3,14,2,2,7,27,55,26,106,161,1,4,2,4,6,4,35,0,5,0,19,23.016666666666666,16,7,18,0,1,10,24,104,45,222,326,3,4,1,0,1,2,10,0,6,0,15,36.983333333333334,27,0,0
2003-12-21,Commanders,Bears,15,1,9,0,0,17,27,242,18,44,286,1,3,0,0,0,7,50,0,7,0,16,22.1,25,9,17,2,2,19,32,238,40,191,429,2,11,1,1,2,5,33,0,7,0,16,37.9,24,27,1
2003-12-27,Eagles,Commanders,16,4,9,0,2,22,34,181,18,79,260,5,18,1,1,2,9,78,0,4,0,14,28.633333333333333,24,6,11,1,1,24,34,249,25,83,332,0,0,0,0,0,7,48,0,6,0,8,31.366666666666667,31,7,0
2004-09-12,Buccaneers,Commanders,13,6,17,0,0,13,24,125,39,166,291,0,0,1,0,1,3,23,0,3,0,16,32.78333333333333,10,3,13,0,0,24,37,139,15,30,169,4,30,1,1,2,6,44,0,2,2,18,27.216666666666665,10,16,1
2004-09-19,Commanders,Giants,20,4,12,0,1,19,36,214,28,108,322,4,20,3,4,7,7,50,0,7,0,20,30.083333333333332,15,1,13,0,2,22,33,215,28,62,277,2,17,1,0,1,8,50,0,2,2,17,29.916666666666668,14,20,1
2004-09-27,Cowboys,Commanders,21,8,18,0,0,25,43,290,24,94,384,5,35,0,0,0,7,87,0,5,0,15,35.15,14,5,13,0,0,15,30,237,21,50,287,1,3,0,0,0,5,40,0,5,0,15,24.85,21,18,0
2004-10-03,Commanders,Browns,13,1,11,1,1,17,32,192,25,73,265,0,0,2,0,2,7,58,0,4,0,16,29.933333333333337,14,4,14,0,1,14,21,184,32,96,280,3,11,1,0,1,8,66,0,5,0,16,30.066666666666663,13,17,1
2004-10-10,Ravens,Commanders,9,5,17,0,0,13,29,55,26,52,107,3,28,1,1,2,2,22,0,2,0,16,27.916666666666668,15,5,15,0,0,9,18,76,43,156,232,2,5,0,3,3,5,53,0,4,3,16,32.083333333333336,17,10,0
2004-10-17,Commanders,Bears,18,6,18,0,0,8,22,93,47,218,311,1,2,0,1,1,5,39,0,5,0,16,34.016666666666666,9,1,13,0,1,10,22,34,28,126,160,4,31,0,1,1,7,65,0,3,2,17,25.983333333333334,13,10,0
2004-10-31,Packers,Commanders,20,1,10,1,1,25,45,191,19,81,272,4,27,0,2,2,10,82,0,7,0,18,30.283333333333335,20,6,13,0,0,20,32,273,28,88,361,1,16,1,3,4,9,73,0,5,0,14,29.716666666666665,28,14,0
2004-11-07,Commanders,Lions,15,3,14,0,0,7,18,73,40,156,229,0,0,0,0,0,7,75,0,2,1,15,30.516666666666666,21,5,18,2,3,26,52,258,24,64,322,2,11,0,1,1,4,40,0,4,0,18,29.483333333333334,17,10,0
2004-11-14,Bengals,Commanders,17,4,16,0,2,19,46,181,20,87,268,5,35,0,3,3,7,50,0,4,0,17,27.166666666666668,19,8,17,0,1,24,39,217,34,99,316,0,0,1,2,3,5,50,0,4,0,17,32.833333333333336,17,10,0
2004-11-21,Commanders,Eagles,15,3,12,0,1,21,34,162,23,51,213,1,0,0,1,1,12,115,0,6,0,14,28.483333333333334,20,9,15,0,0,18,27,208,30,125,333,4,14,1,1,2,9,69,0,6,0,13,31.516666666666666,6,28,1
