date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Cardinals,Commanders,14,4,13,0,0,14,36,187,20,70,257,1,0,0,1,1,1,5,0,5,0,18,25.6,21,9,16,1,2,28,40,320,32,122,442,1,7,0,1,1,7,56,0,8,0,18,34.4,23,31,1
2002-09-15,Cardinals,Seahawks,19,6,13,0,0,10,22,98,35,249,347,2,9,0,1,1,7,42,0,7,1,15,29.0,26,4,13,0,3,29,47,345,29,81,426,1,7,1,0,1,7,35,0,9,0,16,31.0,24,13,0
2002-09-22,Chargers,Cardinals,15,7,16,0,1,16,36,200,21,97,297,3,29,1,2,3,2,25,0,2,0,16,25.716666666666665,19,7,15,0,0,17,31,164,34,125,289,2,17,0,1,1,8,80,0,4,2,14,34.28333333333333,23,15,0
2002-09-29,Giants,Cardinals,18,10,17,0,1,23,32,161,36,102,263,1,7,1,0,1,5,35,0,3,2,13,36.083333333333336,14,3,11,1,3,19,36,196,17,67,263,1,3,1,2,3,10,110,0,3,0,13,23.916666666666668,7,21,1
2002-10-06,Cardinals,Panthers,18,6,18,0,1,18,40,221,29,91,312,1,0,0,1,1,6,62,0,3,0,16,31.433333333333337,12,4,14,0,1,20,34,186,24,58,244,2,10,2,2,4,6,45,0,4,0,18,28.566666666666663,16,13,0
2002-10-20,Cowboys,Cardinals,22,9,21,0,0,23,46,228,38,152,380,1,4,1,0,1,2,15,0,2,0,15,40.88333333333333,14,2,12,0,0,13,22,194,36,148,342,2,8,0,4,4,6,59,0,3,0,15,30.95,6,9,1
2002-10-27,Cardinals,49ers,23,9,12,1,1,24,36,269,27,151,420,3,17,1,3,4,7,65,0,8,0,17,32.45,18,6,12,1,1,18,28,252,29,105,357,1,0,0,0,0,3,25,0,6,0,15,27.55,28,38,1
2002-11-03,Rams,Cardinals,13,5,12,0,1,19,30,171,19,64,235,3,22,2,1,3,6,40,0,6,2,16,24.533333333333335,23,6,12,0,0,20,29,223,36,192,415,2,22,0,2,2,9,80,0,4,0,12,35.46666666666667,27,14,0
2002-11-10,Seahawks,Cardinals,19,5,10,0,0,17,29,226,29,111,337,0,0,3,2,5,3,20,0,8,0,14,27.266666666666666,27,8,14,0,0,23,31,255,36,151,406,1,5,0,0,0,4,34,0,8,0,11,32.733333333333334,27,6,0
2002-11-17,Cardinals,Eagles,15,7,16,1,4,20,35,124,20,124,248,4,39,0,1,1,1,5,0,7,0,17,23.75,26,7,11,0,0,20,25,250,43,212,462,1,5,1,1,2,8,88,0,7,0,12,36.25,14,38,1
