date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Falcons,Packers,22,4,8,0,0,15,23,194,30,180,374,4,15,1,0,1,4,82,0,8,0,15,30.916666666666668,29,8,15,1,1,25,36,273,33,181,454,2,11,1,0,1,3,15,0,9,0,17,38.833333333333336,34,37,1
2002-09-15,Bears,Falcons,19,5,13,0,0,17,28,135,30,122,257,4,31,3,0,3,5,40,0,5,0,15,31.416666666666668,13,4,13,0,0,12,24,136,31,106,242,1,7,1,1,2,7,79,0,5,0,14,28.583333333333332,14,13,0
2002-09-22,Bengals,Falcons,18,5,14,1,1,16,26,163,36,143,306,1,11,0,0,0,7,70,0,3,0,11,36.75,11,5,16,0,4,18,42,125,20,66,191,2,11,0,2,2,8,72,0,4,0,18,23.25,3,30,1
2002-10-06,Buccaneers,Falcons,14,3,14,0,1,17,38,173,22,70,243,4,14,0,4,4,6,41,0,3,0,15,30.433333333333337,15,4,13,1,1,17,31,253,26,74,327,2,8,1,1,2,6,35,0,2,2,12,29.566666666666663,20,6,0
2002-10-13,Falcons,Giants,15,8,13,0,0,19,25,246,24,67,313,2,11,0,0,0,3,20,0,4,0,10,29.966666666666665,18,6,13,1,2,20,31,190,27,113,303,3,14,1,1,2,6,35,0,6,0,12,30.033333333333335,17,10,0
2002-10-20,Panthers,Falcons,25,5,11,1,1,20,27,206,39,187,393,1,8,0,0,0,9,65,0,2,0,9,40.13333333333333,12,3,11,0,2,9,26,104,21,101,205,4,22,0,1,1,6,40,0,3,0,15,19.866666666666667,0,30,1
2002-10-27,Falcons,Saints,28,7,11,0,0,16,25,186,38,260,446,3,9,2,0,2,10,95,0,9,0,17,35.05,22,2,8,2,3,16,35,192,24,159,351,0,0,1,2,3,9,96,0,9,0,17,24.95,37,35,0
2002-11-03,Ravens,Falcons,14,5,15,1,1,12,24,115,34,126,241,3,21,0,1,1,4,33,0,6,2,15,31.7,15,8,15,0,1,14,28,187,24,153,340,6,42,1,1,2,7,62,0,5,0,15,28.3,17,20,1
2002-11-17,Saints,Falcons,22,6,12,0,0,11,23,137,37,155,292,3,23,0,1,1,9,69,0,4,0,13,33.38333333333333,16,5,11,1,1,20,31,264,21,80,344,2,15,1,1,2,16,133,0,5,0,14,26.616666666666667,17,24,1
2002-11-24,Falcons,Panthers,25,7,14,0,2,20,25,277,47,149,426,0,0,1,0,1,6,65,0,8,2,16,39.8,10,2,10,0,0,13,26,51,14,71,122,8,64,2,4,6,5,39,0,5,0,19,20.2,41,0,0
2002-12-01,Falcons,Vikings,19,3,10,0,0,11,28,152,29,227,379,2,21,2,1,3,5,34,0,6,0,20,25.666666666666668,21,7,19,1,1,23,43,230,32,139,369,6,36,0,3,3,10,95,0,7,0,20,36.75,30,24,0
2002-12-08,Falcons,Buccaneers,10,3,12,1,1,12,25,119,23,62,181,1,6,0,1,1,4,45,0,7,0,18,26.033333333333335,22,7,14,0,0,23,31,271,29,150,421,1,5,0,0,0,5,38,0,4,0,13,33.96666666666667,10,34,1
2002-12-15,Seahawks,Falcons,21,6,15,1,1,21,38,223,35,150,373,2,17,1,2,3,11,95,0,7,1,17,38.78333333333333,25,8,14,0,2,22,31,298,37,166,464,2,0,3,0,3,7,45,0,6,2,18,31.816666666666663,30,24,0
2002-12-22,Lions,Falcons,27,6,16,1,1,20,38,336,41,197,533,1,1,1,1,2,7,55,0,8,0,15,38.3,12,4,14,1,2,11,33,121,21,87,208,3,28,0,3,3,9,86,0,7,0,21,21.7,15,36,1
2002-12-29,Falcons,Browns,16,8,17,0,1,17,40,226,27,105,331,2,14,2,1,3,4,27,0,9,0,17,29.25,17,6,12,0,0,14,25,129,34,189,318,3,25,1,3,4,4,25,0,4,0,18,30.75,16,24,1
2003-09-07,Falcons,Cowboys,17,4,11,0,0,16,27,220,30,98,318,2,8,0,1,1,4,31,0,5,0,15,33.0,16,5,13,0,1,15,32,254,24,149,403,3,14,1,1,2,7,49,0,5,0,16,27.0,27,13,0
2003-09-14,Commanders,Falcons,17,1,11,0,0,16,36,184,22,99,283,3,13,0,2,2,5,35,0,8,0,22,25.3,23,5,15,0,0,25,39,310,31,125,435,6,46,2,0,2,12,79,0,3,0,21,34.7,33,31,0
2003-09-21,Buccaneers,Falcons,13,3,12,1,1,18,31,107,19,29,136,2,20,1,4,5,5,35,0,5,0,19,24.933333333333337,18,4,13,0,0,16,24,184,37,132,316,1,8,1,0,1,10,123,0,6,0,16,35.06666666666667,31,10,0
2003-09-28,Falcons,Panthers,11,2,12,0,1,14,23,123,23,144,267,6,29,0,1,1,9,84,0,4,0,16,27.383333333333333,19,8,17,0,0,17,27,168,39,193,361,0,0,1,0,1,4,40,0,4,0,12,32.61666666666667,3,23,1
2003-10-05,Vikings,Falcons,21,3,10,0,0,28,41,336,17,104,440,2,16,1,2,3,7,56,0,12,0,22,26.533333333333335,16,4,14,0,1,14,24,233,38,166,399,2,6,0,1,1,8,58,0,7,0,23,33.46666666666667,39,26,0
2003-10-13,Falcons,Rams,9,4,13,0,0,12,28,136,21,73,209,3,19,2,2,4,3,30,0,3,0,19,22.666666666666668,26,6,11,0,1,24,35,377,31,119,496,0,0,1,2,3,6,45,0,6,2,14,37.333333333333336,0,36,1
2003-10-19,Saints,Falcons,11,3,12,1,1,9,29,108,22,130,238,1,7,0,1,1,5,78,0,7,0,19,21.833333333333332,27,10,16,1,1,23,31,342,36,164,506,3,10,1,0,1,7,54,0,7,0,13,38.166666666666664,45,17,0
2003-11-02,Eagles,Falcons,17,5,13,0,0,16,28,147,28,131,278,3,17,1,1,2,8,61,0,4,0,17,31.25,24,2,11,0,0,21,33,302,28,128,430,2,10,0,0,0,11,90,0,7,0,16,28.75,23,16,0
