date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Ravens,Panthers,15,5,14,0,0,12,19,120,36,145,265,2,16,0,0,0,6,35,0,2,0,12,33.85,15,5,14,0,0,20,34,212,19,77,289,2,6,0,1,1,6,45,0,3,0,13,26.15,7,10,1
2002-09-15,Lions,Panthers,20,3,14,0,0,21,33,310,30,75,385,0,0,0,0,0,4,55,0,4,2,15,33.71666666666667,12,1,15,0,0,12,30,49,22,73,122,6,57,1,2,3,11,100,0,4,0,22,26.283333333333335,7,31,1
2002-09-22,Panthers,Vikings,20,6,15,0,0,20,30,206,33,164,370,3,15,0,2,2,6,41,0,6,0,16,35.4,13,2,10,0,1,19,30,177,18,73,250,5,14,1,4,5,6,55,0,4,0,15,24.6,21,14,0
2002-09-29,Panthers,Packers,18,4,14,0,0,10,24,193,35,139,332,4,9,3,0,3,7,77,0,5,0,16,31.616666666666667,17,2,11,0,0,19,33,199,22,99,298,4,32,0,1,1,10,83,0,2,0,16,28.383333333333333,14,17,1
2002-10-06,Cardinals,Panthers,12,4,14,0,1,20,34,186,24,58,244,2,10,2,2,4,6,45,0,4,0,18,28.566666666666663,18,6,18,0,1,18,40,221,29,91,312,1,0,0,1,1,6,62,0,3,0,16,31.433333333333337,16,13,0
2002-10-13,Panthers,Cowboys,14,5,16,0,0,16,27,198,34,110,308,0,0,0,0,0,14,106,0,1,0,16,33.6,17,3,13,2,3,15,32,174,24,137,311,6,51,1,1,2,9,71,0,4,0,15,26.4,13,14,1
2002-10-20,Panthers,Falcons,12,3,11,0,2,9,26,104,21,101,205,4,22,0,1,1,6,40,0,3,0,15,19.866666666666667,25,5,11,1,1,20,27,206,39,187,393,1,8,0,0,0,9,65,0,2,0,9,40.13333333333333,0,30,1
2002-10-27,Buccaneers,Panthers,9,1,12,0,0,5,18,20,31,110,130,3,26,1,3,4,7,70,0,5,0,19,26.983333333333334,14,7,18,0,0,23,34,155,27,71,226,6,31,1,1,2,4,26,0,4,0,17,33.016666666666666,12,9,0
2002-11-10,Saints,Panthers,21,4,17,1,2,23,40,296,27,100,396,2,14,1,1,2,7,57,0,6,0,18,32.35,17,4,15,0,1,20,38,248,25,97,345,2,11,0,0,0,11,63,0,6,2,19,27.65,34,24,0
2002-11-17,Panthers,Buccaneers,14,4,14,1,2,22,38,168,19,63,231,4,37,1,3,4,2,10,0,4,0,18,24.116666666666667,19,7,16,1,1,22,40,247,29,67,314,2,6,2,0,2,5,34,0,7,0,15,35.88333333333333,10,23,1
2002-11-24,Falcons,Panthers,10,2,10,0,0,13,26,51,14,71,122,8,64,2,4,6,5,39,0,5,0,19,20.2,25,7,14,0,2,20,25,277,47,149,426,0,0,1,0,1,6,65,0,8,2,16,39.8,41,0,0
2002-12-01,Panthers,Browns,11,5,15,1,1,8,19,89,38,145,234,0,0,0,2,2,3,25,0,5,0,15,32.38333333333333,14,4,12,0,0,12,27,118,28,140,258,3,12,2,3,5,2,10,0,5,0,14,27.616666666666667,13,6,0
