date,team,opponent,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,team_score,opponent_score,game_result
2002-09-08,Bears,Vikings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,27,1
2002-09-15,Bears,Falcons,20.0,7.0,13.0,0.0,0.0,20.0,33.0,288.0,26.0,80.0,368.0,1.0,9.0,1.0,1.0,2.0,4.0,33.0,0.0,6.0,0.0,17.0,28.483333333333334,19.0,5.0,13.0,0.0,0.0,16.0,28.0,228.0,33.0,140.0,368.0,1.0,6.0,1.0,2.0,3.0,8.0,52.0,0.0,7.0,0.0,17.0,31.516666666666666,23.0,27.0,14,13,0
2002-09-22,Bears,Saints,16.5,5.5,13.0,0.0,0.0,16.0,28.5,212.0,28.5,93.0,305.0,1.0,8.0,1.0,1.0,2.0,5.5,56.0,0.0,5.5,0.0,15.5,28.53333333333333,19.0,5.0,13.0,0.0,0.0,16.5,28.0,181.5,31.5,131.0,312.5,2.5,18.5,2.0,1.0,3.0,6.5,46.0,0.0,6.0,0.0,16.0,31.46666666666667,18.5,20.0,29,23,0
2002-09-29,Bears,Bills,18.0,5.666666666666667,13.666666666666666,0.3333333333333333,0.3333333333333333,19.333333333333332,32.333333333333336,217.33333333333334,29.0,103.66666666666667,321.0,1.0,8.0,1.0,1.0,2.0,6.0,53.666666666666664,0.0,6.333333333333333,0.0,16.0,30.349999999999998,18.666666666666668,4.666666666666667,12.666666666666666,0.0,0.0,18.333333333333332,30.0,197.33333333333334,29.0,111.66666666666667,309.0,2.0,13.666666666666666,2.0,1.0,3.0,7.666666666666667,61.0,0.0,6.333333333333333,0.0,16.666666666666668,29.650000000000002,22.0,21.0,27,33,1
2002-10-07,Bears,Packers,17.25,5.75,13.75,0.25,0.25,19.25,32.0,210.0,28.25,90.75,300.75,0.75,6.0,0.75,0.75,1.5,5.75,54.0,0.0,6.75,0.5,16.25,30.029166666666665,20.5,4.75,12.25,0.0,0.0,20.75,31.5,224.75,28.0,109.5,334.25,2.0,15.5,1.75,0.75,2.5,8.0,66.25,0.0,6.75,0.0,17.0,30.4625,23.25,24.0,34,21,0
2002-10-20,Bears,Lions,17.25,5.5,14.25,0.5,1.0,21.0,36.25,221.75,25.75,82.0,303.75,1.25,8.25,0.75,1.25,2.0,6.5,62.0,0.0,7.5,0.5,17.0,30.141666666666666,20.75,4.25,12.25,0.25,0.25,22.25,32.75,251.0,27.25,105.5,356.5,2.5,20.5,1.75,0.25,2.0,7.25,65.5,0.0,6.75,0.5,17.25,30.349999999999998,26.0,22.5,20,23,1
2002-10-27,Bears,Vikings,18.25,6.0,14.0,0.5,1.0,22.0,36.5,221.5,25.75,77.75,299.25,1.75,13.5,1.0,1.25,2.25,6.0,52.25,0.0,7.5,0.5,17.5,30.3375,21.75,3.75,12.0,0.5,0.5,22.0,33.0,259.75,29.5,123.0,382.75,2.0,20.0,1.25,0.25,1.5,8.5,75.25,0.0,7.0,0.5,17.5,31.354166666666664,27.5,25.0,7,25,1
2002-11-03,Bears,Eagles,16.0,5.25,12.75,0.25,1.25,19.5,34.25,208.0,21.25,57.5,265.5,3.0,19.0,1.0,1.5,2.5,5.75,48.25,0.0,6.75,0.5,17.0,26.579166666666666,23.25,4.5,12.5,0.75,0.75,22.0,32.0,256.5,34.5,141.75,398.25,1.75,19.0,1.0,0.0,1.0,8.75,68.75,0.0,6.5,0.5,16.25,35.1125,22.0,25.5,19,13,0
2002-11-10,Bears,Patriots,16.75,4.0,12.0,0.5,1.75,19.5,35.75,207.5,20.75,63.0,270.5,3.75,23.75,1.25,1.5,2.75,7.5,64.75,0.0,6.5,0.0,17.0,26.058333333333334,22.5,4.5,13.75,1.0,1.5,19.5,31.25,227.75,37.5,145.25,373.0,2.0,18.0,0.75,0.25,1.0,8.0,61.75,0.0,6.25,0.5,15.25,35.141666666666666,20.0,20.5,33,30,0
2002-11-18,Bears,Rams,15.25,3.75,12.0,0.5,1.25,16.75,30.75,167.25,23.75,83.0,250.25,3.5,21.5,1.0,1.0,2.0,7.0,56.0,0.0,6.25,0.0,17.25,26.075,22.25,5.25,14.75,1.5,2.0,23.0,36.75,223.25,34.75,134.75,358.0,1.75,14.75,0.75,0.5,1.25,8.25,65.75,0.0,6.0,0.0,15.75,35.125,19.75,22.75,16,21,1
