date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Chargers,Bengals,13,4,11,0,0,18,31,167,13,36,203,4,31,0,1,1,9,57,0,5,0,15,22.2,27,6,10,0,0,15,19,160,45,241,401,1,0,0,0,0,4,39,0,7,0,11,37.8,34,6,0
2002-09-15,Bengals,Browns,28,9,17,0,2,26,47,201,31,156,357,5,38,0,3,3,3,30,0,3,0,15,31.3,15,4,12,0,1,17,30,190,27,75,265,1,8,0,0,0,12,87,0,2,0,11,28.7,7,20,1
2002-09-22,Bengals,Falcons,11,5,16,0,4,18,42,125,20,66,191,2,11,0,2,2,8,72,0,4,0,18,23.25,18,5,14,1,1,16,26,163,36,143,306,1,11,0,0,0,7,70,0,3,0,11,36.75,3,30,1
2002-09-29,Buccaneers,Bengals,11,2,17,2,3,12,33,94,29,74,168,3,23,1,1,2,4,30,0,6,2,19,28.633333333333333,17,4,11,0,0,19,30,262,28,101,363,2,15,1,2,3,7,65,0,1,2,14,31.366666666666667,35,7,0
2002-10-06,Bengals,Colts,23,2,11,2,3,31,43,237,24,173,410,1,7,1,3,4,6,63,0,6,0,16,30.75,19,6,14,0,0,21,34,224,25,87,311,0,0,0,1,1,5,71,0,7,0,15,29.25,21,28,1
2002-10-13,Steelers,Bengals,18,8,14,0,2,23,35,190,24,78,268,5,32,1,3,4,4,30,0,6,0,18,28.8,21,7,12,0,0,16,25,197,35,211,408,2,19,0,2,2,7,50,0,5,1,12,31.2,34,7,0
2002-10-27,Titans,Bengals,22,5,11,0,1,17,23,193,40,191,384,0,0,1,0,1,9,81,0,10,0,17,33.916666666666664,20,4,11,0,0,16,27,208,27,134,342,1,7,1,0,1,7,40,0,8,0,15,26.083333333333332,30,24,0
2002-11-03,Bengals,Texans,25,6,10,0,0,22,27,263,35,127,390,0,0,0,0,0,9,100,0,5,2,11,31.366666666666667,22,5,13,0,0,18,32,186,25,82,268,2,13,0,2,2,8,60,0,7,0,16,28.633333333333333,38,3,0
2002-11-10,Bengals,Ravens,20,7,16,0,0,28,41,249,28,123,372,3,23,1,3,4,5,36,0,6,1,19,32.583333333333336,21,4,10,1,1,16,24,163,32,162,325,2,20,2,0,2,1,5,0,6,3,19,27.416666666666668,27,38,1
2002-11-17,Browns,Bengals,14,5,12,0,1,17,30,248,22,102,350,1,10,1,0,1,4,32,0,8,0,17,23.633333333333333,22,11,18,0,0,22,36,242,35,140,382,0,0,0,1,1,4,15,0,7,0,14,36.36666666666667,27,20,0
2002-11-24,Bengals,Steelers,17,7,15,1,3,22,39,298,21,54,352,1,0,1,0,1,9,110,0,9,0,17,25.866666666666667,21,3,11,1,2,22,26,235,35,156,391,1,1,0,0,0,5,40,0,5,0,15,34.13333333333333,21,29,1
2002-12-01,Ravens,Bengals,25,6,16,4,5,30,46,303,29,78,381,1,5,1,1,2,3,30,0,7,0,16,32.43333333333333,15,6,13,1,1,10,19,99,31,148,247,3,16,0,0,0,8,79,0,1,3,14,27.566666666666663,27,23,0
2002-12-08,Bengals,Panthers,25,6,15,0,0,25,37,257,29,83,340,4,38,1,0,1,5,39,0,9,2,22,31.133333333333333,23,5,9,0,1,21,29,319,29,82,401,0,0,2,1,3,10,91,0,9,4,20,28.866666666666667,31,52,1
2002-12-15,Jaguars,Bengals,19,7,17,1,3,22,42,235,24,65,300,3,23,1,1,2,5,29,0,8,0,14,29.983333333333334,20,3,12,2,3,19,28,212,30,109,321,3,11,0,0,0,5,54,0,6,0,15,30.016666666666666,29,15,0
2002-12-22,Saints,Bengals,25,7,16,1,1,20,40,183,39,240,423,2,7,2,2,4,6,40,0,5,0,18,35.31666666666667,11,2,14,0,2,16,38,177,20,33,210,3,26,2,0,2,4,30,0,4,0,17,24.683333333333337,13,20,1
2002-12-29,Bengals,Bills,19,1,9,0,2,19,35,233,18,84,317,2,8,1,2,3,10,105,0,7,0,16,21.366666666666667,23,8,15,1,2,23,31,225,38,99,324,2,6,3,0,3,7,71,0,7,0,14,38.63333333333333,9,27,1
2003-09-07,Broncos,Bengals,15,3,12,0,3,20,37,243,22,51,294,4,21,2,2,4,4,25,0,1,0,4,27.7,19,6,14,0,0,12,25,109,40,184,293,1,6,0,3,3,5,58,0,0,2,1,32.3,30,10,0
2003-09-14,Bengals,Raiders,27,9,18,0,0,25,41,287,39,129,416,2,16,0,2,2,7,65,0,7,0,17,39.4,12,2,10,0,0,13,28,103,20,134,237,0,0,0,0,0,6,59,0,6,2,16,20.6,20,23,1
2003-09-21,Steelers,Bengals,11,3,10,0,0,16,24,125,16,57,182,4,32,0,1,1,7,49,0,4,0,11,22.9,22,8,16,2,2,21,34,238,38,138,376,1,2,0,1,1,6,53,0,5,0,12,37.1,17,10,0
2003-09-28,Bengals,Browns,17,9,15,0,0,23,31,215,29,80,295,0,0,0,0,0,11,60,0,4,0,11,29.783333333333335,18,5,11,0,1,23,36,270,22,69,339,2,10,0,1,1,11,101,0,5,0,13,30.216666666666665,21,14,0
2003-10-05,Bengals,Bills,18,6,16,0,0,26,44,212,27,67,279,1,13,1,1,2,7,49,0,8,0,18,34.5,17,3,15,1,2,19,35,177,27,80,257,4,34,0,0,0,6,49,0,7,0,17,29.383333333333333,16,22,1
2003-10-19,Ravens,Bengals,17,7,15,0,0,16,27,244,28,59,303,4,30,0,0,0,8,65,0,3,0,17,30.933333333333337,21,2,11,1,1,15,27,281,29,120,401,3,21,2,1,3,13,113,0,8,0,18,29.066666666666663,26,34,1
2003-10-26,Seahawks,Bengals,19,7,16,1,1,18,30,218,34,194,412,2,8,0,0,0,7,60,0,7,0,14,32.43333333333333,24,8,14,1,1,26,43,338,24,121,459,2,6,2,3,5,5,30,0,6,0,17,27.566666666666663,24,27,1
2003-11-02,Bengals,Cardinals,17,3,10,0,1,21,38,215,18,48,263,2,3,0,2,2,5,43,0,5,0,15,25.133333333333333,20,8,16,0,0,18,28,143,37,161,304,2,23,1,0,1,8,57,0,6,0,14,34.86666666666667,14,17,1
2003-11-09,Texans,Bengals,27,11,18,2,2,18,26,182,57,240,422,0,0,0,1,1,7,55,0,8,0,16,41.25,13,3,11,2,2,11,25,129,19,140,269,2,17,0,1,1,6,58,0,9,0,16,18.75,27,34,1
2003-11-16,Chiefs,Bengals,21,4,13,0,0,19,32,222,33,200,422,2,11,0,0,0,5,33,0,4,1,14,32.8,20,1,11,0,0,28,42,304,17,67,371,1,9,0,0,0,4,25,0,5,0,16,27.2,19,24,1
2003-11-23,Bengals,Chargers,33,13,20,0,0,24,38,234,47,210,444,1,9,1,0,1,6,80,0,6,0,16,38.3,17,3,11,1,2,15,33,207,20,118,325,2,3,0,0,0,7,69,0,7,0,17,21.7,34,27,0
2003-11-30,Bengals,Steelers,18,6,12,0,1,18,32,266,25,113,379,1,5,0,0,0,6,55,0,5,0,14,26.783333333333335,23,11,17,1,1,29,44,299,25,85,384,6,36,1,1,2,7,70,0,6,0,14,33.21666666666667,24,20,0
2003-12-07,Bengals,Ravens,15,4,13,0,0,23,31,168,21,100,268,6,46,3,2,5,9,63,0,5,0,18,27.066666666666663,21,5,13,0,0,8,19,130,45,223,353,2,15,1,2,3,2,20,0,6,0,18,32.93333333333333,13,31,1
2003-12-14,49ers,Bengals,23,7,13,2,2,18,25,168,37,225,393,2,21,0,0,0,4,40,0,8,2,15,33.18333333333333,31,6,9,0,0,26,33,331,27,171,502,1,13,3,0,3,7,50,0,13,0,17,26.816666666666663,38,41,1
2003-12-21,Bengals,Rams,14,4,13,0,1,16,29,187,23,99,286,3,15,0,3,3,5,38,0,4,0,15,24.7,23,10,16,0,1,24,38,228,31,143,371,1,1,0,1,1,6,40,0,4,0,11,35.3,10,27,1
2003-12-28,Browns,Bengals,21,6,14,0,0,23,35,156,25,115,271,3,19,0,1,1,9,66,0,8,0,15,28.916666666666668,19,4,11,0,1,9,18,115,40,264,379,0,0,0,0,0,9,69,0,5,0,12,31.083333333333332,22,14,0
2004-09-12,Bengals,Jets,19,8,12,0,0,18,27,238,28,113,351,1,10,1,1,2,6,49,0,8,0,15,29.216666666666665,24,8,12,0,1,20,27,219,34,219,438,1,5,1,0,1,1,7,0,6,2,14,30.783333333333335,24,31,1
2004-09-19,Dolphins,Bengals,12,5,19,0,0,21,38,116,29,94,210,5,31,0,1,1,3,19,0,1,2,20,31.45,11,3,16,0,0,21,39,201,20,25,226,2,17,1,2,3,8,69,0,3,0,20,28.55,13,16,1
2004-09-26,Ravens,Bengals,26,6,15,0,1,25,52,289,26,109,398,4,27,1,3,4,5,25,0,6,0,17,33.2,14,5,13,0,0,11,18,126,34,254,380,2,0,2,0,2,9,71,0,5,0,15,26.8,23,9,0
2004-10-03,Bengals,Steelers,22,7,15,0,0,20,37,156,27,137,293,1,8,1,2,3,5,46,0,6,0,15,28.133333333333333,23,5,10,0,0,17,25,168,40,165,333,1,6,2,0,2,7,90,0,6,2,16,31.866666666666667,17,28,1
2004-10-17,Bengals,Browns,11,1,13,1,2,20,36,131,18,58,189,3,17,0,1,1,10,75,0,6,2,19,23.683333333333337,21,6,14,0,0,16,23,310,46,139,449,1,0,2,2,4,6,50,0,6,0,18,36.31666666666667,17,34,1
2004-10-25,Broncos,Bengals,13,3,13,0,1,12,21,188,33,133,321,1,10,0,1,1,9,65,0,6,0,14,27.516666666666666,22,6,15,0,1,23,40,195,26,123,318,3,26,1,2,3,8,88,0,6,0,15,32.483333333333334,10,23,1
