date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Chiefs,Browns,24,4,11,0,0,28,40,352,20,59,411,1,7,1,0,1,4,38,0,10,0,17,29.733333333333334,24,5,11,0,0,20,29,276,30,194,470,0,0,0,1,1,9,87,0,10,0,20,30.266666666666666,40,39,0
2002-09-15,Bengals,Browns,15,4,12,0,1,17,30,190,27,75,265,1,8,0,0,0,12,87,0,2,0,11,28.7,28,9,17,0,2,26,47,201,31,156,357,5,38,0,3,3,3,30,0,3,0,15,31.3,7,20,1
2002-09-22,Browns,Titans,26,8,15,0,0,36,50,311,20,92,403,3,15,3,1,4,7,57,0,5,1,18,31.033333333333335,13,3,13,1,1,15,23,101,34,86,187,1,6,0,0,0,13,96,0,5,2,17,33.18333333333333,31,28,0
2002-09-29,Browns,Steelers,13,5,14,0,0,16,29,122,24,123,245,3,22,0,2,2,7,50,0,4,0,13,29.016666666666666,21,5,14,1,1,26,39,265,34,93,358,0,0,0,2,2,7,45,0,9,0,16,38.21666666666667,13,16,1
2002-10-06,Ravens,Browns,21,7,15,2,2,29,49,371,17,62,433,2,25,1,4,5,9,117,0,6,0,18,29.15,18,6,15,0,0,19,30,208,34,201,409,0,0,1,0,1,7,65,0,5,0,14,30.85,26,21,0
2002-10-13,Browns,Buccaneers,11,6,17,0,0,20,40,134,18,60,194,2,17,0,1,1,8,66,0,1,0,15,26.433333333333337,22,6,14,0,1,15,32,194,38,186,380,0,0,0,1,1,5,45,0,8,0,13,33.56666666666667,3,17,1
2002-10-20,Texans,Browns,14,3,13,1,1,21,31,141,24,89,230,1,7,0,0,0,4,42,0,6,1,17,30.333333333333332,17,8,18,0,0,23,37,265,22,89,354,8,41,2,0,2,6,54,0,6,0,20,29.666666666666668,17,34,1
2002-10-27,Browns,Jets,18,9,19,1,1,32,48,279,21,55,334,2,15,0,0,0,7,45,0,7,0,14,37.9,14,3,9,0,0,19,27,175,20,66,241,1,8,2,1,3,6,40,0,6,1,17,22.1,24,21,0
2002-11-03,Steelers,Browns,9,2,9,1,1,15,24,157,14,36,193,4,24,1,2,3,11,85,0,7,1,18,17.833333333333332,25,10,20,1,3,25,44,255,39,136,391,2,10,0,1,1,3,21,0,7,0,15,42.166666666666664,23,20,0
2002-11-17,Browns,Bengals,22,11,18,0,0,22,36,242,35,140,382,0,0,0,1,1,4,15,0,7,0,14,36.36666666666667,14,5,12,0,1,17,30,248,22,102,350,1,10,1,0,1,4,32,0,8,0,17,23.633333333333333,27,20,0
2002-11-24,Browns,Saints,17,5,13,0,0,12,22,176,37,163,339,1,6,0,2,2,4,31,0,5,0,16,31.183333333333337,19,3,11,1,1,23,40,309,21,74,383,2,9,3,3,6,5,24,0,9,0,15,28.816666666666663,24,15,0
2002-12-01,Panthers,Browns,14,4,12,0,0,12,27,118,28,140,258,3,12,2,3,5,2,10,0,5,0,14,27.616666666666667,11,5,15,1,1,8,19,89,38,145,234,0,0,0,2,2,3,25,0,5,0,15,32.38333333333333,13,6,0
2002-12-08,Browns,Jaguars,21,7,15,0,0,21,35,244,33,173,417,3,20,0,2,2,10,68,0,5,0,17,34.93333333333333,13,2,11,0,0,10,14,54,31,157,211,3,19,0,0,0,5,51,0,4,0,14,25.066666666666663,21,20,0
2002-12-15,Colts,Browns,18,4,16,2,3,21,35,253,28,96,349,4,34,0,0,0,7,39,0,7,0,17,30.85,20,6,15,2,2,20,34,274,33,143,417,1,3,1,1,2,5,44,0,5,0,18,29.15,28,23,0
2002-12-22,Browns,Ravens,19,5,11,1,1,22,31,193,26,63,256,2,16,0,1,1,7,70,0,3,0,14,29.766666666666666,16,7,14,0,0,16,28,129,29,146,275,2,14,0,1,1,6,40,0,3,0,11,30.233333333333334,14,13,0
2002-12-29,Falcons,Browns,17,6,12,0,0,14,25,129,34,189,318,3,25,1,3,4,4,25,0,4,0,18,30.75,16,8,17,0,1,17,40,226,27,105,331,2,14,2,1,3,4,27,0,9,0,17,29.25,16,24,1
2003-09-07,Colts,Browns,18,4,11,0,0,20,29,182,26,98,280,0,0,0,2,2,9,64,0,0,0,1,32.65,18,7,12,0,0,27,43,204,15,67,271,1,7,0,2,2,9,53,0,1,0,1,27.35,9,6,0
