date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Rams,Broncos,18,2,10,1,1,18,27,187,26,104,291,4,15,0,2,2,3,31,0,1,0,2,28.233333333333334,15,3,12,0,1,32,41,295,13,32,327,3,20,1,1,2,6,44,0,2,0,5,31.766666666666666,16,23,1
2002-09-15,Broncos,49ers,21,5,10,0,0,14,19,98,35,201,299,4,21,1,0,1,3,30,0,4,0,12,30.666666666666668,18,8,13,0,0,27,36,190,20,71,261,2,15,1,1,2,10,114,0,5,0,14,29.333333333333332,24,14,0
2002-09-22,Bills,Broncos,22,3,13,1,2,19,31,179,32,163,342,4,32,0,0,0,9,64,0,2,2,16,32.78333333333333,17,6,14,0,0,27,41,252,14,39,291,4,31,1,0,1,10,82,0,7,0,16,27.216666666666665,23,28,1
2002-09-30,Broncos,Ravens,30,5,14,1,1,35,54,306,21,97,403,3,22,0,3,3,9,91,0,8,0,21,32.9,14,3,13,0,0,13,24,146,30,84,230,1,6,2,0,2,9,62,0,6,0,18,27.1,23,34,1
2002-10-06,Chargers,Broncos,20,7,15,1,1,26,35,300,31,117,417,2,16,0,1,1,6,50,0,4,2,14,33.78333333333333,16,8,15,0,0,26,42,235,18,79,314,0,0,1,2,3,5,41,0,4,0,13,26.216666666666665,9,26,1
2002-10-13,Dolphins,Broncos,27,6,16,0,0,27,46,299,26,111,410,3,36,1,2,3,9,70,0,6,0,17,34.083333333333336,16,5,11,0,0,19,29,201,23,58,259,1,9,1,1,2,8,42,0,7,2,18,25.916666666666668,24,22,0
2002-10-20,Broncos,Chiefs,22,5,15,2,3,30,50,366,27,141,507,1,10,1,0,1,8,75,0,11,0,21,31.316666666666663,24,4,13,0,0,20,33,143,31,162,305,4,29,0,0,0,5,50,0,12,0,21,31.633333333333333,37,34,0
2002-10-27,Broncos,Patriots,23,8,13,0,0,18,23,215,40,136,351,2,14,1,1,2,2,51,0,7,0,15,35.666666666666664,16,3,12,0,0,15,29,110,19,69,179,5,20,0,0,0,8,83,0,7,0,15,24.333333333333332,24,16,0
2002-11-11,Raiders,Broncos,27,5,12,1,2,34,47,265,22,77,342,4,28,0,1,1,3,15,0,6,0,15,31.683333333333337,20,6,10,0,0,34,38,347,14,27,374,1,5,0,0,0,5,35,0,5,2,10,28.316666666666663,34,10,0
2002-11-17,Broncos,Seahawks,22,4,14,2,2,19,29,199,34,202,401,1,10,0,1,1,11,104,0,7,2,15,31.483333333333334,13,4,14,0,1,22,36,153,16,51,204,5,27,1,2,3,6,56,0,5,0,16,28.516666666666666,31,9,0
