date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Lions,Dolphins,15,7,14,0,1,17,36,206,19,51,257,3,14,1,1,2,6,68,0,6,0,18,25.6,27,6,12,1,1,18,27,207,41,182,389,0,0,0,0,0,4,54,0,8,2,16,34.4,21,49,1
2002-09-15,Lions,Panthers,12,1,15,0,0,12,30,49,22,73,122,6,57,1,2,3,11,100,0,4,0,22,26.283333333333335,20,3,14,0,0,21,33,310,30,75,385,0,0,0,0,0,4,55,0,4,2,15,33.71666666666667,7,31,1
2002-09-22,Packers,Lions,14,3,13,0,0,15,35,176,21,95,271,1,6,1,4,5,4,24,0,6,1,22,21.1,22,12,21,0,0,31,47,347,31,95,442,1,10,2,1,3,12,88,0,5,2,20,38.9,37,31,0
2002-09-29,Saints,Lions,16,5,15,1,2,20,35,267,30,85,352,0,0,0,0,0,5,44,0,7,2,15,33.61666666666667,24,7,13,0,0,27,48,247,16,110,357,3,22,1,2,3,6,38,0,7,0,18,26.383333333333333,21,26,1
2002-10-13,Lions,Vikings,17,4,13,1,2,25,41,301,17,53,354,1,8,0,1,1,5,56,0,6,2,17,28.333333333333332,22,5,12,0,1,27,36,291,25,111,402,1,4,0,1,1,10,75,0,7,0,17,31.666666666666668,24,31,1
2002-10-20,Bears,Lions,23,3,12,1,1,16,29,170,39,192,362,2,29,1,0,1,10,79,0,6,0,16,35.43333333333333,17,6,12,0,0,16,25,135,31,89,224,3,28,2,1,3,5,40,0,5,0,16,29.366666666666667,20,23,1
2002-10-27,Lions,Bills,16,5,15,0,2,20,42,199,24,83,282,0,0,0,1,1,8,71,0,4,0,16,28.45,23,6,14,1,1,21,36,269,24,74,343,4,33,2,0,2,6,51,0,5,0,14,31.55,17,24,1
2002-11-03,Cowboys,Lions,8,2,15,1,1,14,33,96,23,52,148,1,8,0,2,2,6,50,0,1,0,15,25.45,17,5,16,1,1,22,39,150,27,71,221,5,58,2,0,2,7,70,0,3,0,18,34.55,7,9,1
2002-11-10,Lions,Packers,13,1,13,1,4,20,44,236,17,126,362,0,0,0,2,2,1,10,0,10,0,24,20.616666666666667,24,8,17,0,0,29,42,353,34,150,503,2,10,2,0,2,8,53,0,7,2,18,39.38333333333333,14,40,1
2002-11-17,Jets,Lions,13,4,12,0,2,15,30,171,20,108,279,0,0,0,1,1,5,47,0,7,0,14,21.266666666666666,26,8,11,0,0,21,26,219,39,189,408,1,10,0,1,1,4,45,0,6,0,11,38.733333333333334,31,14,0
