date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Falcons,Packers,29,8,15,1,1,25,36,273,33,181,454,2,11,1,0,1,3,15,0,9,0,17,38.833333333333336,22,4,8,0,0,15,23,194,30,180,374,4,15,1,0,1,4,82,0,8,0,15,30.916666666666668,34,37,1
2002-09-15,Packers,Saints,18,3,13,0,2,29,44,262,21,95,357,1,8,3,1,4,7,73,0,6,0,18,30.433333333333337,16,7,12,0,0,16,28,211,28,146,357,1,6,0,2,2,9,59,0,7,2,18,29.566666666666663,20,35,1
2002-09-22,Packers,Lions,22,12,21,0,0,31,47,347,31,95,442,1,10,2,1,3,12,88,0,5,2,20,38.9,14,3,13,0,0,15,35,176,21,95,271,1,6,1,4,5,4,24,0,6,1,22,21.1,37,31,0
2002-09-29,Panthers,Packers,17,2,11,0,0,19,33,199,22,99,298,4,32,0,1,1,10,83,0,2,0,16,28.383333333333333,18,4,14,0,0,10,24,193,35,139,332,4,9,3,0,3,7,77,0,5,0,16,31.616666666666667,14,17,1
2002-10-07,Packers,Bears,20,3,13,1,1,22,33,333,30,124,457,3,26,1,0,1,5,49,0,7,2,18,31.066666666666663,20,6,15,1,3,27,50,335,16,45,380,3,18,1,3,4,7,65,0,9,0,20,28.933333333333337,34,21,0
2002-10-13,Packers,Patriots,20,5,14,1,1,17,27,143,36,158,301,1,4,0,0,0,5,60,0,6,0,13,32.21666666666667,20,6,13,1,2,24,44,166,22,123,289,2,17,1,3,4,12,126,0,6,0,16,27.783333333333335,28,10,0
2002-10-20,Commanders,Packers,19,4,12,0,1,20,29,155,25,88,243,1,12,1,0,1,11,95,0,8,0,14,29.016666666666666,19,3,10,0,1,10,24,92,34,146,238,6,43,4,0,4,11,129,0,8,0,18,30.983333333333334,9,30,1
2002-11-04,Dolphins,Packers,16,4,11,0,0,17,27,166,23,104,270,3,22,0,1,1,9,71,0,5,2,13,28.816666666666663,25,3,13,1,2,22,42,163,30,143,306,5,35,2,2,4,6,55,0,4,0,16,31.183333333333337,10,24,1
2002-11-10,Lions,Packers,24,8,17,0,0,29,42,353,34,150,503,2,10,2,0,2,8,53,0,7,2,18,39.38333333333333,13,1,13,1,4,20,44,236,17,126,362,0,0,0,2,2,1,10,0,10,0,24,20.616666666666667,14,40,1
2002-11-17,Packers,Vikings,18,3,14,1,2,24,43,296,18,71,367,0,0,0,3,3,13,118,0,7,0,19,27.916666666666668,24,4,12,0,0,13,26,207,37,218,425,2,10,1,2,3,12,105,0,8,0,18,32.083333333333336,21,31,1
2002-11-24,Packers,Buccaneers,15,4,13,1,1,20,38,171,23,96,267,3,25,0,4,4,7,62,0,6,0,16,30.566666666666663,14,2,11,0,0,18,30,153,25,93,246,2,14,0,1,1,6,54,0,3,0,14,29.433333333333337,7,21,1
2002-12-01,Bears,Packers,26,6,14,0,1,24,42,215,32,181,396,1,6,1,1,2,2,33,0,8,0,17,32.63333333333333,19,3,11,2,2,27,38,230,17,74,304,3,18,3,1,4,5,39,0,9,0,19,27.366666666666667,20,30,1
2002-12-08,Vikings,Packers,20,7,12,0,0,22,32,204,28,124,328,1,10,1,1,2,4,25,0,8,0,15,30.566666666666663,15,2,10,0,1,15,28,125,25,191,316,3,11,0,1,1,6,62,0,8,0,13,29.433333333333337,22,26,1
2002-12-15,Packers,49ers,21,9,16,0,0,25,33,198,33,104,302,1,3,0,0,0,4,20,0,4,0,13,36.05,16,6,13,0,1,19,34,156,23,107,263,0,0,0,1,1,3,18,0,5,0,13,23.95,20,14,0
2002-12-22,Bills,Packers,14,5,15,0,1,15,33,104,30,119,223,2,10,0,2,2,3,25,0,2,0,14,28.133333333333333,17,3,12,0,0,18,36,142,24,43,185,6,37,4,2,6,2,10,0,5,0,14,31.866666666666667,0,10,1
2002-12-29,Packers,Jets,19,4,14,2,2,22,41,208,27,114,322,1,7,0,1,1,5,43,0,8,0,17,31.7,22,8,12,0,0,18,25,208,29,129,337,1,2,0,0,0,3,30,0,7,0,13,28.3,17,42,1
2003-09-07,Vikings,Packers,22,5,10,0,0,25,41,242,19,62,304,1,6,1,4,5,6,60,0,1,0,2,26.666666666666668,21,8,14,0,0,15,30,183,36,154,337,2,12,2,0,2,7,65,0,1,0,2,33.333333333333336,30,25,0
2003-09-14,Lions,Packers,17,6,15,0,0,15,28,132,35,200,332,0,0,1,1,2,7,35,0,2,2,15,32.733333333333334,14,6,20,1,2,26,55,237,17,56,293,1,4,0,3,3,7,60,0,5,0,21,27.266666666666666,6,31,1
2003-09-21,Packers,Cardinals,18,4,11,0,0,23,33,245,23,66,311,0,0,1,1,2,4,48,0,4,0,13,26.9,21,8,13,0,0,20,31,273,31,81,354,0,0,0,1,1,7,57,0,6,0,13,33.1,13,20,1
2003-09-29,Packers,Bears,20,5,10,0,1,22,30,193,25,187,380,0,0,0,1,1,4,38,0,9,0,15,27.516666666666666,23,5,15,1,1,25,44,180,28,181,361,5,21,0,2,2,6,62,0,8,0,19,32.483333333333334,38,23,0
2003-10-05,Seahawks,Packers,27,6,9,0,0,19,25,177,35,159,336,1,8,0,0,0,3,25,0,6,0,8,33.166666666666664,23,5,10,0,2,23,39,215,23,128,343,2,10,1,1,2,7,57,0,8,0,13,26.833333333333332,13,35,1
2003-10-12,Chiefs,Packers,24,6,15,1,1,25,36,257,35,183,440,3,15,1,1,2,3,25,0,7,0,19,36.583333333333336,22,9,17,0,0,27,45,400,26,82,482,0,0,0,0,0,5,40,0,7,2,20,29.716666666666665,40,34,0
2003-10-19,Packers,Rams,22,4,11,1,1,23,32,256,26,116,372,1,12,3,1,4,6,40,0,4,0,19,29.183333333333337,22,5,12,0,0,22,34,239,27,131,370,2,8,0,2,2,8,64,0,6,0,16,30.816666666666663,24,34,1
2003-11-02,Packers,Vikings,24,6,12,0,0,18,28,190,34,261,451,1,4,0,1,1,3,25,0,9,0,15,30.3,20,6,12,0,0,21,34,198,25,125,323,2,4,0,0,0,4,20,0,9,0,16,29.7,30,27,0
