date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Chargers,Bengals,27,6,10,0,0,15,19,160,45,241,401,1,0,0,0,0,4,39,0,7,0,11,37.8,13,4,11,0,0,18,31,167,13,36,203,4,31,0,1,1,9,57,0,5,0,15,22.2,34,6,0
2002-09-15,Texans,Chargers,16,4,14,0,0,15,28,143,35,124,267,2,20,0,1,1,4,35,0,5,2,20,32.4,7,1,14,1,2,6,25,29,25,89,118,9,58,1,2,3,12,73,0,4,0,20,27.6,3,24,1
2002-09-22,Chargers,Cardinals,19,7,15,0,0,17,31,164,34,125,289,2,17,0,1,1,8,80,0,4,2,14,34.28333333333333,15,7,16,0,1,16,36,200,21,97,297,3,29,1,2,3,2,25,0,2,0,16,25.716666666666665,23,15,0
2002-09-29,Patriots,Chargers,14,6,12,1,2,10,18,104,34,238,342,0,0,1,0,1,2,20,0,1,0,12,26.783333333333335,25,7,14,1,2,36,53,353,23,87,440,0,0,1,2,3,6,45,0,5,0,13,33.21666666666667,14,21,1
2002-10-06,Chargers,Broncos,16,8,15,0,0,26,42,235,18,79,314,0,0,1,2,3,5,41,0,4,0,13,26.216666666666665,20,7,15,1,1,26,35,300,31,117,417,2,16,0,1,1,6,50,0,4,2,14,33.78333333333333,9,26,1
2002-10-13,Chiefs,Chargers,27,6,12,1,1,28,41,312,28,153,465,1,7,3,2,5,4,35,0,12,0,20,30.466666666666665,17,4,12,0,0,17,29,231,29,88,319,1,5,0,2,2,3,30,0,6,0,18,29.533333333333335,34,35,1
2002-10-20,Chargers,Raiders,24,6,13,0,0,16,25,161,42,172,333,2,9,0,0,0,10,97,0,6,0,14,35.85,26,1,7,0,0,35,45,353,12,37,390,3,8,0,1,1,5,50,0,8,0,14,27.783333333333335,27,21,0
2002-11-03,Jets,Chargers,15,1,9,0,1,22,35,170,14,73,243,2,22,1,2,3,8,55,0,11,0,22,22.9,21,7,15,0,0,28,37,248,30,165,413,2,5,0,0,0,6,65,0,6,1,16,37.1,44,13,0
2002-11-10,Chargers,Rams,15,3,10,1,1,12,20,130,29,126,256,1,9,0,2,2,12,82,0,5,4,15,29.783333333333335,25,4,9,0,0,36,48,453,16,71,524,0,0,4,0,4,10,85,0,5,0,16,30.216666666666665,24,28,1
2002-11-17,49ers,Chargers,26,4,14,1,1,29,50,336,28,105,441,0,0,0,1,1,5,36,0,6,0,17,35.13333333333333,21,8,18,1,1,25,43,331,31,136,467,1,6,0,1,1,8,71,0,2,0,15,35.68333333333333,17,20,1
2002-11-24,Chargers,Dolphins,12,2,9,0,0,15,22,80,20,64,144,3,27,1,1,2,6,41,0,5,0,17,24.1,24,5,13,0,0,14,23,191,44,222,413,1,3,0,0,0,7,70,0,6,0,11,35.9,3,30,1
2002-12-01,Broncos,Chargers,25,7,18,0,1,27,41,214,38,220,434,1,3,0,0,0,1,5,0,10,0,22,39.766666666666666,20,2,13,1,1,22,39,261,27,156,417,4,27,1,2,3,9,57,0,7,0,20,32.21666666666667,27,30,1
2002-12-08,Raiders,Chargers,19,5,14,0,2,22,41,226,25,65,291,2,13,0,3,3,8,46,0,5,0,18,28.933333333333337,22,9,17,0,0,26,41,326,25,67,393,1,2,0,0,0,8,57,0,4,0,12,31.066666666666663,27,7,0
2002-12-15,Chargers,Bills,14,5,18,0,1,16,35,192,30,116,308,3,20,0,0,0,9,121,0,4,0,18,33.166666666666664,17,2,12,0,0,11,33,101,25,155,256,2,6,1,0,1,4,60,0,4,0,16,26.833333333333332,13,20,1
2002-12-22,Chargers,Chiefs,20,2,12,0,1,26,40,235,26,148,383,1,7,1,0,1,9,50,0,8,0,17,29.683333333333337,19,7,16,1,1,23,36,323,24,53,376,3,14,0,1,1,1,1,0,4,0,18,30.316666666666663,22,24,1
2002-12-29,Seahawks,Chargers,24,6,15,0,1,28,50,326,20,88,414,3,26,0,1,1,5,22,0,6,0,16,30.133333333333333,34,8,16,1,2,36,53,428,34,163,591,3,21,1,2,3,7,58,0,7,0,18,39.833333333333336,31,28,0
2003-09-07,Chargers,Chiefs,13,3,13,0,1,18,33,168,18,64,232,3,34,0,2,2,8,55,0,1,0,3,25.616666666666667,19,6,15,0,0,21,32,259,32,131,390,3,23,1,1,2,7,62,0,0,0,2,34.38333333333333,14,27,1
2003-09-14,Broncos,Chargers,19,1,11,2,3,20,41,182,18,121,303,0,0,0,1,1,11,96,0,8,0,17,26.783333333333335,24,4,11,1,1,16,29,185,33,197,382,1,7,0,0,0,10,81,0,9,0,14,33.21666666666667,37,13,0
2003-09-21,Ravens,Chargers,25,6,15,1,1,28,45,257,30,132,389,1,13,0,3,3,10,61,0,4,0,14,35.2,16,3,9,0,0,12,21,97,32,152,249,1,1,0,1,1,4,28,0,3,1,14,24.8,24,10,0
2003-09-28,Chargers,Raiders,22,3,13,1,1,22,32,208,39,222,430,0,0,0,1,1,9,111,0,6,0,20,37.21666666666667,23,5,15,2,2,26,43,328,24,120,448,3,20,1,1,2,7,57,0,5,0,19,32.766666666666666,31,34,1
2003-10-05,Chargers,Jaguars,21,5,11,0,0,24,41,277,13,69,346,4,19,2,0,2,10,61,0,4,0,15,26.783333333333335,21,6,14,0,1,19,28,313,37,123,436,3,23,1,0,1,8,89,0,4,0,15,33.21666666666667,21,27,1
2003-10-19,Chargers,Browns,15,2,12,1,2,9,19,61,36,228,289,1,13,1,1,2,12,93,0,5,2,18,28.816666666666663,20,2,14,1,3,24,44,176,22,101,277,3,16,0,2,2,7,76,0,8,0,20,31.183333333333337,26,20,0
2003-10-27,Dolphins,Chargers,18,3,14,0,2,19,30,146,31,104,250,6,44,0,3,3,6,35,0,4,0,16,31.8,14,7,14,0,1,20,29,183,27,81,264,1,9,1,0,1,8,47,0,7,0,15,28.2,26,10,0
2003-11-02,Chargers,Bears,11,2,9,0,0,15,26,119,19,80,199,0,0,0,1,1,4,24,0,4,0,14,24.233333333333334,19,5,13,2,2,21,30,216,33,125,341,2,8,0,1,1,5,35,0,3,0,11,35.766666666666666,7,20,1
2003-11-09,Vikings,Chargers,26,6,9,0,0,21,29,247,26,211,458,2,1,0,0,0,6,49,0,8,0,12,26.866666666666667,27,10,14,1,1,32,44,350,23,110,460,3,20,1,1,2,10,107,0,8,0,16,33.13333333333333,28,42,1
2003-11-16,Chargers,Broncos,5,2,10,0,0,9,25,56,13,40,96,2,14,3,1,4,9,83,0,7,0,20,15.816666666666666,26,11,20,0,1,23,35,247,49,201,448,1,6,1,2,3,7,60,0,6,1,14,44.18333333333333,8,37,1
2003-11-23,Bengals,Chargers,17,3,11,1,2,15,33,207,20,118,325,2,3,0,0,0,7,69,0,7,0,17,21.7,33,13,20,0,0,24,38,234,47,210,444,1,9,1,0,1,6,80,0,6,0,16,38.3,34,27,0
2003-11-30,Chiefs,Chargers,17,5,13,1,1,16,34,211,28,159,370,1,2,1,2,3,5,55,0,7,0,16,26.683333333333337,23,5,12,1,1,17,30,141,39,194,335,1,14,0,2,2,6,55,0,8,0,15,33.31666666666667,28,24,0
2003-12-07,Chargers,Lions,17,6,14,0,0,17,25,244,35,131,375,0,0,1,1,2,11,95,0,1,0,13,32.13333333333333,14,6,17,1,2,26,47,208,18,68,276,0,0,0,0,0,8,71,0,4,0,14,27.866666666666667,14,7,0
2003-12-14,Packers,Chargers,23,7,16,1,2,28,48,336,27,88,424,2,27,3,1,4,9,69,0,11,0,19,32.516666666666666,17,5,14,0,0,23,33,278,27,83,361,0,0,0,1,1,9,96,0,8,0,17,27.483333333333334,38,21,0
2003-12-21,Chargers,Steelers,21,5,13,2,4,21,36,228,27,116,344,2,12,1,2,3,2,10,0,11,0,19,25.633333333333333,21,6,13,1,1,12,19,160,43,181,341,2,9,0,0,0,3,24,0,5,2,15,34.36666666666667,24,40,1
2003-12-28,Raiders,Chargers,20,3,13,0,0,15,28,74,37,263,337,3,23,0,0,0,7,50,0,6,0,17,32.63333333333333,9,3,16,0,2,6,22,0,32,141,141,5,35,0,1,1,5,38,0,3,2,17,27.366666666666667,14,21,1
2004-09-12,Chargers,Texans,17,9,15,0,0,17,24,202,32,122,324,1,7,0,0,0,8,60,0,4,0,15,31.166666666666668,20,5,9,0,0,19,25,226,29,110,336,2,3,2,2,4,6,83,0,9,0,15,28.833333333333332,27,20,0
2004-09-19,Jets,Chargers,21,3,10,2,2,15,35,216,25,111,327,1,7,2,2,4,5,44,0,7,1,18,23.216666666666665,22,4,12,0,0,22,29,258,35,122,380,0,0,0,0,0,4,22,0,7,0,18,36.78333333333333,34,28,0
2004-09-26,Chargers,Broncos,16,6,15,0,0,15,30,129,30,85,214,4,30,1,0,1,6,61,0,5,0,16,30.75,18,2,11,1,1,25,36,291,21,37,328,1,3,1,0,1,3,25,0,5,0,14,29.25,13,23,1
2004-10-03,Titans,Chargers,16,3,8,0,0,16,20,198,24,195,393,1,8,0,0,0,7,41,0,4,0,13,22.783333333333335,21,4,17,4,6,39,58,258,18,72,330,3,21,0,0,0,4,25,0,6,0,17,37.21666666666667,17,38,1
2004-10-10,Jaguars,Chargers,18,9,15,0,0,17,26,210,35,176,386,1,1,0,0,0,4,44,0,8,0,15,29.966666666666665,28,7,14,2,3,36,54,349,18,80,429,3,8,1,2,3,5,33,0,10,0,17,30.033333333333335,21,34,1
2004-10-17,Chargers,Falcons,18,2,11,1,2,23,31,223,31,95,318,1,4,0,1,1,11,69,0,5,0,14,36.85,15,2,8,0,0,12,21,206,25,93,299,3,12,1,1,2,4,26,0,5,0,16,23.15,20,21,1
2004-10-24,Chargers,Panthers,19,7,14,0,0,21,32,188,27,114,302,1,8,1,0,1,7,83,0,5,0,13,29.116666666666667,20,5,14,0,2,17,36,147,30,116,263,1,8,0,1,1,8,94,0,5,0,14,30.883333333333333,17,6,0
2004-10-31,Raiders,Chargers,33,1,5,1,1,22,25,273,38,175,448,1,8,1,0,1,7,46,0,6,0,12,35.5,15,4,11,0,1,24,39,259,11,22,281,1,4,1,2,3,10,75,0,8,0,17,24.5,14,42,1
2004-11-07,Saints,Chargers,28,12,18,1,1,22,37,250,35,152,402,1,7,0,0,0,5,32,0,9,0,14,36.833333333333336,18,5,10,0,0,16,29,165,18,55,220,3,8,1,1,2,10,117,0,7,0,16,23.166666666666668,17,43,1
2004-11-21,Chargers,Raiders,26,9,16,0,0,18,35,226,44,176,402,0,0,1,0,1,9,80,0,6,0,14,38.43333333333333,14,3,10,0,0,18,31,220,14,53,273,1,7,1,0,1,8,76,0,6,0,14,21.566666666666663,23,17,0
2004-11-28,Chargers,Chiefs,25,8,16,0,0,28,37,371,31,127,498,1,7,0,0,0,9,60,0,12,0,17,36.766666666666666,20,3,10,0,1,21,34,200,20,110,310,1,8,1,1,2,5,26,0,9,1,18,23.233333333333334,34,31,0
2004-12-05,Broncos,Chargers,14,6,17,0,0,14,27,86,35,122,208,2,20,1,1,2,11,94,0,7,0,16,31.583333333333332,21,4,14,2,2,16,40,263,24,74,337,2,15,0,4,4,8,57,0,7,0,17,28.416666666666668,17,20,1
2004-12-12,Buccaneers,Chargers,18,5,11,0,0,17,23,206,30,130,336,2,14,1,2,3,4,40,0,6,2,18,27.5,21,7,16,0,0,36,50,373,18,63,436,3,19,1,3,4,12,111,0,6,0,19,32.5,24,31,1
2004-12-19,Chargers,Browns,16,5,13,0,1,4,6,83,50,174,257,1,2,1,0,1,1,8,0,3,0,11,33.85,11,2,14,2,5,11,28,105,29,126,231,1,3,0,1,1,7,55,0,4,0,15,26.15,21,0,0
2004-12-26,Chargers,Colts,22,8,14,0,0,21,31,281,29,93,374,1,9,0,1,1,7,63,0,7,0,17,31.216666666666665,30,5,13,1,1,27,44,360,25,104,464,4,23,0,1,1,10,70,0,11,1,17,31.566666666666663,31,34,1
2005-01-02,Chiefs,Chargers,21,4,10,0,1,18,31,215,29,138,353,2,17,1,1,2,7,50,0,6,0,13,29.816666666666663,26,7,13,1,2,33,53,373,20,70,443,0,0,0,4,4,5,45,0,7,0,15,30.183333333333337,17,24,1
2005-09-11,Cowboys,Chargers,19,7,14,2,3,18,35,188,26,103,291,2,21,0,2,2,8,62,0,4,0,7,28.85,23,7,11,0,0,18,24,192,33,109,301,4,34,1,0,1,8,46,0,4,0,9,31.15,28,24,0
2005-09-18,Chargers,Broncos,15,4,12,0,0,15,23,134,24,79,213,4,41,1,1,2,7,42,0,2,0,10,26.916666666666668,21,6,16,1,1,23,37,233,26,98,331,3,15,1,1,2,5,45,0,3,2,13,33.083333333333336,17,20,1
2005-09-25,Giants,Chargers,25,5,8,0,0,20,23,217,33,268,485,0,0,1,0,1,7,50,0,5,0,11,30.083333333333332,23,8,15,0,0,24,41,338,23,86,424,2,14,1,0,1,12,83,0,5,0,12,29.916666666666668,23,45,1
2005-10-02,Chargers,Patriots,26,7,12,0,0,19,24,248,40,183,431,0,0,0,0,0,7,50,0,4,2,10,36.63333333333333,18,4,11,1,1,21,36,231,18,72,303,1,8,0,2,2,4,62,0,3,0,10,23.366666666666667,41,17,0
2005-10-10,Steelers,Chargers,20,5,12,0,0,20,35,213,21,66,279,1,6,1,1,2,9,100,0,4,0,10,26.616666666666667,25,4,10,0,0,17,26,207,32,104,311,3,18,1,0,1,11,104,0,3,0,12,33.38333333333333,24,22,0
2005-10-16,Chargers,Raiders,22,2,11,0,0,15,21,156,41,190,346,2,12,0,0,0,5,35,0,4,0,13,35.3,19,3,13,2,4,24,48,271,13,39,310,4,21,0,1,1,8,51,0,3,0,11,24.7,27,14,0
2005-10-23,Chargers,Eagles,15,5,15,0,0,23,40,270,20,21,291,3,29,1,2,3,9,72,0,3,0,13,28.783333333333335,22,4,14,0,1,35,54,262,14,24,286,3,25,0,2,2,10,72,0,3,1,16,31.216666666666665,17,20,1
2005-10-30,Chiefs,Chargers,22,4,11,0,1,26,44,341,22,83,424,0,0,1,1,2,4,38,0,2,0,15,28.683333333333337,21,2,13,1,2,31,43,323,21,95,418,4,24,1,0,1,9,59,0,6,0,14,31.316666666666663,20,28,1
2005-11-06,Chargers,Jets,27,5,10,0,0,20,27,262,35,133,395,1,8,1,1,2,12,124,0,5,0,10,33.06666666666667,19,7,13,0,1,17,31,180,25,89,269,3,24,0,0,0,5,35,0,6,0,12,26.933333333333337,31,26,0
2005-11-20,Bills,Chargers,28,6,11,2,2,28,33,337,34,141,478,1,2,0,0,0,2,10,0,4,0,12,37.5,12,3,13,2,4,20,36,137,13,65,202,6,31,1,1,2,9,65,0,3,0,11,22.5,10,48,1
2005-11-27,Chargers,Commanders,24,6,15,0,0,22,45,195,28,202,397,3,20,0,3,3,6,40,0,1,0,15,30.783333333333335,15,3,14,0,0,17,27,191,33,91,282,2,3,0,0,0,7,60,0,1,0,15,29.783333333333335,23,17,0
2005-12-04,Raiders,Chargers,19,8,14,0,0,17,22,144,37,130,274,3,16,0,0,0,1,15,0,4,2,11,34.63333333333333,16,7,13,0,1,22,40,210,17,81,291,3,26,1,1,2,0,0,0,2,0,11,25.366666666666667,10,34,1
2005-12-11,Dolphins,Chargers,27,11,19,3,4,35,52,245,27,96,341,3,34,2,1,3,7,49,0,3,0,10,40.28333333333333,14,2,10,0,0,14,22,229,26,71,300,0,0,2,0,2,3,12,0,4,0,13,19.716666666666665,23,21,0
2005-12-18,Chargers,Colts,18,7,17,1,1,22,33,247,37,206,453,1,8,2,2,4,11,75,0,2,0,14,34.53333333333333,21,5,13,0,1,26,45,314,15,24,338,4,22,1,2,3,8,67,0,4,0,14,25.466666666666665,26,17,0
2005-12-24,Chargers,Chiefs,15,4,13,2,3,18,33,153,20,80,233,1,8,1,1,2,7,58,0,2,0,10,25.966666666666665,20,11,19,1,2,19,35,197,37,144,341,2,10,0,0,0,7,48,0,2,0,11,34.03333333333333,7,20,1
2005-12-31,Broncos,Chargers,15,2,14,1,3,20,36,145,20,91,236,6,38,1,1,2,8,70,0,1,0,13,26.633333333333333,17,3,14,2,2,10,22,84,40,157,241,2,14,0,0,0,4,22,0,4,0,14,33.36666666666667,23,7,0
2006-09-11,Chargers,Raiders,14,7,16,1,1,8,11,108,48,194,302,0,0,0,0,0,3,25,3,4,0,12,35.8,9,2,12,0,1,8,19,42,20,87,129,9,54,1,0,1,7,54,0,1,0,11,24.2,27,0,0
2006-09-17,Titans,Chargers,26,5,13,1,2,25,36,235,37,241,476,0,0,0,0,0,7,53,4,7,0,11,38.583333333333336,14,2,12,2,3,13,39,163,19,55,218,0,0,0,2,2,6,55,1,2,0,12,21.416666666666668,7,40,1
2006-10-01,Chargers,Ravens,13,2,13,1,3,13,23,134,40,150,284,1,11,0,1,1,10,78,0,1,0,13,33.7,14,4,11,0,0,17,30,150,21,56,206,2,8,1,2,3,4,30,2,3,0,13,26.3,13,16,1
2006-10-08,Steelers,Chargers,22,9,16,0,0,24,37,222,31,119,341,4,20,0,1,1,2,10,1,5,0,11,33.86666666666667,16,3,9,0,2,20,31,197,18,68,265,5,23,0,2,2,4,30,1,1,0,10,26.133333333333333,13,23,1
2006-10-15,Chargers,49ers,30,12,15,0,0,29,39,334,30,87,421,0,0,0,0,0,6,51,4,5,0,11,35.8,15,4,11,0,1,20,31,182,14,92,274,5,32,1,1,2,9,116,2,2,0,11,24.2,48,19,0
2006-10-22,Chargers,Chiefs,22,6,15,1,1,26,44,252,23,97,349,4,15,2,1,3,7,60,2,3,0,12,31.033333333333335,19,6,13,0,0,15,27,221,30,134,355,2,11,1,0,1,6,50,3,3,0,14,28.966666666666665,27,30,1
