date,team,opponent,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,team_score,opponent_score,game_result
2002-09-08,Chargers,Bengals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,6,0
2002-09-15,Chargers,Texans,27.0,6.0,10.0,0.0,0.0,15.0,19.0,160.0,45.0,241.0,401.0,1.0,0.0,0.0,0.0,0.0,4.0,39.0,0.0,7.0,0.0,11.0,37.8,13.0,4.0,11.0,0.0,0.0,18.0,31.0,167.0,13.0,36.0,203.0,4.0,31.0,0.0,1.0,1.0,9.0,57.0,0.0,5.0,0.0,15.0,22.2,34.0,6.0,3,24,1
2002-09-22,Chargers,Cardinals,21.5,5.0,12.0,0.0,0.0,15.0,23.5,151.5,40.0,182.5,334.0,1.5,10.0,0.0,0.5,0.5,4.0,37.0,0.0,6.0,1.0,15.5,35.099999999999994,10.0,2.5,12.5,0.5,1.0,12.0,28.0,98.0,19.0,62.5,160.5,6.5,44.5,0.5,1.5,2.0,10.5,65.0,0.0,4.5,0.0,17.5,24.9,18.5,15.0,23,15,0
2002-09-29,Chargers,Patriots,20.666666666666668,5.666666666666667,13.0,0.0,0.0,15.666666666666666,26.0,155.66666666666666,38.0,163.33333333333334,319.0,1.6666666666666667,12.333333333333334,0.0,0.6666666666666666,0.6666666666666666,5.333333333333333,51.333333333333336,0.0,5.333333333333333,1.3333333333333333,15.0,34.827777777777776,11.666666666666666,4.0,13.666666666666666,0.3333333333333333,1.0,13.333333333333334,30.666666666666668,132.0,19.666666666666668,74.0,206.0,5.333333333333333,39.333333333333336,0.6666666666666666,1.6666666666666667,2.3333333333333335,7.666666666666667,51.666666666666664,0.0,3.6666666666666665,0.0,17.0,25.17222222222222,20.0,15.0,14,21,1
2002-10-06,Chargers,Broncos,19.0,5.75,12.75,0.25,0.5,14.25,24.0,142.75,37.0,182.0,324.75,1.25,9.25,0.25,0.5,0.75,4.5,43.5,0.0,4.25,1.0,14.25,32.81666666666666,15.0,4.75,13.75,0.5,1.25,19.0,36.25,187.25,20.5,77.25,264.5,4.0,29.5,0.75,1.75,2.5,7.25,50.0,0.0,4.0,0.0,16.0,27.183333333333334,18.5,16.5,9,26,1
2002-10-13,Chargers,Chiefs,16.25,6.25,14.0,0.25,0.5,17.0,29.75,161.5,30.25,141.5,303.0,1.0,9.25,0.5,1.0,1.5,4.75,44.0,0.0,3.5,1.0,14.75,29.920833333333334,16.75,5.5,14.75,0.75,1.5,21.0,37.25,220.5,25.0,97.5,318.0,3.5,25.75,0.75,1.75,2.5,6.5,48.25,0.0,3.75,0.5,15.75,30.079166666666666,12.25,21.5,34,35,1
2002-10-20,Chargers,Raiders,19.0,6.75,13.5,0.5,0.75,20.25,33.0,203.75,28.5,148.75,352.5,0.75,6.0,1.25,1.25,2.5,4.75,44.0,0.0,5.25,0.5,14.75,29.437499999999996,19.25,6.25,14.25,0.5,1.0,23.75,38.25,271.0,26.0,97.25,368.25,1.5,12.5,0.5,1.75,2.25,4.25,37.5,0.0,4.25,0.5,15.25,30.5625,20.0,24.25,27,21,0
2002-11-03,Chargers,Jets,20.25,6.5,13.0,0.5,0.75,20.0,31.5,203.0,30.5,160.5,363.5,0.75,4.0,1.25,1.0,2.25,5.25,48.25,0.0,5.75,0.0,14.75,29.82916666666667,22.0,4.75,12.0,0.5,0.75,28.5,40.5,309.25,23.75,82.25,391.5,1.5,7.25,0.25,1.5,1.75,5.0,43.75,0.0,5.75,0.5,14.75,31.079166666666666,21.0,25.75,44,13,0
2002-11-10,Chargers,Rams,20.5,5.25,12.25,0.25,0.5,23.0,35.75,219.5,25.5,119.25,338.75,1.25,9.5,1.25,1.5,2.75,6.75,57.0,0.0,8.25,0.0,17.25,28.858333333333334,21.0,4.75,12.25,0.25,0.25,26.5,36.5,283.0,25.5,101.75,384.75,2.0,8.5,0.0,1.0,1.0,5.0,48.75,0.0,6.0,0.75,15.5,32.05,28.5,23.75,24,28,1
2002-11-17,Chargers,49ers,20.25,4.0,11.0,0.5,0.75,19.5,30.25,193.25,28.25,131.0,324.25,1.5,11.75,1.0,1.5,2.5,8.5,67.25,0.0,8.5,1.0,17.75,29.75,22.25,4.0,10.75,0.0,0.0,29.0,39.75,321.25,21.75,90.25,411.5,1.5,4.5,1.0,0.75,1.75,6.0,57.5,0.0,6.25,0.25,16.0,31.158333333333335,32.25,24.25,17,20,1
