date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Rams,Broncos,15,3,12,0,1,32,41,295,13,32,327,3,20,1,1,2,6,44,0,2,0,5,31.766666666666666,18,2,10,1,1,18,27,187,26,104,291,4,15,0,2,2,3,31,0,1,0,2,28.233333333333334,16,23,1
2002-09-15,Giants,Rams,18,3,9,0,1,26,39,260,17,92,352,1,6,2,2,4,8,40,0,8,0,18,24.983333333333334,16,6,15,0,0,22,26,291,38,103,394,2,16,0,1,1,4,30,0,5,2,16,35.016666666666666,26,21,0
2002-09-23,Rams,Buccaneers,21,5,13,1,1,30,45,269,20,89,358,5,32,0,4,4,5,33,0,4,0,17,34.78333333333333,14,3,11,0,0,23,32,189,16,63,252,1,10,1,0,1,8,50,0,4,2,13,25.216666666666665,14,26,1
2002-09-29,Cowboys,Rams,19,5,13,0,0,25,40,273,21,93,366,1,6,1,2,3,8,65,0,3,0,12,28.05,17,5,15,0,0,26,36,193,27,122,315,2,11,1,1,2,8,60,0,3,0,14,31.95,13,10,0
2002-10-06,Rams,49ers,19,4,14,3,3,23,40,225,24,88,313,1,7,0,2,2,4,40,0,7,0,16,30.9,21,4,9,0,0,18,27,207,27,179,386,1,7,0,0,0,4,27,0,7,2,13,29.1,13,37,1
2002-10-13,Raiders,Rams,19,4,11,0,0,14,21,164,32,158,322,3,22,1,0,1,11,82,0,6,0,16,31.766666666666666,20,3,11,0,2,30,45,302,17,65,367,4,30,1,2,3,14,107,0,6,0,17,28.233333333333334,13,28,1
2002-10-20,Seahawks,Rams,28,8,16,0,0,22,40,260,42,218,478,1,5,1,1,2,6,35,0,6,0,17,40.45,13,2,11,0,1,10,30,240,16,50,290,3,15,1,2,3,2,15,0,6,2,21,19.55,20,37,1
2002-11-03,Rams,Cardinals,23,6,12,0,0,20,29,223,36,192,415,2,22,0,2,2,9,80,0,4,0,12,35.46666666666667,13,5,12,0,1,19,30,171,19,64,235,3,22,2,1,3,6,40,0,6,2,16,24.533333333333335,27,14,0
2002-11-10,Chargers,Rams,25,4,9,0,0,36,48,453,16,71,524,0,0,4,0,4,10,85,0,5,0,16,30.216666666666665,15,3,10,1,1,12,20,130,29,126,256,1,9,0,2,2,12,82,0,5,4,15,29.783333333333335,24,28,1
2002-11-18,Bears,Rams,21,6,13,0,0,22,37,327,20,61,388,4,33,1,1,2,11,97,0,6,0,16,29.166666666666668,16,3,15,1,2,20,35,117,22,103,220,7,40,0,0,0,5,50,0,4,0,16,30.833333333333332,16,21,1
