date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Lions,Dolphins,27,6,12,1,1,18,27,207,41,182,389,0,0,0,0,0,4,54,0,8,2,16,34.4,15,7,14,0,1,17,36,206,19,51,257,3,14,1,1,2,6,68,0,6,0,18,25.6,21,49,1
2002-09-15,Dolphins,Colts,17,5,10,0,0,13,18,179,34,163,342,1,8,0,1,1,11,68,0,5,0,13,28.783333333333335,29,4,11,1,2,26,45,289,31,143,432,0,0,0,3,3,5,35,0,5,0,13,31.216666666666665,21,13,0
2002-09-22,Jets,Dolphins,21,6,14,0,0,16,30,183,35,211,394,1,2,0,0,0,7,55,0,5,0,12,32.86666666666667,13,3,12,1,1,16,28,131,22,58,189,3,26,1,3,4,7,55,0,3,0,18,27.133333333333333,3,30,1
2002-09-29,Dolphins,Chiefs,28,1,8,0,1,29,45,294,19,105,399,2,16,1,4,5,9,86,0,11,0,22,26.416666666666668,25,5,13,0,0,24,34,328,33,122,450,0,0,0,0,0,10,71,0,10,0,19,33.583333333333336,30,48,1
2002-10-06,Patriots,Dolphins,21,9,17,0,0,17,27,182,44,137,319,1,8,1,0,1,5,35,0,5,0,14,39.983333333333334,16,3,10,0,1,17,31,208,17,37,245,3,32,1,2,3,6,49,0,3,0,16,20.016666666666666,13,26,1
2002-10-13,Dolphins,Broncos,16,5,11,0,0,19,29,201,23,58,259,1,9,1,1,2,8,42,0,7,2,18,25.916666666666668,27,6,16,0,0,27,46,299,26,111,410,3,36,1,2,3,9,70,0,6,0,17,34.083333333333336,24,22,0
2002-10-20,Bills,Dolphins,17,6,15,1,2,13,33,155,34,132,287,1,10,2,4,6,6,56,0,6,0,18,31.233333333333334,15,3,13,0,1,15,31,162,27,132,294,5,20,0,0,0,4,40,0,5,2,16,28.766666666666666,23,10,0
2002-11-04,Dolphins,Packers,25,3,13,1,2,22,42,163,30,143,306,5,35,2,2,4,6,55,0,4,0,16,31.183333333333337,16,4,11,0,0,17,27,166,23,104,270,3,22,0,1,1,9,71,0,5,2,13,28.816666666666663,10,24,1
2002-11-10,Dolphins,Jets,15,3,11,0,1,19,28,210,23,69,279,3,17,2,0,2,6,30,0,5,0,12,27.566666666666663,19,2,11,0,0,17,27,167,31,97,264,1,0,0,0,0,5,36,0,5,0,13,32.43333333333333,10,13,1
2002-11-17,Ravens,Dolphins,17,6,16,0,0,18,26,221,39,116,337,0,0,0,0,0,3,34,0,3,0,14,34.11666666666667,10,2,13,1,2,14,28,91,22,66,157,7,36,0,1,1,7,50,0,5,0,18,25.883333333333333,7,26,1
2002-11-24,Chargers,Dolphins,24,5,13,0,0,14,23,191,44,222,413,1,3,0,0,0,7,70,0,6,0,11,35.9,12,2,9,0,0,15,22,80,20,64,144,3,27,1,1,2,6,41,0,5,0,17,24.1,3,30,1
2002-12-01,Dolphins,Bills,14,4,11,0,2,11,20,30,34,270,300,2,25,2,1,3,5,38,0,5,0,19,27.316666666666663,21,8,15,0,2,15,27,270,37,161,431,4,36,0,0,0,7,56,0,4,0,15,32.68333333333333,21,38,1
2002-12-09,Bears,Dolphins,22,7,16,0,1,15,29,188,43,248,436,1,8,2,1,3,8,58,0,7,0,18,35.7,12,2,12,0,2,11,32,88,24,107,195,2,13,1,3,4,5,55,0,7,0,20,24.3,9,27,1
2002-12-15,Raiders,Dolphins,21,6,14,0,0,21,32,213,33,121,334,3,24,1,0,1,4,30,0,7,0,16,36.88333333333333,14,2,10,0,0,17,31,162,12,56,218,5,42,1,1,2,9,55,0,4,0,16,23.116666666666667,17,23,1
2002-12-21,Dolphins,Vikings,13,1,5,0,0,15,21,170,17,69,239,1,7,1,1,2,8,65,0,4,0,13,24.1,21,8,14,1,1,21,30,239,32,129,368,4,18,1,2,3,7,54,0,5,0,11,35.9,17,20,1
2002-12-29,Dolphins,Patriots,20,3,13,0,0,11,25,103,37,256,359,2,7,0,0,0,6,83,0,7,0,18,31.183333333333337,20,7,17,0,0,25,45,216,31,116,332,1,5,1,1,2,4,20,0,7,0,18,30.866666666666667,24,27,1
2003-09-07,Texans,Dolphins,14,5,13,0,0,17,32,215,22,86,301,2,12,1,2,3,11,87,0,0,0,1,26.7,16,6,17,0,0,17,32,266,34,127,393,0,0,0,0,0,8,67,0,0,0,1,33.3,21,20,0
2003-09-14,Dolphins,Jets,23,4,10,0,0,14,19,189,44,187,376,1,1,1,0,1,4,30,0,4,0,12,35.766666666666666,17,7,14,0,1,29,45,366,11,21,387,1,7,0,1,1,7,52,0,4,0,13,24.233333333333334,21,10,0
2003-09-21,Bills,Dolphins,23,6,14,0,0,16,28,147,44,166,313,1,7,1,2,3,4,35,0,4,0,13,40.833333333333336,8,1,9,0,0,10,26,77,14,41,118,4,21,0,3,3,11,84,0,3,2,16,19.166666666666668,7,17,1
2003-10-05,Dolphins,Giants,15,7,16,0,0,14,26,151,30,134,285,2,16,1,0,1,6,50,0,3,0,12,29.616666666666667,25,3,9,0,0,31,43,273,23,77,350,1,3,1,3,4,5,35,0,6,0,17,30.383333333333333,23,10,0
2003-10-12,Dolphins,Jaguars,16,4,10,0,0,14,27,143,24,91,234,1,4,1,1,2,11,149,0,4,3,14,27.1,22,8,17,0,3,24,42,244,30,88,332,4,12,2,3,5,7,50,0,5,0,16,32.9,24,10,0
2003-10-19,Patriots,Dolphins,20,4,12,0,0,20,35,229,29,97,326,1,1,1,2,3,4,40,0,6,0,15,34.5,16,6,15,0,0,24,34,273,29,59,332,1,10,2,0,2,5,34,0,4,0,15,34.75,19,13,0
2003-10-27,Dolphins,Chargers,14,7,14,0,1,20,29,183,27,81,264,1,9,1,0,1,8,47,0,7,0,15,28.2,18,3,14,0,2,19,30,146,31,104,250,6,44,0,3,3,6,35,0,4,0,16,31.8,26,10,0
2003-11-02,Colts,Dolphins,12,1,10,0,0,18,29,192,14,47,239,5,39,2,0,2,5,44,0,6,0,16,22.333333333333332,23,7,18,0,1,23,37,241,35,115,356,4,25,1,1,2,5,35,0,5,0,16,37.666666666666664,23,17,0
2003-11-09,Dolphins,Titans,12,1,10,0,0,19,33,165,16,59,224,4,16,2,3,5,4,30,0,3,0,19,22.45,17,5,14,0,2,19,26,223,38,101,324,0,0,0,0,0,5,25,0,3,2,15,37.55,7,31,1
2003-11-16,Ravens,Dolphins,19,3,15,0,0,13,32,126,42,141,267,0,0,0,1,1,5,50,0,1,0,16,34.95,13,5,14,0,0,14,25,109,33,114,223,2,3,1,2,3,10,88,0,2,0,14,31.25,6,9,1
2003-11-23,Commanders,Dolphins,16,4,11,1,1,13,23,173,32,144,317,2,19,1,2,3,7,45,0,2,0,17,25.833333333333332,21,6,14,0,0,16,34,148,32,129,277,2,9,1,1,2,5,38,0,4,0,16,34.166666666666664,23,24,1
2003-11-27,Dolphins,Cowboys,22,5,13,1,2,16,20,239,45,126,365,0,0,1,0,1,6,69,0,6,2,17,33.78333333333333,21,4,13,1,1,24,40,263,16,91,354,5,25,2,3,5,5,50,0,7,0,21,26.216666666666665,40,21,0
2003-12-07,Dolphins,Patriots,7,4,18,0,1,13,31,66,25,68,134,5,45,1,2,3,4,25,0,3,0,16,27.25,13,5,18,1,1,16,31,150,34,78,228,3,13,1,0,1,2,14,0,1,2,17,32.75,0,12,1
2003-12-15,Eagles,Dolphins,22,3,14,2,3,21,40,221,29,177,398,2,19,0,2,2,7,76,0,10,0,17,32.083333333333336,23,3,8,0,0,16,28,261,28,140,401,1,0,0,1,1,6,60,0,4,0,17,27.916666666666668,34,27,0
2003-12-21,Dolphins,Bills,11,4,15,1,1,8,17,37,38,132,169,2,9,1,1,2,12,106,0,2,2,14,32.75,11,5,15,0,1,15,28,104,28,73,177,6,51,3,1,4,7,59,0,3,0,18,27.25,20,3,0
2003-12-28,Jets,Dolphins,20,5,10,0,1,21,29,316,26,81,397,2,12,0,1,1,5,30,0,8,0,13,30.466666666666665,19,7,13,0,0,22,28,191,25,94,285,4,30,0,0,0,4,40,0,5,0,14,29.533333333333335,21,23,1
2004-09-11,Titans,Dolphins,14,6,17,1,1,26,44,198,20,65,263,3,12,0,3,3,13,71,0,5,0,15,29.516666666666666,15,4,12,0,0,9,14,61,36,182,243,2,12,1,0,1,7,55,0,3,2,12,30.483333333333334,17,7,0
2004-09-19,Dolphins,Bengals,11,3,16,0,0,21,39,201,20,25,226,2,17,1,2,3,8,69,0,3,0,20,28.55,12,5,19,0,0,21,38,116,29,94,210,5,31,0,1,1,3,19,0,1,2,20,31.45,13,16,1
2004-09-26,Steelers,Dolphins,13,3,11,0,1,13,27,117,29,52,169,3,20,2,2,4,6,33,0,2,0,17,25.816666666666663,15,5,16,1,2,12,22,161,38,153,314,1,2,0,1,1,11,103,0,2,0,14,34.18333333333333,13,3,0
2004-10-03,Jets,Dolphins,13,3,12,0,1,18,33,196,21,97,293,4,10,2,2,4,4,30,0,5,0,16,27.716666666666665,16,1,11,0,0,14,24,125,31,110,235,3,18,0,1,1,4,35,0,2,2,16,32.28333333333333,17,9,0
