date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Vikings,Bears,19,5,13,0,0,16,28,228,33,140,368,1,6,1,2,3,8,52,0,7,0,17,31.516666666666666,20,7,13,0,0,20,33,288,26,80,368,1,9,1,1,2,4,33,0,6,0,17,28.483333333333334,23,27,1
2002-09-15,Bills,Vikings,31,7,16,3,3,25,46,236,39,213,449,5,45,3,0,3,8,65,0,13,0,21,39.81666666666667,26,4,12,0,0,35,49,437,14,31,468,3,26,0,0,0,6,65,0,10,3,22,30.383333333333333,45,39,0
2002-09-22,Panthers,Vikings,13,2,10,0,1,19,30,177,18,73,250,5,14,1,4,5,6,55,0,4,0,15,24.6,20,6,15,0,0,20,30,206,33,164,370,3,15,0,2,2,6,41,0,6,0,16,35.4,21,14,0
2002-09-29,Vikings,Seahawks,28,10,18,1,4,29,53,249,32,194,443,4,24,2,2,4,8,58,0,13,0,22,34.88333333333333,18,4,12,1,2,13,28,222,31,159,381,0,0,1,0,1,4,35,0,8,2,18,25.116666666666667,23,48,1
2002-10-13,Lions,Vikings,22,5,12,0,1,27,36,291,25,111,402,1,4,0,1,1,10,75,0,7,0,17,31.666666666666668,17,4,13,1,2,25,41,301,17,53,354,1,8,0,1,1,5,56,0,6,2,17,28.333333333333332,24,31,1
2002-10-20,Vikings,Jets,21,7,11,0,0,26,39,288,23,101,389,0,0,1,3,4,6,60,0,7,0,13,26.25,21,6,13,0,0,24,29,316,29,91,407,2,8,0,0,0,4,45,0,4,0,10,33.75,7,20,1
2002-10-27,Bears,Vikings,24,7,14,1,1,22,30,216,44,148,364,0,0,1,0,1,11,65,0,5,0,13,41.05,12,3,10,0,2,16,31,174,12,44,218,6,30,1,2,3,6,33,0,5,0,15,18.95,7,25,1
2002-11-03,Vikings,Buccaneers,22,6,10,0,0,18,29,214,23,173,387,3,11,1,2,3,12,83,0,5,0,17,26.733333333333334,27,6,11,0,1,24,31,313,30,133,446,0,0,0,0,0,7,52,0,7,0,11,33.266666666666666,24,38,1
2002-11-10,Giants,Vikings,17,0,9,0,1,12,26,132,26,224,356,5,44,2,0,2,10,84,0,7,0,17,25.766666666666666,26,1,11,0,1,25,35,291,35,169,460,1,9,0,1,1,9,84,0,7,0,18,34.233333333333334,27,20,0
2002-11-17,Packers,Vikings,24,4,12,0,0,13,26,207,37,218,425,2,10,1,2,3,12,105,0,8,0,18,32.083333333333336,18,3,14,1,2,24,43,296,18,71,367,0,0,0,3,3,13,118,0,7,0,19,27.916666666666668,21,31,1
2002-11-24,Vikings,Patriots,26,7,15,0,2,24,49,264,25,153,417,4,8,3,0,3,8,74,0,8,0,16,28.35,20,6,14,0,2,21,34,219,33,80,299,2,20,0,0,0,5,25,0,6,0,16,31.65,17,24,1
2002-12-01,Falcons,Vikings,21,7,19,1,1,23,43,230,32,139,369,6,36,0,3,3,10,95,0,7,0,20,36.75,19,3,10,0,0,11,28,152,29,227,379,2,21,2,1,3,5,34,0,6,0,20,25.666666666666668,30,24,0
2002-12-08,Vikings,Packers,15,2,10,0,1,15,28,125,25,191,316,3,11,0,1,1,6,62,0,8,0,13,29.433333333333337,20,7,12,0,0,22,32,204,28,124,328,1,10,1,1,2,4,25,0,8,0,15,30.566666666666663,22,26,1
2002-12-15,Vikings,Saints,22,8,14,0,0,26,36,293,25,146,439,3,19,0,0,0,8,73,0,7,0,16,31.35,18,7,14,1,1,21,33,221,22,78,299,4,34,0,0,0,8,53,0,7,1,15,28.65,32,31,0
2002-12-21,Dolphins,Vikings,21,8,14,1,1,21,30,239,32,129,368,4,18,1,2,3,7,54,0,5,0,11,35.9,13,1,5,0,0,15,21,170,17,69,239,1,7,1,1,2,8,65,0,4,0,13,24.1,17,20,1
2002-12-29,Vikings,Lions,24,7,12,1,1,21,29,296,34,154,450,3,16,1,1,2,7,79,0,8,2,19,34.516666666666666,20,7,14,1,2,19,44,293,20,93,386,0,0,0,3,3,6,60,0,8,3,18,25.483333333333334,38,36,0
2003-09-07,Vikings,Packers,21,8,14,0,0,15,30,183,36,154,337,2,12,2,0,2,7,65,0,1,0,2,33.333333333333336,22,5,10,0,0,25,41,242,19,62,304,1,6,1,4,5,6,60,0,1,0,2,26.666666666666668,30,25,0
2003-09-14,Bears,Vikings,25,9,14,0,0,20,26,198,39,202,400,3,16,1,0,1,3,25,0,8,0,13,38.7,10,2,9,0,0,14,23,128,17,80,208,3,17,0,1,1,6,50,0,6,0,14,21.3,13,24,1
2003-09-21,Vikings,Lions,14,5,14,0,0,15,32,287,22,127,414,2,2,0,1,1,11,125,0,6,0,16,25.416666666666668,22,6,15,0,1,24,42,225,26,77,302,2,10,0,3,3,9,56,0,6,0,16,34.583333333333336,23,13,0
2003-09-28,49ers,Vikings,19,5,10,0,0,16,21,252,30,102,354,2,15,0,0,0,4,29,0,5,0,12,29.033333333333335,18,6,15,1,4,23,41,227,25,145,372,4,27,0,3,3,9,55,0,7,0,15,30.966666666666665,7,35,1
2003-10-05,Vikings,Falcons,16,4,14,0,1,14,24,233,38,166,399,2,6,0,1,1,8,58,0,7,0,23,33.46666666666667,21,3,10,0,0,28,41,336,17,104,440,2,16,1,2,3,7,56,0,12,0,22,26.533333333333335,39,26,0
2003-10-19,Broncos,Vikings,14,3,11,1,2,19,26,268,22,72,340,2,9,0,0,0,14,108,0,5,2,16,27.9,27,3,11,0,1,21,37,183,27,138,321,5,40,0,3,3,5,40,0,6,0,14,32.1,20,28,1
2003-10-26,Giants,Vikings,22,4,11,0,1,18,31,222,28,137,359,4,19,0,2,2,9,52,0,7,0,18,29.65,26,4,11,0,1,23,39,367,28,83,450,1,8,0,1,1,10,75,0,7,0,14,30.35,29,17,0
2003-11-02,Packers,Vikings,20,6,12,0,0,21,34,198,25,125,323,2,4,0,0,0,4,20,0,9,0,16,29.7,24,6,12,0,0,18,28,190,34,261,451,1,4,0,1,1,3,25,0,9,0,15,30.3,30,27,0
2003-11-09,Vikings,Chargers,27,10,14,1,1,32,44,350,23,110,460,3,20,1,1,2,10,107,0,8,0,16,33.13333333333333,26,6,9,0,0,21,29,247,26,211,458,2,1,0,0,0,6,49,0,8,0,12,26.866666666666667,28,42,1
2003-11-16,Vikings,Raiders,24,5,13,1,3,27,49,373,22,94,467,3,23,3,3,6,10,60,0,7,0,17,30.5,19,3,10,1,2,9,13,184,43,191,375,3,11,2,0,2,7,85,0,7,2,16,29.5,18,28,1
2003-11-23,Lions,Vikings,18,4,13,2,2,20,30,186,28,121,307,3,10,1,1,2,11,95,0,2,4,15,33.81666666666667,16,5,13,0,0,21,41,167,19,74,241,0,0,0,4,4,5,50,0,5,2,16,26.183333333333337,14,24,1
2003-11-30,Vikings,Rams,25,9,19,1,4,33,48,276,26,189,465,8,54,2,1,3,11,65,0,7,0,19,37.61666666666667,21,3,6,0,0,16,21,255,25,141,396,1,8,0,1,1,4,25,0,9,2,14,22.383333333333333,17,48,1
2003-12-07,Seahawks,Vikings,22,9,19,1,2,21,33,272,44,193,465,1,2,0,0,0,5,30,0,3,2,13,38.85,13,4,12,0,0,17,34,202,16,56,258,3,16,1,2,3,7,39,0,5,0,17,21.15,7,34,1
2003-12-14,Vikings,Bears,22,8,16,1,3,24,34,215,38,178,393,2,7,0,1,1,7,68,0,6,0,13,37.25,15,6,14,0,0,13,30,145,23,87,232,1,12,0,0,0,3,30,0,4,0,12,22.75,10,13,1
2003-12-20,Chiefs,Vikings,27,7,12,0,0,20,30,246,39,223,469,2,14,0,1,1,6,51,0,7,0,16,36.016666666666666,21,5,11,1,2,18,38,224,23,105,329,0,0,2,2,4,2,20,0,9,0,18,23.983333333333334,20,45,1
2003-12-28,Vikings,Cardinals,20,6,13,0,1,18,28,192,33,150,342,1,5,1,1,2,7,71,0,4,0,12,31.483333333333334,15,3,14,3,3,20,33,155,19,64,219,8,69,0,1,1,1,5,0,6,0,13,28.516666666666666,17,18,1
2004-09-12,Cowboys,Vikings,23,5,8,0,0,18,24,279,28,136,415,2,0,0,0,0,5,40,0,5,0,12,30.266666666666666,27,8,15,1,2,29,51,352,21,71,423,1,3,2,0,2,9,119,0,7,0,15,29.733333333333334,17,35,1
2004-09-20,Vikings,Eagles,25,7,14,2,2,37,47,332,19,78,410,4,11,1,1,2,10,70,0,10,0,13,37.88333333333333,19,3,6,0,0,19,28,226,17,91,317,2,19,1,0,1,3,25,0,6,0,13,22.116666666666667,16,27,1
2004-09-26,Bears,Vikings,24,4,9,0,1,19,31,350,23,93,443,4,10,2,0,2,11,70,0,9,0,16,27.983333333333334,24,4,11,0,1,21,34,239,28,146,385,2,9,1,0,1,14,101,0,8,0,15,32.016666666666666,22,27,1
2004-10-10,Vikings,Texans,27,9,17,0,0,36,50,388,26,122,510,3,8,0,0,0,10,75,0,0,0,1,38.45,19,5,14,2,2,27,42,358,17,52,410,4,14,0,0,0,11,88,0,0,0,1,29.466666666666665,34,28,0
2004-10-17,Vikings,Saints,29,8,11,0,0,26,38,417,28,188,605,2,8,1,2,3,5,35,0,11,0,16,30.683333333333337,25,4,11,2,2,22,38,226,23,159,385,3,23,0,1,1,4,21,0,11,0,16,29.316666666666663,38,31,0
2004-10-24,Titans,Vikings,20,2,11,1,2,24,30,161,27,152,313,3,22,0,0,0,8,66,0,5,0,12,32.71666666666667,16,3,11,1,2,20,42,188,14,55,243,2,10,1,3,4,12,85,0,6,0,15,27.283333333333335,3,20,1
2004-10-31,Giants,Vikings,15,10,17,0,0,24,41,231,20,93,324,0,0,1,2,3,9,83,0,6,0,19,27.533333333333335,22,4,11,0,0,13,21,115,39,168,283,5,29,0,0,0,7,87,0,6,0,14,32.46666666666667,34,13,0
2004-11-08,Vikings,Colts,15,5,10,1,1,16,19,154,24,138,292,2,15,1,0,1,6,53,0,6,1,14,25.8,26,5,10,1,1,23,29,264,31,144,408,1,4,0,0,0,8,65,0,9,0,12,34.2,28,31,1
2004-11-14,Vikings,Packers,22,7,14,1,1,27,44,345,16,71,416,4,18,0,0,0,6,37,0,8,0,13,29.816666666666663,24,7,11,0,1,20,29,236,35,206,442,0,0,1,0,1,4,25,0,10,0,16,30.183333333333337,31,34,1
2004-11-21,Lions,Vikings,22,8,15,0,1,22,32,212,34,107,319,3,21,0,1,1,7,51,0,7,0,14,32.4,13,4,11,0,0,12,19,67,27,146,213,3,24,0,1,1,9,116,0,4,1,15,27.6,19,22,1
2004-11-28,Jaguars,Vikings,24,6,10,0,0,19,27,218,30,112,330,4,17,1,1,2,4,35,0,5,2,14,28.716666666666665,18,7,15,0,1,19,34,225,27,154,379,2,10,2,0,2,6,45,0,7,0,13,31.283333333333335,16,27,1
2004-12-05,Vikings,Bears,24,7,10,0,1,23,33,245,22,146,391,5,34,1,3,4,6,30,0,7,0,14,29.016666666666666,21,10,17,0,1,18,30,174,35,144,318,5,39,1,0,1,7,55,0,6,0,12,30.983333333333334,14,24,1
2004-12-12,Seahawks,Vikings,22,3,10,0,0,21,34,261,25,113,374,1,9,1,1,2,5,42,0,4,0,17,27.283333333333335,26,4,12,0,0,23,34,317,31,138,455,3,17,0,2,2,5,79,0,9,0,17,32.71666666666667,27,23,0
2004-12-19,Vikings,Lions,21,9,14,0,0,25,35,370,23,91,461,5,34,0,1,1,9,70,0,5,0,17,30.45,24,7,14,1,1,25,44,350,25,113,463,2,11,1,2,3,4,25,0,6,0,15,29.55,28,27,0
2004-12-24,Packers,Vikings,17,5,10,0,0,16,23,285,24,131,416,0,0,0,0,0,9,78,0,6,2,13,25.783333333333335,26,8,16,2,2,30,43,358,34,102,460,1,7,0,1,1,4,25,0,7,0,15,34.21666666666667,34,31,0
2005-01-02,Vikings,Commanders,21,7,15,1,1,27,44,268,18,52,320,4,31,0,0,0,7,49,0,4,0,13,29.733333333333334,20,7,11,0,0,17,26,201,31,117,318,3,15,1,1,2,3,13,0,4,0,13,30.266666666666666,18,21,1
2005-09-11,Buccaneers,Vikings,15,5,11,0,0,22,33,215,15,33,248,3,18,2,3,5,9,70,0,2,2,11,29.433333333333337,12,8,17,0,0,18,29,199,31,146,345,2,14,0,2,2,13,99,0,3,0,14,30.566666666666663,24,13,0
2005-09-18,Vikings,Bengals,21,5,9,0,0,21,37,227,14,77,304,2,9,2,5,7,7,49,0,2,0,10,21.333333333333332,26,8,17,1,1,27,40,337,39,167,504,0,0,0,1,1,17,115,0,7,0,12,38.666666666666664,8,37,1
2005-09-25,Saints,Vikings,21,6,17,0,0,21,29,274,39,146,420,6,26,0,0,0,8,60,0,5,0,14,38.21666666666667,15,2,12,0,1,12,32,182,20,114,296,3,17,2,2,4,14,84,0,3,0,12,21.783333333333335,16,33,1
2005-10-02,Vikings,Falcons,17,1,10,2,2,23,34,198,16,63,261,9,52,1,2,3,11,84,0,2,0,10,27.383333333333333,22,8,14,0,1,11,22,83,41,285,368,1,5,0,0,0,8,65,0,3,0,12,32.61666666666667,10,30,1
2005-10-16,Vikings,Bears,16,3,16,1,4,26,49,203,19,80,283,4,34,0,2,2,14,91,0,3,0,15,32.36666666666667,16,3,10,0,1,16,25,97,30,95,192,3,20,2,1,3,8,58,0,4,0,14,27.633333333333333,3,28,1
