date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-09,Steelers,Patriots,20,5,13,0,0,29,43,280,18,63,343,2,14,1,0,1,7,88,0,4,0,14,29.483333333333334,20,4,14,2,2,25,38,209,24,74,283,5,38,2,3,5,13,112,0,8,0,19,30.516666666666666,14,30,1
2002-09-15,Patriots,Jets,24,10,16,2,2,25,35,269,40,163,432,0,0,1,1,2,3,36,0,7,4,14,38.06666666666667,9,1,12,1,3,18,33,168,9,32,200,5,21,1,1,2,7,55,0,6,0,20,21.933333333333337,44,7,0
2002-09-22,Chiefs,Patriots,27,8,17,0,0,39,55,399,20,97,496,4,11,0,1,1,12,100,0,8,0,19,37.65,21,6,11,0,0,16,25,128,34,221,349,3,21,1,2,3,1,5,0,7,0,19,27.016666666666666,38,41,1
2002-09-29,Patriots,Chargers,25,7,14,1,2,36,53,353,23,87,440,0,0,1,2,3,6,45,0,5,0,13,33.21666666666667,14,6,12,1,2,10,18,104,34,238,342,0,0,1,0,1,2,20,0,1,0,12,26.783333333333335,14,21,1
2002-10-06,Patriots,Dolphins,16,3,10,0,1,17,31,208,17,37,245,3,32,1,2,3,6,49,0,3,0,16,20.016666666666666,21,9,17,0,0,17,27,182,44,137,319,1,8,1,0,1,5,35,0,5,0,14,39.983333333333334,13,26,1
2002-10-13,Packers,Patriots,20,6,13,1,2,24,44,166,22,123,289,2,17,1,3,4,12,126,0,6,0,16,27.783333333333335,20,5,14,1,1,17,27,143,36,158,301,1,4,0,0,0,5,60,0,6,0,13,32.21666666666667,28,10,0
2002-10-27,Broncos,Patriots,16,3,12,0,0,15,29,110,19,69,179,5,20,0,0,0,8,83,0,7,0,15,24.333333333333332,23,8,13,0,0,18,23,215,40,136,351,2,14,1,1,2,2,51,0,7,0,15,35.666666666666664,24,16,0
2002-11-03,Patriots,Bills,23,8,12,1,2,22,26,263,36,159,422,1,2,0,0,0,8,59,0,6,0,10,34.3,28,4,11,1,1,28,45,266,13,65,331,4,36,0,1,1,5,59,0,9,0,15,25.7,38,7,0
2002-11-10,Patriots,Bears,19,6,17,3,3,36,55,315,19,82,397,2,13,1,1,2,6,65,0,6,0,20,31.0,14,5,15,1,1,16,30,174,28,125,299,2,9,0,1,1,5,30,0,8,0,21,29.0,33,30,0
2002-11-17,Patriots,Raiders,12,4,12,0,2,18,30,147,17,48,195,4,25,1,0,1,7,34,0,6,3,16,23.383333333333333,22,7,14,1,1,26,38,289,31,97,386,1,8,0,1,1,12,115,0,6,0,14,36.61666666666667,20,27,1
2002-11-24,Vikings,Patriots,20,6,14,0,2,21,34,219,33,80,299,2,20,0,0,0,5,25,0,6,0,16,31.65,26,7,15,0,2,24,49,264,25,153,417,4,8,3,0,3,8,74,0,8,0,16,28.35,17,24,1
2002-11-28,Patriots,Lions,23,9,15,0,0,18,30,210,38,139,349,0,0,0,1,1,9,55,0,7,2,15,35.0,14,6,13,0,0,22,44,210,15,82,292,0,0,0,3,3,8,60,0,5,0,14,25.0,20,12,0
2002-12-08,Bills,Patriots,14,4,11,0,0,15,27,183,26,92,275,0,0,0,0,0,9,65,0,6,0,15,29.366666666666667,24,10,14,0,0,32,51,312,18,78,390,2,16,1,4,5,4,29,0,9,0,16,30.633333333333333,17,27,1
2002-12-16,Patriots,Titans,11,2,11,0,2,15,31,120,13,56,176,3,17,1,1,2,2,15,0,5,0,15,18.5,20,8,18,2,3,11,24,127,48,238,365,2,9,0,1,1,9,80,0,4,2,12,41.5,7,24,1
2002-12-22,Jets,Patriots,14,6,16,1,2,19,37,119,23,97,216,2,14,1,1,2,4,30,0,8,1,19,25.633333333333333,19,6,15,0,0,23,34,285,31,108,393,0,0,0,0,0,7,60,0,6,0,17,34.36666666666667,30,17,0
2002-12-29,Dolphins,Patriots,20,7,17,0,0,25,45,216,31,116,332,1,5,1,1,2,4,20,0,7,0,18,30.866666666666667,20,3,13,0,0,11,25,103,37,256,359,2,7,0,0,0,6,83,0,7,0,18,31.183333333333337,24,27,1
2003-09-07,Patriots,Bills,16,4,10,0,1,17,35,134,21,105,239,2,20,0,4,4,12,121,0,1,0,2,26.166666666666668,23,7,14,0,1,17,28,215,33,107,322,2,15,1,1,2,10,119,0,1,2,2,33.833333333333336,0,31,1
2003-09-14,Patriots,Eagles,17,4,17,1,2,30,44,247,30,62,309,2,8,0,0,0,8,84,0,5,2,19,36.583333333333336,23,3,14,0,0,20,48,168,16,100,268,8,43,4,2,6,7,53,0,5,0,22,23.416666666666668,31,10,0
2003-09-21,Jets,Patriots,19,5,14,0,0,15,26,147,36,147,294,5,34,1,0,1,9,87,0,7,2,17,32.61666666666667,16,1,13,0,2,25,44,264,17,65,329,0,0,0,1,1,6,52,0,5,0,19,27.383333333333333,16,23,1
2003-09-28,Patriots,Commanders,23,7,15,0,1,25,38,281,30,106,387,1,8,1,3,4,8,64,0,5,0,15,33.65,15,3,11,0,0,10,22,134,29,119,253,2,13,0,0,0,9,75,0,7,0,16,26.35,17,20,1
2003-10-05,Titans,Patriots,21,6,12,0,1,17,31,193,27,161,354,3,26,0,0,0,9,55,0,9,2,19,28.083333333333332,23,6,15,1,1,23,45,341,27,70,411,2,19,0,1,1,8,66,0,11,0,18,31.916666666666668,30,38,1
2003-10-12,Giants,Patriots,12,1,11,0,0,8,21,91,31,129,220,2,21,0,0,0,10,110,0,4,2,16,24.783333333333335,26,7,17,0,2,35,59,306,24,76,382,2,8,1,4,5,8,50,0,4,0,16,35.21666666666667,6,17,1
2003-10-19,Patriots,Dolphins,16,6,15,0,0,24,34,273,29,59,332,1,10,2,0,2,5,34,0,4,0,15,34.75,20,4,12,0,0,20,35,229,29,97,326,1,1,1,2,3,4,40,0,6,0,15,34.5,19,13,0
