date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-05,49ers,Giants,13,4,12,0,0,16,26,166,25,113,279,0,0,0,1,1,5,29,0,8,0,13,27.533333333333335,21,9,16,0,1,28,45,318,22,43,361,3,24,0,3,3,10,80,0,6,0,15,32.46666666666667,16,13,0
2002-09-15,Broncos,49ers,18,8,13,0,0,27,36,190,20,71,261,2,15,1,1,2,10,114,0,5,0,14,29.333333333333332,21,5,10,0,0,14,19,98,35,201,299,4,21,1,0,1,3,30,0,4,0,12,30.666666666666668,24,14,0
2002-09-22,Commanders,49ers,22,6,14,0,0,15,28,114,41,252,366,2,11,0,1,1,5,50,0,5,0,15,35.916666666666664,12,4,12,0,0,18,30,160,16,57,217,3,23,2,1,3,4,35,0,3,0,15,24.083333333333332,10,20,1
2002-10-06,Rams,49ers,21,4,9,0,0,18,27,207,27,179,386,1,7,0,0,0,4,27,0,7,2,13,29.1,19,4,14,3,3,23,40,225,24,88,313,1,7,0,2,2,4,40,0,7,0,16,30.9,13,37,1
2002-10-14,49ers,Seahawks,24,7,12,0,0,16,29,190,31,161,351,2,12,0,0,0,8,51,0,7,0,11,29.516666666666666,24,10,15,0,0,21,31,211,30,123,334,1,1,0,2,2,10,80,0,8,1,14,30.483333333333334,28,21,0
2002-10-20,49ers,Saints,26,9,12,0,0,23,39,275,25,143,418,0,0,1,1,2,5,42,0,9,0,16,29.983333333333334,27,10,14,0,0,23,35,243,27,179,422,3,11,1,0,1,4,35,0,9,0,14,30.016666666666666,27,35,1
2002-10-27,Cardinals,49ers,18,6,12,1,1,18,28,252,29,105,357,1,0,0,0,0,3,25,0,6,0,15,27.55,23,9,12,1,1,24,36,269,27,151,420,3,17,1,3,4,7,65,0,8,0,17,32.45,28,38,1
2002-11-03,49ers,Raiders,30,13,20,1,1,25,36,282,48,152,434,0,0,1,0,1,3,40,0,8,0,14,44.55,15,5,11,1,1,18,28,158,21,81,239,1,6,1,0,1,6,44,0,5,0,12,24.133333333333333,23,20,0
2002-11-10,Chiefs,49ers,22,11,18,1,1,25,35,168,35,155,323,3,7,0,1,1,3,15,0,6,0,12,38.56666666666667,14,4,11,0,1,15,27,176,16,80,256,3,17,0,0,0,4,37,0,5,0,11,21.433333333333337,13,17,1
2002-11-17,49ers,Chargers,21,8,18,1,1,25,43,331,31,136,467,1,6,0,1,1,8,71,0,2,0,15,35.68333333333333,26,4,14,1,1,29,50,336,28,105,441,0,0,0,1,1,5,36,0,6,0,17,35.13333333333333,17,20,1
2002-11-25,Eagles,49ers,24,9,20,1,4,36,63,305,18,104,409,4,32,0,0,0,9,86,0,10,0,19,32.36666666666667,19,4,11,0,0,21,29,236,31,107,343,1,8,0,0,0,5,41,0,5,1,16,27.633333333333333,38,17,0
2002-12-01,Seahawks,49ers,21,9,16,1,1,16,29,157,38,142,299,1,7,0,2,2,2,10,0,5,1,16,32.416666666666664,25,8,15,0,1,30,55,427,19,80,507,0,0,1,2,3,6,55,0,8,0,18,27.583333333333332,24,31,1
2002-12-08,49ers,Cowboys,26,10,20,1,1,36,55,276,29,125,401,1,0,1,0,1,9,69,0,7,0,21,35.983333333333334,10,5,15,0,0,11,28,147,27,110,257,0,0,0,2,2,4,35,0,8,1,20,24.016666666666666,31,27,0
2002-12-15,Packers,49ers,16,6,13,0,1,19,34,156,23,107,263,0,0,0,1,1,3,18,0,5,0,13,23.95,21,9,16,0,0,25,33,198,33,104,302,1,3,0,0,0,4,20,0,4,0,13,36.05,20,14,0
2002-12-21,49ers,Cardinals,21,11,20,1,2,23,39,252,33,106,358,1,4,1,1,2,4,30,0,5,0,11,34.31666666666667,14,7,13,0,0,16,26,76,24,108,184,5,33,1,1,2,1,15,0,5,0,13,25.683333333333337,17,14,0
2002-12-30,49ers,Rams,19,6,14,0,0,16,24,136,36,193,329,3,18,2,0,2,6,48,0,5,0,16,35.61666666666667,16,2,12,2,2,24,40,228,14,35,263,3,24,0,2,2,5,33,0,5,2,16,24.383333333333333,20,31,1
2003-09-07,Bears,49ers,23,8,16,0,1,19,35,229,42,162,391,0,0,1,1,2,4,25,0,9,2,17,38.05,8,3,14,0,1,14,34,72,20,55,127,5,23,2,3,5,4,30,0,7,0,26,21.95,7,49,1
