date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Seahawks,Raiders,14,1,11,2,2,23,32,143,16,43,186,3,12,0,0,0,13,105,0,2,0,4,25.15,27,7,12,1,1,19,28,202,40,221,423,2,12,1,1,2,5,45,0,2,0,4,34.85,17,31,1
2002-09-15,Cardinals,Seahawks,26,4,13,0,3,29,47,345,29,81,426,1,7,1,0,1,7,35,0,9,0,16,31.0,19,6,13,0,0,10,22,98,35,249,347,2,9,0,1,1,7,42,0,7,1,15,29.0,24,13,0
2002-09-22,Seahawks,Giants,7,4,12,0,0,16,25,105,18,40,145,2,13,0,1,1,6,37,0,3,0,14,23.166666666666668,21,8,18,0,1,23,38,257,35,94,351,3,25,0,0,0,3,24,0,3,0,12,36.833333333333336,6,9,1
2002-09-29,Vikings,Seahawks,18,4,12,1,2,13,28,222,31,159,381,0,0,1,0,1,4,35,0,8,2,18,25.116666666666667,28,10,18,1,4,29,53,249,32,194,443,4,24,2,2,4,8,58,0,13,0,22,34.88333333333333,23,48,1
2002-10-14,49ers,Seahawks,24,10,15,0,0,21,31,211,30,123,334,1,1,0,2,2,10,80,0,8,1,14,30.483333333333334,24,7,12,0,0,16,29,190,31,161,351,2,12,0,0,0,8,51,0,7,0,11,29.516666666666666,28,21,0
2002-10-20,Seahawks,Rams,13,2,11,0,1,10,30,240,16,50,290,3,15,1,2,3,2,15,0,6,2,21,19.55,28,8,16,0,0,22,40,260,42,218,478,1,5,1,1,2,6,35,0,6,0,17,40.45,20,37,1
2002-10-27,Seahawks,Cowboys,18,10,16,0,0,19,31,170,34,97,267,1,7,0,2,2,6,57,0,5,0,12,32.083333333333336,17,3,9,0,1,12,24,132,28,105,237,2,13,1,0,1,5,55,0,3,0,14,27.916666666666668,17,14,0
2002-11-03,Commanders,Seahawks,21,6,17,1,3,28,44,240,25,84,324,4,24,2,0,2,5,52,0,4,0,12,34.96666666666667,16,6,13,0,0,10,27,113,29,146,259,1,1,0,1,1,6,68,0,4,0,11,25.033333333333335,14,3,0
2002-11-10,Seahawks,Cardinals,27,8,14,0,0,23,31,255,36,151,406,1,5,0,0,0,4,34,0,8,0,11,32.733333333333334,19,5,10,0,0,17,29,226,29,111,337,0,0,3,2,5,3,20,0,8,0,14,27.266666666666666,27,6,0
2002-11-17,Broncos,Seahawks,13,4,14,0,1,22,36,153,16,51,204,5,27,1,2,3,6,56,0,5,0,16,28.516666666666666,22,4,14,2,2,19,29,199,34,202,401,1,10,0,1,1,11,104,0,7,2,15,31.483333333333334,31,9,0
