date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Saints,Buccaneers,19,7,19,0,1,28,53,261,21,72,333,3,17,0,1,1,8,85,0,2,0,4,31.483333333333334,21,10,20,0,0,24,42,250,34,118,368,2,10,0,1,1,5,45,0,1,2,4,40.68333333333333,26,20,0
2002-09-15,Buccaneers,Ravens,17,6,14,0,0,24,31,205,30,74,279,1,6,0,0,0,10,74,0,6,3,14,35.516666666666666,12,4,15,1,2,16,38,118,20,55,173,3,23,0,1,1,3,25,0,5,0,17,24.483333333333334,25,0,0
2002-09-23,Rams,Buccaneers,14,3,11,0,0,23,32,189,16,63,252,1,10,1,0,1,8,50,0,4,2,13,25.216666666666665,21,5,13,1,1,30,45,269,20,89,358,5,32,0,4,4,5,33,0,4,0,17,34.78333333333333,14,26,1
2002-09-29,Buccaneers,Bengals,17,4,11,0,0,19,30,262,28,101,363,2,15,1,2,3,7,65,0,1,2,14,31.366666666666667,11,2,17,2,3,12,33,94,29,74,168,3,23,1,1,2,4,30,0,6,2,19,28.633333333333333,35,7,0
2002-10-06,Buccaneers,Falcons,15,4,13,1,1,17,31,253,26,74,327,2,8,1,1,2,6,35,0,2,2,12,29.566666666666663,14,3,14,0,1,17,38,173,22,70,243,4,14,0,4,4,6,41,0,3,0,15,30.433333333333337,20,6,0
2002-10-13,Browns,Buccaneers,22,6,14,0,1,15,32,194,38,186,380,0,0,0,1,1,5,45,0,8,0,13,33.56666666666667,11,6,17,0,0,20,40,134,18,60,194,2,17,0,1,1,8,66,0,1,0,15,26.433333333333337,3,17,1
2002-10-20,Buccaneers,Eagles,15,3,13,0,0,23,38,126,21,81,207,6,29,1,1,2,7,59,0,3,2,17,28.783333333333335,14,4,14,0,0,12,25,110,34,159,269,2,17,1,1,2,8,56,0,6,0,15,31.216666666666665,10,20,1
2002-10-27,Buccaneers,Panthers,14,7,18,0,0,23,34,155,27,71,226,6,31,1,1,2,4,26,0,4,0,17,33.016666666666666,9,1,12,0,0,5,18,20,31,110,130,3,26,1,3,4,7,70,0,5,0,19,26.983333333333334,12,9,0
2002-11-03,Vikings,Buccaneers,27,6,11,0,1,24,31,313,30,133,446,0,0,0,0,0,7,52,0,7,0,11,33.266666666666666,22,6,10,0,0,18,29,214,23,173,387,3,11,1,2,3,12,83,0,5,0,17,26.733333333333334,24,38,1
2002-11-17,Panthers,Buccaneers,19,7,16,1,1,22,40,247,29,67,314,2,6,2,0,2,5,34,0,7,0,15,35.88333333333333,14,4,14,1,2,22,38,168,19,63,231,4,37,1,3,4,2,10,0,4,0,18,24.116666666666667,10,23,1
2002-11-24,Packers,Buccaneers,14,2,11,0,0,18,30,153,25,93,246,2,14,0,1,1,6,54,0,3,0,14,29.433333333333337,15,4,13,1,1,20,38,171,23,96,267,3,25,0,4,4,7,62,0,6,0,16,30.566666666666663,7,21,1
2002-12-01,Buccaneers,Saints,17,2,14,3,3,28,44,249,16,34,283,4,27,2,1,3,5,40,0,6,0,18,32.666666666666664,14,9,17,0,0,10,26,136,31,102,238,4,29,1,0,1,6,57,0,7,0,15,27.333333333333332,20,23,1
2002-12-08,Falcons,Buccaneers,22,7,14,0,0,23,31,271,29,150,421,1,5,0,0,0,5,38,0,4,0,13,33.96666666666667,10,3,12,1,1,12,25,119,23,62,181,1,6,0,1,1,4,45,0,7,0,18,26.033333333333335,10,34,1
2002-12-15,Buccaneers,Lions,22,6,14,0,0,24,41,253,28,123,376,0,0,0,0,0,9,67,0,8,0,15,37.1,15,3,10,0,0,10,22,148,26,144,292,1,10,0,1,1,6,36,0,9,0,16,22.9,23,20,0
2002-12-23,Steelers,Buccaneers,18,2,11,1,1,21,44,203,14,74,277,6,29,2,1,3,5,39,0,4,0,15,25.666666666666668,19,7,14,0,1,18,24,233,35,94,327,2,11,1,0,1,5,45,0,3,2,14,34.333333333333336,17,7,0
2002-12-29,Buccaneers,Bears,15,7,18,0,0,16,25,111,36,161,272,5,23,0,0,0,6,26,0,5,0,11,37.483333333333334,14,4,11,1,1,13,29,133,22,85,218,1,4,0,4,4,5,45,0,3,0,16,22.516666666666666,15,0,0
