date,away,home,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,game_result
2002-09-08,Eagles,Titans,22,6,10,0,0,24,34,267,25,61,328,1,2,3,1,4,6,50,0,7,0,16,30.8,17,7,15,1,1,18,36,181,22,80,261,6,31,1,2,3,10,113,0,3,0,17,29.2,24,27,1
2002-09-15,Titans,Cowboys,19,7,17,1,2,23,43,235,26,98,333,3,24,0,1,1,6,55,0,4,0,15,35.75,14,4,12,0,0,14,24,230,26,67,297,1,10,0,0,0,2,15,0,2,2,15,24.25,13,21,1
2002-09-22,Browns,Titans,13,3,13,1,1,15,23,101,34,86,187,1,6,0,0,0,13,96,0,5,2,17,33.18333333333333,26,8,15,0,0,36,50,311,20,92,403,3,15,3,1,4,7,57,0,5,1,18,31.033333333333335,31,28,0
2002-09-29,Titans,Raiders,23,6,10,0,1,32,46,387,16,43,430,2,11,0,4,4,11,77,0,4,0,21,30.416666666666668,24,3,9,0,0,29,39,374,21,90,464,2,7,1,0,1,10,117,0,8,4,18,29.583333333333332,25,52,1
2002-10-06,Commanders,Titans,17,2,11,1,2,24,39,230,15,59,289,4,15,1,3,4,7,46,0,7,0,16,25.8,25,8,14,0,0,22,38,286,30,156,442,1,7,0,0,0,7,46,0,6,0,14,34.2,31,14,0
2002-10-13,Jaguars,Titans,25,10,17,2,2,26,36,218,40,152,370,1,8,1,0,1,5,55,0,6,0,13,37.71666666666667,13,4,9,0,0,7,13,68,26,130,198,3,16,0,2,2,4,22,0,3,0,14,22.283333333333335,14,23,1
2002-10-27,Titans,Bengals,20,4,11,0,0,16,27,208,27,134,342,1,7,1,0,1,7,40,0,8,0,15,26.083333333333332,22,5,11,0,1,17,23,193,40,191,384,0,0,1,0,1,9,81,0,10,0,17,33.916666666666664,30,24,0
2002-11-03,Titans,Colts,13,3,10,0,0,14,19,77,31,121,198,1,5,0,0,0,5,45,0,5,2,13,31.683333333333337,25,4,13,2,4,37,50,298,19,80,378,3,29,2,1,3,6,48,0,7,0,15,28.316666666666663,23,15,0
2002-11-10,Texans,Titans,15,3,11,0,0,10,21,109,39,142,251,0,0,0,2,2,3,20,0,6,0,15,33.61666666666667,13,4,15,1,3,19,34,165,24,68,233,4,17,1,2,3,5,47,0,2,0,15,26.383333333333333,10,17,1
2002-11-17,Steelers,Titans,22,12,19,0,1,18,33,257,40,121,378,0,0,1,0,1,5,36,0,5,0,16,36.55,20,5,13,1,1,27,45,312,15,45,357,1,6,0,3,3,4,20,0,8,0,17,23.45,23,31,1
2002-11-24,Titans,Ravens,19,7,18,0,1,22,44,281,30,121,402,1,15,1,3,4,9,69,0,6,0,16,34.15,12,2,13,0,1,11,24,87,27,112,199,4,22,1,1,2,6,65,0,6,1,17,25.85,12,13,1
2002-12-01,Titans,Giants,31,7,14,2,2,30,43,334,32,142,476,1,0,1,0,1,12,121,0,10,0,16,35.78333333333333,24,4,10,0,0,22,36,283,25,62,345,1,0,0,0,0,6,55,0,6,0,15,29.216666666666665,32,29,0
2002-12-08,Colts,Titans,18,8,12,0,0,19,23,229,33,119,348,1,8,1,0,1,4,19,0,6,0,11,32.766666666666666,22,9,14,2,2,26,42,297,24,92,389,1,0,0,3,3,6,48,0,7,0,14,27.233333333333334,17,27,1
2002-12-16,Patriots,Titans,20,8,18,2,3,11,24,127,48,238,365,2,9,0,1,1,9,80,0,4,2,12,41.5,11,2,11,0,2,15,31,120,13,56,176,3,17,1,1,2,2,15,0,5,0,15,18.5,7,24,1
2002-12-22,Titans,Jaguars,20,4,11,0,0,14,22,123,40,175,298,0,0,0,0,0,4,30,0,5,2,14,35.65,13,0,11,2,3,18,36,139,18,75,214,4,18,0,1,1,8,51,0,4,0,14,24.35,28,10,0
2002-12-29,Titans,Texans,15,4,14,0,1,8,23,137,35,140,277,2,11,0,0,0,6,52,0,3,0,13,28.183333333333337,16,7,17,0,0,21,41,196,22,28,224,3,18,0,1,1,7,53,0,7,0,17,31.816666666666663,13,3,0
2003-09-07,Raiders,Titans,20,5,13,0,0,25,38,258,28,76,334,1,11,1,1,2,11,111,0,0,0,0,34.95,13,1,12,0,0,24,39,246,10,34,280,4,18,1,0,1,17,173,0,0,0,0,25.05,20,25,1
2003-09-14,Titans,Colts,14,4,13,1,2,22,34,183,19,53,236,5,26,1,1,2,10,99,0,6,0,19,29.166666666666668,20,3,12,1,1,14,21,164,34,127,291,1,9,0,0,0,6,38,0,4,2,12,30.833333333333332,7,33,1
2003-09-21,Saints,Titans,28,8,14,1,1,24,35,280,35,105,385,2,1,1,0,1,3,14,0,7,0,11,39.18333333333333,11,3,8,0,1,15,23,165,15,23,188,3,20,2,0,2,5,27,0,7,0,15,20.816666666666663,12,27,1
2003-09-28,Titans,Steelers,9,3,10,0,0,15,16,158,22,40,198,1,3,0,0,0,10,77,0,5,2,16,24.166666666666668,25,4,13,2,3,31,47,307,25,69,376,3,25,0,2,2,8,80,0,7,0,15,35.833333333333336,30,13,0
2003-10-05,Titans,Patriots,23,6,15,1,1,23,45,341,27,70,411,2,19,0,1,1,8,66,0,11,0,18,31.916666666666668,21,6,12,0,1,17,31,193,27,161,354,3,26,0,0,0,9,55,0,9,2,19,28.083333333333332,30,38,1
2003-10-12,Texans,Titans,22,5,11,0,0,18,27,421,33,114,535,1,0,1,0,1,8,69,0,2,2,13,33.71666666666667,24,2,9,0,0,25,42,367,16,91,458,1,4,0,3,3,6,50,0,8,0,18,26.283333333333335,17,38,1
2003-10-19,Titans,Panthers,15,5,17,1,2,13,25,214,36,134,348,3,26,0,0,0,5,40,0,6,2,18,33.46666666666667,19,4,14,1,2,31,49,339,17,44,383,4,23,4,0,4,5,45,0,4,0,23,26.533333333333335,37,17,0
2003-10-26,Titans,Jaguars,23,8,14,1,1,21,27,187,38,133,320,0,0,0,1,1,8,49,0,7,0,13,39.233333333333334,15,5,10,0,1,24,39,239,11,54,293,2,5,1,2,3,5,45,0,7,0,16,20.766666666666666,30,17,0
